SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,HAW,CHO,HAW,35.9,9,11,0.818,9,11,0.818,0,0,0.0,5,9,0.556,1,1,2,2,3,1,4,4,23,17.8,-12,0.769,0.818,0.0,0.818,2.8,5.3,3.7,14.8,4.5,2.5,21.1,24.5,119,115,8.1
2000-01,2000-11-02,HAW,KNI,KNI,40.32,6,17,0.353,6,17,0.353,0,0,0.0,6,7,0.857,4,1,5,1,1,1,4,3,18,8.4,-24,0.448,0.353,0.0,0.412,10.0,4.3,7.9,6.4,1.4,2.2,16.6,28.4,85,109,-4.3
2000-01,2000-11-04,HAW,MAG,HAW,42.58,5,12,0.417,5,12,0.417,0,0,0.0,9,18,0.5,9,6,15,0,5,0,4,4,19,16.5,-3,0.477,0.417,0.0,1.5,20.9,19.1,20.2,0.0,6.1,0.0,16.7,22.9,99,108,-4.5
2000-01,2000-11-06,HAW,VGR,VGR,36.68,8,18,0.444,8,18,0.444,0,0,0.0,3,6,0.5,6,3,9,0,0,2,5,2,19,9.1,-7,0.46,0.444,0.0,0.333,17.3,8.5,12.8,0.0,0.0,3.6,19.5,29.6,83,107,-6.5
2000-01,2000-11-07,HAW,BLA,BLA,34.67,2,10,0.2,2,10,0.2,0,0,0.0,7,8,0.875,7,4,11,1,0,0,1,2,11,9.4,-12,0.407,0.2,0.0,0.8,19.6,13.7,17.0,4.9,0.0,0.0,6.9,18.1,107,109,-3.7
2000-01,2000-11-09,HAW,SUN,SUN,34.87,4,11,0.364,4,11,0.364,0,0,0.0,4,6,0.667,2,4,6,1,1,1,4,2,12,5.3,-8,0.44,0.364,0.0,0.545,6.0,11.4,8.8,5.0,1.5,1.9,22.7,22.4,77,96,-5.4
2000-01,2000-11-10,HAW,CLI,CLI,34.65,4,11,0.364,4,11,0.364,0,0,0.0,6,6,1.0,0,3,3,2,1,1,2,4,14,8.3,-15,0.513,0.364,0.0,0.545,0.0,15.8,7.9,8.7,1.5,2.4,12.8,21.6,100,127,-8.1
2000-01,2000-11-14,HAW,BLA,HAW,28.87,5,10,0.5,5,10,0.5,0,0,0.0,2,2,1.0,3,1,4,0,0,0,0,3,12,8.2,0,0.551,0.5,0.0,0.2,16.6,4.6,10.0,0.0,0.0,0.0,0.0,17.3,132,114,-1.3
2000-01,2000-11-15,HAW,BUC,BUC,35.97,5,11,0.455,5,11,0.455,0,0,0.0,1,3,0.333,4,7,11,1,2,0,2,4,11,8.5,-8,0.446,0.455,0.0,0.273,13.0,23.9,18.3,6.6,3.2,0.0,14.0,18.9,91,97,-0.2
2000-01,2000-11-17,HAW,CEL,CEL,27.65,4,8,0.5,4,8,0.5,0,0,0.0,4,4,1.0,2,2,4,2,0,0,2,5,12,7.4,8,0.615,0.5,0.0,0.5,11.8,8.0,9.5,11.4,0.0,0.0,17.0,20.4,119,128,-6.0
