SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2004-05,2004-11-23,ROC,KIN,KIN,18.17,2,3,0.667,0,1,0.0,2,2,1.0,0,0,0.0,0,3,3,2,0,0,0,1,6,6.6,0,1.0,1.0,0.667,0.0,0.0,17.4,10.4,16.8,0.0,0.0,0.0,8.6,197,119,8.2
2004-05,2004-11-26,ROC,JAZ,JAZ,15.2,2,4,0.5,2,2,1.0,0,2,0.0,0,0,0.0,1,1,2,2,2,0,0,1,4,6.0,6,0.5,0.5,0.5,0.0,6.5,9.4,7.7,28.3,8.1,0.0,0.0,13.1,129,104,9.9
2004-05,2004-11-27,ROC,NUG,ROC,2.28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.0,0,98,-36.6
2004-05,2004-11-30,ROC,PIS,ROC,1.95,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.8,-2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,78.7,0,126,-92.5
2004-05,2004-12-02,ROC,MAV,MAV,20.73,2,7,0.286,0,1,0.0,2,6,0.333,0,0,0.0,1,0,1,3,1,0,0,2,6,4.9,7,0.429,0.429,0.857,0.0,4.2,0.0,2.5,21.1,2.6,0.0,0.0,14.5,121,118,3.0
2004-05,2004-12-04,ROC,76E,ROC,22.88,2,5,0.4,1,1,1.0,1,4,0.25,3,4,0.75,1,0,1,1,3,0,1,4,8,6.7,5,0.592,0.5,0.8,0.8,4.8,0.0,2.3,10.0,6.9,0.0,12.9,15.2,113,84,6.2
2004-05,2004-12-07,ROC,NHO,ROC,27.93,5,7,0.714,4,4,1.0,1,3,0.333,3,4,0.75,0,0,0,4,0,0,1,5,14,10.5,2,0.799,0.786,0.429,0.571,0.0,0.0,0.0,29.3,0.0,0.0,10.2,17.8,150,110,2.5
2004-05,2004-12-09,ROC,SPU,ROC,29.25,1,6,0.167,1,5,0.2,0,1,0.0,0,0,0.0,0,2,2,4,2,0,3,0,2,0.6,4,0.167,0.167,0.167,0.0,0.0,7.4,3.7,23.4,3.7,0.0,33.3,13.7,43,95,-4.9
2004-05,2004-12-11,ROC,MAV,ROC,25.23,1,5,0.2,0,3,0.0,1,2,0.5,0,0,0.0,0,1,1,6,0,0,0,1,3,4.0,-7,0.3,0.3,0.4,0.0,0.0,4.5,2.2,52.2,0.0,0.0,0.0,9.8,102,126,-1.2
2004-05,2004-12-15,ROC,HAW,ROC,1.83,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,91,-6.5
2004-05,2004-12-17,ROC,WAR,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2004-12-18,ROC,BOB,BOB,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2004-12-20,ROC,RAP,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2004-12-22,ROC,BOB,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-01-02,ROC,JAZ,ROC,1.47,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.4,0,99,-34.0
2004-05,2005-01-05,ROC,SUN,ROC,19.95,1,4,0.25,0,2,0.0,1,2,0.5,0,0,0.0,0,1,1,4,1,0,2,3,3,1.5,-1,0.375,0.375,0.5,0.0,0.0,5.1,2.3,25.6,2.5,0.0,33.3,11.9,76,120,-5.8
2004-05,2005-01-07,ROC,LAK,LAK,6.3,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,2,2.0,-6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,6.8,204,128,1.0
2004-05,2005-01-09,ROC,NUG,NUG,19.65,2,4,0.5,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,2,0,0,2,1,5,2.3,6,0.625,0.625,0.5,0.0,0.0,6.0,3.2,12.9,0.0,0.0,33.3,13.6,90,114,-5.8
2004-05,2005-01-12,ROC,MAV,MAV,4.22,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.0,0,135,-24.6
2004-05,2005-01-13,ROC,NNE,ROC,7.87,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.3,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,6.3,0,80,0.1
2004-05,2005-01-15,ROC,SPU,ROC,11.75,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,1,1,0,2,3,0,-2.2,7,0.0,0.0,0.0,0.0,8.9,0.0,4.5,16.0,4.7,0.0,50.0,15.8,21,77,-11.3
2004-05,2005-01-17,ROC,GRI,GRI,15.65,1,5,0.2,1,2,0.5,0,3,0.0,0,0,0.0,1,0,1,4,1,0,0,1,2,3.0,-4,0.2,0.2,0.6,0.0,7.9,0.0,4.2,48.0,3.6,0.0,0.0,15.7,84,118,1.1
2004-05,2005-01-18,ROC,PAC,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-01-20,ROC,MAG,MAG,4.85,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2.2,-4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0,116,-30.6
2004-05,2005-01-21,ROC,KNI,KNI,3.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,12.1,0,114,-26.8
2004-05,2005-01-24,ROC,MAG,ROC,2.1,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.8,-2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,0,91,-49.9
2004-05,2005-01-26,ROC,NHO,NHO,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-01-28,ROC,KIN,ROC,3.03,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,-1,0.0,0.0,1.0,0.0,0.0,43.1,21.3,0.0,0.0,0.0,0.0,15.1,0,116,-26.4
2004-05,2005-01-30,ROC,HEA,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-01-31,ROC,CEL,CEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-02-02,ROC,76E,76E,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,108,-4.3
2004-05,2005-02-04,ROC,TIM,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-02-06,ROC,LAK,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-02-09,ROC,BUL,ROC,6.37,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,-0.7,-3,0.0,0.0,0.667,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,23.1,42,111,-16.9
2004-05,2005-02-11,ROC,PAC,PAC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-02-13,ROC,BLA,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2004-05,2005-02-15,ROC,WIZ,ROC,3.27,0,1,0.0,0,0,0.0,0,1,0.0,1,2,0.5,0,0,0,2,0,0,0,1,1,0.9,2,0.266,0.0,1.0,2.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,29.3,111,110,-10.4
2004-05,2005-02-22,ROC,SUP,ROC,21.52,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,2,4,2,0,1,1,0,3.3,8,0.0,0.0,1.0,0.0,0.0,9.9,5.0,26.4,5.0,0.0,50.0,4.4,75,98,0.6
2004-05,2005-02-23,ROC,SPU,SPU,11.72,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-1.6,-4,0.0,0.0,0.5,0.0,0.0,23.5,11.1,0.0,0.0,0.0,0.0,8.2,0,116,-15.3
2004-05,2005-04-01,MAG,WIZ,MAG,16.18,3,8,0.375,2,4,0.5,1,4,0.25,0,0,0.0,1,2,3,0,1,0,0,4,7,3.3,7,0.438,0.438,0.5,0.0,5.6,13.1,9.1,0.0,2.9,0.0,0.0,18.9,109,113,-4.9
2004-05,2005-04-02,MAG,NNE,NNE,24.03,5,10,0.5,4,8,0.5,1,2,0.5,0,0,0.0,1,2,3,2,0,0,0,1,11,8.3,14,0.55,0.55,0.2,0.0,5.4,9.9,7.7,19.4,0.0,0.0,0.0,19.6,118,113,-0.3
2004-05,2005-04-05,MAG,MAV,MAV,13.17,2,3,0.667,1,2,0.5,1,1,1.0,2,2,1.0,0,2,2,2,0,1,1,2,7,6.6,8,0.902,0.833,0.333,0.667,0.0,20.0,9.8,21.3,0.0,6.4,20.5,17.5,152,123,8.7
2004-05,2005-04-06,MAG,BUL,MAG,10.25,1,4,0.25,1,4,0.25,0,0,0.0,1,2,0.5,1,1,2,0,1,0,2,0,3,0.2,-8,0.307,0.25,0.0,0.5,10.5,7.8,8.9,0.0,4.5,0.0,29.1,27.4,53,96,-12.7
2004-05,2005-04-08,MAG,PIS,MAG,6.02,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,0,-1.5,3,0.0,0.0,0.0,0.0,0.0,40.0,19.3,0.0,0.0,0.0,50.0,15.3,0,122,-26.6
2004-05,2005-04-11,MAG,CAV,MAG,6.02,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,0.7,-6,0.0,0.0,0.0,0.0,24.2,0.0,10.3,19.5,0.0,0.0,0.0,7.3,107,131,-6.0
2004-05,2005-04-13,MAG,PIS,PIS,21.23,3,6,0.5,3,4,0.75,0,2,0.0,2,2,1.0,2,0,2,4,0,0,3,2,8,5.4,-4,0.581,0.5,0.333,0.333,9.3,0.0,5.2,30.7,0.0,0.0,30.4,20.2,98,123,-5.3
2004-05,2005-04-15,MAG,BUL,BUL,18.55,2,7,0.286,2,5,0.4,0,2,0.0,0,0,0.0,0,1,1,5,0,0,0,0,4,3.7,-11,0.286,0.286,0.286,0.0,0.0,5.7,2.4,48.7,0.0,0.0,0.0,15.0,85,127,-5.3
2004-05,2005-04-16,MAG,BUC,BUC,32.62,5,8,0.625,4,6,0.667,1,2,0.5,1,2,0.5,0,4,4,12,2,0,1,4,12,17.0,-1,0.676,0.688,0.25,0.25,0.0,12.0,6.1,50.7,3.0,0.0,10.1,12.2,148,109,9.5
2004-05,2005-04-18,MAG,PAC,MAG,4.98,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,0,0,-0.3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,100.0,10.0,41,115,-11.9
2004-05,2005-04-20,MAG,HEA,MAG,14.78,4,7,0.571,3,5,0.6,1,2,0.5,1,1,1.0,0,1,1,0,1,0,2,2,10,5.2,5,0.672,0.643,0.286,0.143,0.0,11.0,4.9,0.0,3.5,0.0,21.2,27.2,111,107,2.0
2005-06,2006-03-01,SUN,BUC,SUN,1.87,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,114,-4.8
2005-06,2006-03-03,SUN,MAG,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2006-03-05,SUN,MAV,MAV,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2006-03-06,SUN,NOH,NOH,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2006-03-09,SUN,SPU,SUN,19.45,3,7,0.429,3,6,0.5,0,1,0.0,3,3,1.0,1,2,3,2,0,0,1,1,9,6.6,-9,0.541,0.429,0.143,0.429,5.7,12.3,8.9,14.7,0.0,0.0,10.7,22.1,114,131,-1.7
2005-06,2006-03-11,SUN,TIM,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2006-03-12,SUN,BLA,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2006-03-14,SUN,SUP,SUP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2006-03-15,RAP,PIS,RAP,14.97,2,7,0.286,2,6,0.333,0,1,0.0,0,0,0.0,1,0,1,6,1,0,0,0,4,5.8,6,0.286,0.286,0.143,0.0,6.7,0.0,3.8,54.1,3.7,0.0,0.0,21.4,109,121,5.1
2005-06,2006-03-17,RAP,BUC,RAP,16.12,2,6,0.333,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,1,0,0,1,0,4,0.6,-11,0.333,0.333,0.167,0.0,0.0,6.9,3.3,11.4,0.0,0.0,14.3,19.6,66,111,-12.1
2005-06,2006-03-21,RAP,KNI,KNI,24.47,1,5,0.2,1,3,0.333,0,2,0.0,2,4,0.5,0,2,2,3,0,0,1,2,4,1.0,-5,0.296,0.2,0.4,0.8,0.0,12.3,5.0,15.9,0.0,0.0,12.9,13.6,79,121,-11.2
2005-06,2006-03-22,RAP,CEL,CEL,13.25,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,2,3,0,2,0,2,2.7,-6,0.333,0.333,0.0,0.0,0.0,0.0,0.0,21.7,11.8,0.0,40.0,17.3,56,102,0.8
2005-06,2006-03-24,RAP,TIM,RAP,16.72,2,7,0.286,2,6,0.333,0,1,0.0,2,2,1.0,0,0,0,2,0,0,0,0,6,3.3,6,0.381,0.286,0.143,0.286,0.0,0.0,0.0,20.3,0.0,0.0,0.0,21.9,108,99,-3.6
2005-06,2006-03-26,RAP,BUC,BUC,5.22,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,1,0,0,0,1,0,0.6,-5,0.0,0.0,0.0,0.0,22.6,32.8,26.7,22.1,0.0,0.0,0.0,9.0,102,130,-8.1
