SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,2005-11-02,LAK,NUG,NUG,5.48,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,2,0,0,0,1.0,2,0.0,0.0,0.0,0.0,23.6,19.7,21.5,0.0,0.0,23.9,0.0,16.4,34,74,-1.5
2005-06,2005-11-06,LAK,NUG,LAK,4.15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,3,0.0,0.0,0.0,0.0,0.0,28.2,14.8,0.0,0.0,0.0,0.0,0.0,0,96,-0.2
2005-06,2005-11-08,LAK,HAW,HAW,3.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,112,-5.8
2005-06,2005-11-09,LAK,TIM,TIM,2.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,111,-14.9
2005-06,2005-11-11,LAK,76E,76E,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-14,LAK,GRI,GRI,6.25,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,2,0,1,0,-0.4,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,0.0,14.8,0,99,-7.7
2005-06,2005-11-16,LAK,KNI,LAK,5.55,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,2,0,0,0,2.7,5,0.0,0.0,0.0,0.0,24.7,36.8,31.6,22.8,0.0,21.6,0.0,7.8,92,86,15.4
2005-06,2005-11-18,LAK,CLI,LAK,7.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,5,5,0,0,0,0,0,0,1.5,-2,0.0,0.0,0.0,0.0,0.0,98.0,39.7,0.0,0.0,0.0,0.0,0.0,0,97,0.5
2005-06,2005-11-20,LAK,BUL,LAK,17.62,1,3,0.333,1,3,0.333,0,0,0.0,2,2,1.0,1,2,3,0,0,2,0,1,4,4.6,2,0.515,0.333,0.0,0.667,6.2,13.0,9.5,0.0,0.0,7.3,0.0,10.3,122,104,0.0
2005-06,2005-11-24,LAK,SUP,LAK,5.97,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,3,2,-0.2,-13,0.333,0.333,0.0,0.0,18.3,0.0,9.5,0.0,0.0,0.0,0.0,22.6,95,115,-21.0
2005-06,2005-11-27,LAK,NNE,LAK,11.87,2,4,0.5,2,4,0.5,0,0,0.0,1,3,0.333,4,0,4,0,0,0,1,2,5,3.2,-8,0.47,0.5,0.0,0.75,28.8,0.0,18.4,0.0,0.0,0.0,15.8,22.3,98,109,-4.5
2005-06,2005-11-29,LAK,SPU,SPU,21.27,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0.0,1,5,6,0,0,2,1,3,6,4.4,2,0.5,0.5,0.0,0.0,4.0,28.2,14.0,0.0,0.0,6.8,14.3,14.1,92,95,-1.9
2005-06,2005-12-01,LAK,JAZ,JAZ,8.4,0,0,0.0,0,0,0.0,0,0,0.0,0,4,0.0,1,0,1,0,0,0,1,2,0,-2.7,-14,0.0,0.0,0.0,0.0,13.7,0.0,6.9,0.0,0.0,0.0,36.2,15.7,20,120,-24.3
2005-06,2005-12-02,LAK,TIM,LAK,8.28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-1.8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.6,0,140,-18.0
2005-06,2005-12-04,LAK,BOB,LAK,8.92,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,1,0,2,0,0.1,-6,0.0,0.0,0.0,0.0,12.0,40.4,25.3,0.0,0.0,8.0,0.0,9.8,34,103,-13.3
