SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2011-12,2011-12-25,LAK,BUL,LAK,12.6,2,3,0.667,0,0,0.0,2,3,0.667,0,0,0.0,1,1,2,0,0,0,1,0,6,4.7,6,1.0,1.0,1.0,0.0,10.3,8.3,9.2,0.0,0.0,0.0,25.0,15.0,130,107,7.9
2011-12,2011-12-26,LAK,KIN,KIN,6.9,0,4,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-2.1,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,25.9,15,122,-25.6
2011-12,2011-12-27,LAK,JAZ,LAK,1.85,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,0,100,-31.3
2011-12,2011-12-29,LAK,KNI,LAK,1.67,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,106,-17.4
2011-12,2011-12-31,LAK,NUG,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-01,LAK,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-03,LAK,ROC,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-05,LAK,BLA,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-06,LAK,WAR,LAK,7.27,1,2,0.5,1,1,1.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,2,1,4,0.6,-6,0.694,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,29.6,81,104,-14.0
2011-12,2012-01-08,LAK,GRI,LAK,9.85,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,33.3,13.3,21,94,-14.3
2011-12,2012-01-10,LAK,SUN,LAK,8.88,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,0,0,-2.7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,15.6,0,104,-22.2
2011-12,2012-01-11,LAK,JAZ,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-13,LAK,CAV,LAK,3.18,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0,109,-26.4
2011-12,2012-01-14,LAK,CLI,CLI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-16,LAK,MAV,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-19,LAK,HEA,HEA,0.87,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126,-8.6
2011-12,2012-01-20,LAK,MAG,MAG,3.63,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,0,0.3,-5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.6,0.0,0.0,14.1,0,84,0.6
2011-12,2012-01-22,LAK,PAC,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-25,LAK,CLI,LAK,20.4,5,8,0.625,3,5,0.6,2,3,0.667,2,2,1.0,1,1,2,0,0,0,1,0,14,10.4,10,0.788,0.75,0.375,0.25,6.7,5.5,6.0,0.0,0.0,0.0,10.1,24.2,138,116,7.2
2011-12,2012-01-28,LAK,BUC,BUC,22.88,5,10,0.5,2,5,0.4,3,5,0.6,0,0,0.0,0,0,0,1,0,0,1,2,13,6.9,-13,0.65,0.65,0.5,0.0,0.0,0.0,0.0,8.2,0.0,0.0,9.1,22.3,121,123,1.1
2011-12,2012-01-29,LAK,TIM,TIM,14.83,3,7,0.429,2,5,0.4,1,2,0.5,0,0,0.0,0,1,1,1,0,0,1,2,7,2.5,-7,0.5,0.5,0.286,0.0,0.0,5.6,3.5,10.7,0.0,0.0,12.5,25.9,92,118,-7.6
2011-12,2012-01-31,LAK,BOB,LAK,25.2,4,9,0.444,2,5,0.4,2,4,0.5,2,2,1.0,1,2,3,3,0,0,1,2,12,8.9,22,0.607,0.556,0.444,0.222,6.6,7.3,7.1,16.6,0.0,0.0,9.2,21.6,128,90,0.0
2011-12,2012-02-03,LAK,NUG,NUG,20.1,6,10,0.6,5,7,0.714,1,3,0.333,0,0,0.0,0,2,2,0,1,0,0,1,13,9.6,3,0.65,0.65,0.3,0.0,0.0,10.9,5.5,0.0,2.6,0.0,0.0,23.9,124,99,6.5
2011-12,2012-02-04,LAK,JAZ,JAZ,18.57,1,5,0.2,1,3,0.333,0,2,0.0,2,2,1.0,0,1,1,1,0,0,1,2,4,0.1,2,0.34,0.2,0.4,0.4,0.0,5.9,2.8,9.8,0.0,0.0,14.5,17.6,74,120,-11.2
2011-12,2012-02-06,LAK,76E,76E,20.55,4,6,0.667,3,5,0.6,1,1,1.0,0,0,0.0,0,2,2,1,0,0,1,2,9,5.9,6,0.75,0.75,0.167,0.0,0.0,11.1,5.5,9.5,0.0,0.0,14.3,15.5,132,120,1.0
2011-12,2012-02-09,LAK,CEL,CEL,8.48,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-2.4,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,16.9,0,105,-21.2
2011-12,2012-02-10,LAK,KNI,KNI,6.82,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,1,3,0.2,-4,0.5,0.5,0.667,0.0,0.0,16.0,7.9,0.0,0.0,0.0,25.0,26.3,74,101,-6.4
2011-12,2012-02-12,LAK,RAP,RAP,16.32,3,7,0.429,2,4,0.5,1,3,0.333,0,0,0.0,1,0,1,1,0,0,0,0,7,4.7,-5,0.5,0.5,0.429,0.0,6.7,0.0,3.7,11.2,0.0,0.0,0.0,19.6,116,110,0.5
2011-12,2012-02-14,LAK,HAW,LAK,13.67,4,6,0.667,2,4,0.5,2,2,1.0,0,0,0.0,0,2,2,0,0,0,1,1,10,6.6,5,0.833,0.833,0.333,0.0,0.0,12.8,7.1,0.0,0.0,0.0,14.3,23.4,129,93,11.4
2011-12,2012-02-17,LAK,SUN,LAK,12.85,2,5,0.4,2,3,0.667,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,1.3,8,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,83,104,-9.6
