SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,2003-01-19,MAV,SUP,SUP,5.62,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0,1,0,1,0,1,0,2,1,0,-1.4,-9,0.0,0.0,1.0,0.0,21.3,0.0,12.6,0.0,11.3,0.0,66.7,28.7,17,82,-15.5
2002-03,2003-01-21,MAV,ROC,MAV,10.57,1,7,0.143,1,6,0.167,0,1,0.0,0,0,0,1,1,2,1,0,0,0,2,2,-1.6,-1,0.143,0.143,0.143,0.0,10.4,10.6,10.5,13.8,0.0,0.0,0.0,28.5,55,104,-24.5
2002-03,2003-01-23,MAV,76E,76E,6.67,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0,1,2,0,-2.2,-6,0.0,0.0,0.0,0.0,0.0,17.6,8.7,0.0,0.0,0.0,50.0,13.7,0,110,-24.9
2002-03,2003-01-24,MAV,KNI,KNI,8.93,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,-1.4,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.4,0,112,-12.7
2002-03,2003-01-26,MAV,BLA,MAV,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2002-03,2003-01-29,MAV,ROC,ROC,11.0,1,6,0.167,1,5,0.2,0,1,0.0,0,0,0,0,0,0,0,2,0,0,1,2,-0.2,-6,0.167,0.167,0.167,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,25.0,37,81,-11.7
2002-03,2003-01-30,MAV,TIM,MAV,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2002-03,2003-02-01,MAV,NUG,MAV,13.72,2,4,0.5,1,3,0.333,1,1,1.0,0,0,0,0,0,0,1,0,0,1,0,5,2.7,-13,0.625,0.625,0.25,0.0,0.0,0.0,0.0,8.3,0.0,0.0,20.0,16.1,101,113,-4.5
2002-03,2003-02-03,MAV,JAZ,JAZ,8.67,0,4,0.0,0,3,0.0,0,1,0.0,0,0,0,1,0,1,3,0,0,1,2,0,-1.8,-6,0.0,0.0,0.25,0.0,13.3,0.0,6.9,43.2,0.0,0.0,20.0,27.5,47,118,-22.7
2002-03,2003-02-04,MAV,KIN,MAV,4.97,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0.7,-2,0.0,0.0,0.0,0.0,19.2,0.0,10.5,25.3,0.0,0.0,0.0,9.2,98,118,-2.9
2002-03,2003-02-11,MAV,TIM,TIM,4.55,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1.7,-3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,200,114,4.4
2002-03,2003-02-12,MAV,BUC,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
