SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-01,CEL,PIS,CEL,40.7,12,19,0.632,9,13,0.692,3,6,0.5,6,6,1.0,3,9,12,4,0,3,4,1,33,29.8,24,0.762,0.711,0.316,0.316,8.2,21.1,15.1,26.1,0.0,4.9,15.6,27.9,131,87,13.5
2000-01,2000-11-03,CEL,RAP,CEL,35.4,8,20,0.4,6,16,0.375,2,4,0.5,2,2,1.0,3,4,7,1,0,0,6,3,20,6.0,-5,0.479,0.45,0.2,0.1,9.4,14.4,11.7,6.0,0.0,0.0,22.3,34.1,83,104,-7.2
2000-01,2000-11-04,CEL,CAV,CAV,42.32,8,22,0.364,6,18,0.333,2,4,0.5,7,8,0.875,3,6,9,0,0,0,4,3,25,11.1,8,0.49,0.409,0.182,0.364,8.2,18.5,13.0,0.0,0.0,0.0,13.6,29.8,93,99,-3.3
2000-01,2000-11-07,CEL,RAP,RAP,27.15,5,12,0.417,3,8,0.375,2,4,0.5,0,0,0.0,1,2,3,3,1,0,3,3,12,5.8,-25,0.5,0.5,0.333,0.0,3.1,11.1,5.9,25.3,1.8,0.0,20.0,23.1,85,112,-1.2
2000-01,2000-11-10,CEL,KNI,CEL,49.12,10,22,0.455,8,17,0.471,2,5,0.4,3,4,0.75,0,12,12,5,0,0,3,0,25,17.3,2,0.526,0.5,0.227,0.182,0.0,29.5,15.3,24.4,0.0,0.0,11.2,27.8,99,109,1.3
2000-01,2000-11-11,CEL,76E,76E,41.73,6,21,0.286,4,18,0.222,2,3,0.667,1,4,0.25,1,7,8,4,1,1,3,5,15,3.8,4,0.33,0.333,0.143,0.19,2.4,17.4,9.8,18.9,1.2,1.7,11.6,27.3,68,91,-3.0
2000-01,2000-11-15,CEL,WIZ,CEL,43.18,10,22,0.455,6,17,0.353,4,5,0.8,2,4,0.5,4,9,13,5,1,2,3,3,26,21.0,1,0.547,0.545,0.227,0.182,10.6,25.1,17.7,17.5,1.2,3.5,11.2,26.5,118,112,4.3
2000-01,2000-11-17,CEL,HAW,CEL,39.88,9,17,0.529,6,12,0.5,3,5,0.6,1,2,0.5,2,5,7,2,1,1,3,1,22,15.9,11,0.615,0.618,0.294,0.118,5.6,20.7,11.7,9.9,1.4,2.1,14.4,23.6,115,114,1.3
2000-01,2000-11-18,CEL,WIZ,WIZ,35.22,9,22,0.409,5,13,0.385,4,9,0.444,4,4,1.0,3,7,10,2,0,0,4,3,26,14.6,-24,0.547,0.5,0.409,0.182,8.8,29.1,17.1,14.7,0.0,0.0,14.4,35.0,103,119,2.0
2000-01,2000-11-20,CEL,76E,CEL,32.98,5,18,0.278,4,11,0.364,1,7,0.143,2,4,0.5,1,5,6,3,0,0,5,5,13,-1.1,-24,0.329,0.306,0.389,0.222,3.0,15.8,9.2,17.0,0.0,0.0,20.2,30.2,67,118,-12.1
2000-01,2000-11-22,CEL,ROC,CEL,29.92,5,15,0.333,5,14,0.357,0,1,0.0,3,3,1.0,2,11,13,8,1,0,2,1,13,13.4,17,0.398,0.333,0.067,0.2,8.0,29.3,20.8,47.4,1.7,0.0,10.9,27.0,98,77,6.3
2000-01,2000-11-24,CEL,MAG,CEL,42.7,9,22,0.409,7,18,0.389,2,4,0.5,5,8,0.625,3,11,14,2,1,0,2,4,25,16.2,4,0.49,0.455,0.182,0.364,8.4,30.8,19.6,11.3,1.2,0.0,7.3,30.3,101,97,0.6
