SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2007-08,2007-11-01,PIS,HEA,HEA,14.18,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0.0,0,1,1,1,1,0,0,2,3,2.5,-9,0.5,0.5,0.667,0.0,0.0,9.1,4.0,12.3,3.7,0.0,0.0,9.8,114,88,1.2
2007-08,2007-11-02,PIS,MAG,MAG,25.75,2,3,0.667,2,3,0.667,0,0,0.0,4,4,1.0,0,1,1,1,0,0,3,1,8,4.3,9,0.84,0.667,0.0,1.333,0.0,4.3,2.5,4.7,0.0,0.0,38.7,14.6,106,111,-3.1
2007-08,2007-11-04,PIS,HAW,PIS,5.58,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-2.1,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,16.5,0,114,-29.0
2007-08,2007-11-08,PIS,BUL,BUL,3.68,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,0,-0.1,-2,0.0,0.0,1.0,0.0,0.0,29.6,15.7,40.7,0.0,0.0,0.0,12.8,49,100,-6.2
2007-08,2007-11-09,PIS,CLI,PIS,17.5,2,5,0.4,2,3,0.667,0,2,0.0,0,0,0.0,0,5,5,1,0,0,2,0,4,1.5,-11,0.4,0.4,0.4,0.0,0.0,29.2,15.9,7.5,0.0,0.0,28.6,18.0,65,88,-7.1
2007-08,2007-11-11,PIS,SUP,SUP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2007-08,2007-11-13,PIS,BLA,BLA,4.75,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-0.4,3,0.0,0.0,1.0,0.0,0.0,31.6,12.8,0.0,0.0,0.0,0.0,9.9,0,118,-13.6
2007-08,2007-11-14,PIS,WAR,WAR,9.02,1,1,1.0,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,4,3.3,1,1.064,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,228,122,2.3
2007-08,2007-11-16,PIS,LAK,LAK,11.5,2,4,0.5,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,4,3.3,4,0.5,0.5,0.25,0.0,0.0,14.6,9.0,16.9,0.0,0.0,0.0,15.9,122,119,1.0
2007-08,2007-11-18,PIS,KIN,KIN,8.58,2,4,0.5,2,3,0.667,0,1,0.0,1,1,1.0,0,0,0,1,0,0,0,1,5,3.3,3,0.563,0.5,0.25,0.25,0.0,0.0,0.0,22.5,0.0,0.0,0.0,24.9,122,124,2.6
2007-08,2007-11-21,PIS,KNI,PIS,15.62,2,7,0.286,2,4,0.5,0,3,0.0,1,2,0.5,2,1,3,0,0,0,0,2,5,1.4,-6,0.317,0.286,0.429,0.286,15.4,8.3,12.0,0.0,0.0,0.0,0.0,25.5,85,110,-16.0
2007-08,2007-11-23,PIS,76E,PIS,18.97,4,8,0.5,4,6,0.667,0,2,0.0,0,0,0.0,0,0,0,2,1,0,0,2,8,5.6,10,0.5,0.5,0.25,0.0,0.0,0.0,0.0,21.2,3.2,0.0,0.0,21.1,108,102,4.4
2007-08,2007-11-25,PIS,JAZ,PIS,3.15,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,0,123,-19.1
2007-08,2007-11-28,PIS,CAV,PIS,8.02,1,1,1.0,1,1,1.0,0,0,0.0,3,3,1.0,0,0,0,0,0,0,0,0,5,4.7,14,1.078,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,233,101,9.3
2007-08,2007-12-01,PIS,BUC,BUC,21.9,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,2,4,2.5,17,0.667,0.667,0.0,0.0,0.0,23.5,9.8,5.5,0.0,0.0,25.0,8.0,105,105,-3.4
2007-08,2007-12-02,PIS,NNE,PIS,13.77,1,2,0.5,1,1,1.0,0,1,0.0,2,2,1.0,1,0,1,0,0,0,0,1,4,3.3,2,0.694,0.5,0.5,1.0,9.7,0.0,4.8,0.0,0.0,0.0,0.0,10.0,169,122,-2.2
2007-08,2007-12-04,PIS,HAW,HAW,11.93,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,2,0,0,0,2,2,3.2,-18,1.0,1.0,0.0,0.0,0.0,32.6,16.8,21.2,0.0,0.0,0.0,3.9,206,109,2.8
2007-08,2007-12-05,PIS,NHO,NHO,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2007-08,2007-12-07,PIS,BUL,PIS,5.6,1,3,0.333,0,2,0.0,1,1,1.0,0,0,0.0,1,2,3,0,0,0,0,0,3,2.6,2,0.5,0.5,0.333,0.0,18.6,39.0,28.6,0.0,0.0,0.0,0.0,25.7,113,108,7.9
2007-08,2007-12-09,PIS,BOB,PIS,16.15,1,2,0.5,1,1,1.0,0,1,0.0,3,3,1.0,0,1,1,1,1,0,1,0,5,5.0,3,0.753,0.5,0.5,1.5,0.0,7.1,3.9,9.9,3.5,0.0,23.1,12.6,131,99,5.2
2007-08,2007-12-11,PIS,GRI,GRI,6.83,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,4,4.7,11,1.0,1.0,0.0,0.0,0.0,34.3,17.6,26.1,0.0,0.0,0.0,13.6,202,112,14.0
2007-08,2007-12-12,PIS,ROC,ROC,8.9,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,1,0,-0.4,-1,0.0,0.0,1.0,0.0,11.0,12.8,11.9,18.0,0.0,0.0,50.0,10.6,41,95,-7.3
2007-08,2007-12-14,PIS,HAW,PIS,11.95,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,1,2,2.0,6,0.5,0.5,0.0,0.0,9.3,0.0,4.4,13.9,0.0,0.0,0.0,8.1,131,104,0.6
2007-08,2007-12-16,PIS,WAR,PIS,24.43,5,10,0.5,4,7,0.571,1,3,0.333,0,0,0.0,1,3,4,2,1,0,0,2,11,9.2,20,0.55,0.55,0.3,0.0,6.3,12.3,9.9,12.6,2.2,0.0,0.0,19.5,135,101,2.6
2007-08,2007-12-19,PIS,CEL,CEL,10.93,1,2,0.5,1,2,0.5,0,0,0.0,2,2,1.0,1,1,2,0,0,0,0,0,4,4.0,4,0.694,0.5,0.0,1.0,11.9,12.9,12.4,0.0,0.0,0.0,0.0,13.2,161,108,7.4
2007-08,2007-12-21,PIS,GRI,PIS,20.68,3,4,0.75,3,4,0.75,0,0,0.0,6,7,0.857,2,3,5,2,1,0,0,1,12,14.3,18,0.847,0.75,0.0,1.75,10.3,15.8,13.0,17.2,2.6,0.0,0.0,16.1,184,79,16.6
2007-08,2007-12-23,PIS,ROC,PIS,17.98,0,3,0.0,0,3,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,0,1,1,-1.6,-9,0.129,0.0,0.0,0.667,0.0,6.8,3.4,0.0,0.0,0.0,0.0,10.0,32,100,-10.8
2007-08,2007-12-26,PIS,NNE,NNE,8.67,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,2,0.1,0,0.333,0.333,0.333,0.0,0.0,33.6,17.0,0.0,0.0,0.0,0.0,17.1,68,100,-13.9
2007-08,2007-12-28,PIS,PAC,PIS,14.95,3,4,0.75,2,3,0.667,1,1,1.0,1,4,0.25,0,2,2,1,0,1,1,0,8,6.2,-8,0.694,0.875,0.25,1.0,0.0,17.4,7.9,9.3,0.0,4.9,14.8,19.2,110,111,4.5
2007-08,2007-12-29,PIS,PAC,PAC,4.07,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.1,3,0.0,0.0,0.0,0.0,0.0,28.1,14.4,0.0,0.0,0.0,0.0,0.0,0,105,-8.9
2007-08,2007-12-31,PIS,BUC,PIS,20.78,2,4,0.5,2,4,0.5,0,0,0.0,2,2,1.0,0,1,1,2,2,1,3,2,6,4.6,21,0.615,0.5,0.0,0.5,0.0,5.1,3.1,11.4,5.3,3.8,38.1,18.5,85,75,1.3
2007-08,2008-01-02,PIS,WIZ,WIZ,6.52,0,0,0.0,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,1,0,1,1,2,1.6,-2,1.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,53.2,13.8,106,98,3.4
2007-08,2008-01-04,PIS,RAP,RAP,4.15,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.8,0,0.0,0.0,0.0,0.0,0.0,23.6,13.9,0.0,0.0,0.0,0.0,12.6,0,100,-18.3
2007-08,2008-01-05,PIS,CEL,PIS,2.97,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-0.7,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,34.0,27,120,-18.7
2007-08,2008-01-09,PIS,MAV,MAV,12.97,3,7,0.429,2,6,0.333,1,1,1.0,1,1,1.0,3,0,3,0,2,0,0,0,8,8.4,-1,0.538,0.5,0.143,0.143,24.7,0.0,14.6,0.0,8.9,0.0,0.0,27.7,129,112,16.6
2007-08,2008-01-10,PIS,SPU,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2007-08,2008-01-12,PIS,BOB,BOB,4.12,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,2,0,0,0,0,1.6,6,0.0,0.0,1.0,0.0,0.0,29.3,13.8,0.0,26.9,0.0,0.0,10.8,0,52,17.7
