SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-10-18,HEA,MAG,MAG,5.7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-1.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0,117,-20.4
2017-18,2017-10-21,HEA,PAC,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-10-23,HEA,HAW,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-10-25,HEA,SPU,HEA,19.58,2,6,0.333,2,6,0.333,0,0,0.0,0,0,0.0,1,7,8,0,0,1,0,3,4,2.9,-12,0.333,0.333,0.0,0.0,6.1,47.7,25.8,0.0,0.0,4.2,0.0,15.2,77,121,-8.8
2017-18,2017-10-28,HEA,CEL,HEA,24.32,2,4,0.5,2,4,0.5,0,0,0.0,2,2,1.0,1,2,3,0,1,1,1,3,6,4.8,-9,0.615,0.5,0.0,0.5,5.5,8.8,7.3,0.0,2.1,3.4,17.0,11.0,109,103,-1.3
2017-18,2017-10-30,HEA,TIM,HEA,31.18,5,9,0.556,5,9,0.556,0,0,0.0,3,6,0.5,10,3,13,0,0,0,1,3,13,13.2,-16,0.558,0.556,0.0,0.667,37.8,11.3,24.6,0.0,0.0,0.0,7.9,16.8,133,120,-1.0
2017-18,2017-11-01,HEA,BUL,HEA,13.07,1,2,0.5,1,2,0.5,0,0,0.0,2,2,1.0,0,4,4,0,2,0,0,0,4,6.2,8,0.694,0.5,0.0,1.0,0.0,28.3,14.4,0.0,7.4,0.0,0.0,10.3,141,77,7.6
2017-18,2017-11-03,HEA,NUG,NUG,3.52,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,6,0.0,0.0,0.0,0.0,0.0,29.7,16.6,0.0,0.0,0.0,0.0,0.0,0,102,-3.2
2017-18,2017-11-05,HEA,CLI,CLI,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,121,-26.3
2017-18,2017-11-06,HEA,WAR,WAR,13.25,1,1,1.0,1,1,1.0,0,0,0.0,1,1,1.0,2,4,6,0,1,2,1,0,3,6.7,-3,1.042,1.0,0.0,1.0,16.1,29.0,22.9,0.0,3.7,13.2,41.0,8.0,131,83,9.3
2017-18,2017-11-08,HEA,SUN,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-11-10,HEA,JAZ,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-11-12,HEA,PIS,PIS,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-11-15,HEA,WIZ,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-11-17,HEA,WIZ,WIZ,4.13,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,1,0,1,-0.1,-7,0.568,0.0,0.0,0.0,0.0,23.7,11.8,0.0,0.0,0.0,53.2,20.6,53,97,-13.6
2017-18,2017-11-19,HEA,PAC,HEA,7.7,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,2.3,-14,0.667,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,127,139,-5.3
2017-18,2017-11-22,HEA,CEL,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-11-24,HEA,TIM,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-11-26,HEA,BUL,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2017-18,2017-11-28,HEA,CAV,CAV,18.45,7,7,1.0,7,7,1.0,0,0,0.0,5,5,1.0,1,5,6,2,0,1,0,0,19,21.2,13,1.033,1.0,0.0,0.714,5.4,33.4,17.9,27.7,0.0,5.4,0.0,22.2,218,109,27.2
2017-18,2017-11-29,HEA,KNI,KNI,30.55,4,5,0.8,4,5,0.8,0,0,0.0,1,2,0.5,1,4,5,0,2,0,1,3,9,8.4,-20,0.765,0.8,0.0,0.4,3.0,20.9,9.5,0.0,3.3,0.0,14.5,10.0,123,119,-4.3
2017-18,2017-12-01,HEA,HOR,HEA,18.15,0,3,0.0,0,3,0.0,0,0,0.0,1,2,0.5,3,2,5,0,4,2,3,3,1,2.4,-13,0.129,0.0,0.0,0.667,20.3,13.2,16.7,0.0,10.7,9.0,43.6,16.5,43,77,-4.6
2017-18,2017-12-03,HEA,WAR,HEA,19.93,3,5,0.6,3,5,0.6,0,0,0.0,3,4,0.75,1,1,2,0,1,0,0,2,9,7.5,-16,0.666,0.6,0.0,0.8,6.2,8.0,7.0,0.0,2.6,0.0,0.0,16.4,141,131,-0.7
2017-18,2017-12-06,HEA,SPU,SPU,17.75,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0.0,2,1,3,0,1,2,2,2,6,5.7,-12,0.75,0.75,0.0,0.0,18.0,8.2,12.9,0.0,3.0,8.7,33.3,17.0,102,124,-3.7
2017-18,2017-12-09,HEA,NET,NET,19.93,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,2,3,5,2,0,1,0,3,2,3.5,20,0.333,0.333,0.0,0.0,11.2,16.4,13.8,12.2,0.0,4.5,0.0,7.1,119,100,-2.7
2017-18,2017-12-11,HEA,GRI,GRI,22.92,5,6,0.833,5,6,0.833,0,0,0.0,4,5,0.8,0,4,4,2,2,2,0,5,14,15.4,10,0.854,0.833,0.0,0.833,0.0,21.5,12.7,15.8,4.8,9.3,0.0,19.2,177,81,13.3
2017-18,2017-12-13,HEA,BLA,HEA,30.27,3,3,1.0,3,3,1.0,0,0,0.0,6,8,0.75,3,4,7,2,0,0,3,3,12,10.8,-10,0.92,1.0,0.0,2.667,12.5,20.5,16.1,10.8,0.0,0.0,31.5,15.5,137,122,1.2
2017-18,2017-12-15,HEA,HOR,HOR,21.78,5,6,0.833,5,6,0.833,0,0,0.0,1,1,1.0,1,4,5,1,0,0,2,4,11,7.8,0,0.854,0.833,0.0,0.167,6.1,19.2,13.4,7.9,0.0,0.0,23.7,18.3,126,107,-2.3
2017-18,2017-12-16,HEA,CLI,HEA,28.23,2,7,0.286,2,7,0.286,0,0,0.0,3,4,0.75,4,1,5,3,0,0,0,3,7,6.5,-5,0.4,0.286,0.0,0.571,15.8,4.3,10.2,18.5,0.0,0.0,0.0,15.0,117,107,-5.4
2017-18,2017-12-18,HEA,HAW,HAW,30.47,3,6,0.5,3,6,0.5,0,0,0.0,5,7,0.714,4,6,10,1,1,2,3,4,11,10.3,-1,0.606,0.5,0.0,1.167,17.0,21.5,19.5,5.0,1.6,5.2,24.8,17.1,108,109,-1.9
2017-18,2017-12-20,HEA,CEL,CEL,20.47,3,6,0.5,3,6,0.5,0,0,0.0,0,1,0.0,0,5,5,0,0,0,1,1,6,2.7,5,0.466,0.5,0.0,0.167,0.0,26.1,13.0,0.0,0.0,0.0,13.4,17.8,72,100,-7.6
2017-18,2017-12-22,HEA,MAV,HEA,37.48,6,9,0.667,6,9,0.667,0,0,0.0,2,2,1.0,1,7,8,5,1,0,1,3,14,15.2,28,0.709,0.667,0.0,0.222,6.1,24.9,18.0,16.7,1.5,0.0,9.2,16.3,148,120,2.6
2017-18,2017-12-23,HEA,PEL,HEA,30.33,4,7,0.571,4,6,0.667,0,1,0.0,1,2,0.5,3,4,7,4,0,1,1,2,9,10.3,-17,0.571,0.571,0.143,0.286,10.8,20.4,14.8,21.3,0.0,3.3,11.3,13.4,128,124,2.7
2017-18,2017-12-26,HEA,MAG,HEA,25.47,3,4,0.75,3,4,0.75,0,0,0.0,2,2,1.0,3,6,9,4,1,1,1,2,8,13.0,24,0.82,0.75,0.0,0.5,11.8,24.1,17.9,21.3,2.0,3.1,17.0,9.8,161,90,9.8
2017-18,2017-12-29,HEA,NET,HEA,27.77,2,5,0.4,2,5,0.4,0,0,0.0,3,5,0.6,2,3,5,1,1,0,2,2,7,4.7,-21,0.486,0.4,0.0,1.0,6.0,13.3,8.9,6.5,1.8,0.0,21.7,14.0,88,114,-5.8
2017-18,2017-12-30,HEA,MAG,MAG,15.87,3,5,0.6,3,5,0.6,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,4,6,2.4,-7,0.6,0.6,0.0,0.0,7.8,15.9,11.8,0.0,0.0,0.0,16.7,17.5,106,126,-12.6
2017-18,2018-01-03,HEA,PIS,HEA,10.23,0,4,0.0,0,4,0.0,0,0,0.0,0,0,0.0,1,2,3,1,0,0,1,0,0,-1.8,-5,0.0,0.0,0.0,0.0,12.7,24.1,18.5,10.9,0.0,0.0,20.0,23.3,33,114,-23.4
2017-18,2018-01-05,HEA,KNI,HEA,14.88,0,0,0.0,0,0,0.0,0,0,0.0,2,2,1.0,1,6,7,2,0,0,1,0,2,4.9,-5,1.136,0.0,0.0,0.0,7.7,57.7,30.0,18.7,0.0,0.0,53.2,5.7,141,104,3.5
2017-18,2018-01-07,HEA,JAZ,HEA,7.3,1,1,1.0,1,1,1.0,0,0,0.0,2,3,0.667,1,1,2,0,0,0,1,1,4,2.9,-2,0.862,1.0,0.0,3.0,14.9,17.8,16.2,0.0,0.0,0.0,30.1,21.9,126,117,-2.9
2017-18,2018-01-09,HEA,RAP,RAP,32.55,8,14,0.571,8,13,0.615,0,1,0.0,0,0,0.0,5,10,15,3,0,5,0,3,16,20.3,9,0.571,0.571,0.071,0.0,14.7,28.9,21.9,16.3,0.0,10.7,0.0,18.0,140,88,14.4
2017-18,2018-01-10,HEA,PAC,PAC,31.18,4,9,0.444,4,8,0.5,0,1,0.0,7,9,0.778,0,2,2,5,1,0,1,2,15,12.8,-9,0.579,0.444,0.111,1.0,0.0,7.2,3.8,20.9,1.6,0.0,7.2,20.4,125,110,3.1
2017-18,2018-01-14,HEA,BUC,HEA,27.85,2,6,0.333,2,6,0.333,0,0,0.0,2,2,1.0,0,4,4,6,0,0,1,4,6,5.4,10,0.436,0.333,0.0,0.333,0.0,12.8,7.7,32.8,0.0,0.0,12.7,13.9,105,90,0.2
2017-18,2018-01-15,HEA,BUL,BUL,18.73,2,5,0.4,2,4,0.5,0,1,0.0,2,2,1.0,2,3,5,0,1,0,1,1,6,5.2,10,0.51,0.4,0.2,0.4,12.2,17.9,15.1,0.0,2.6,0.0,14.5,16.2,101,117,-7.2
2017-18,2018-01-17,HEA,BUC,BUC,18.82,2,6,0.333,2,6,0.333,0,0,0.0,0,0,0.0,3,3,6,5,1,0,2,4,4,4.5,-2,0.333,0.333,0.0,0.0,17.8,18.7,18.2,38.8,2.7,0.0,25.0,18.7,94,105,-0.5
2017-18,2018-01-19,HEA,NET,NET,14.3,3,5,0.6,3,5,0.6,0,0,0.0,3,4,0.75,1,2,3,2,0,0,1,3,9,6.8,0,0.666,0.6,0.0,0.8,7.3,16.4,11.6,26.9,0.0,0.0,12.9,24.6,128,116,3.3
2017-18,2018-01-20,HEA,HOR,HOR,23.55,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,5,2,1,1,1,6,11.5,8,0.75,0.75,0.0,0.0,9.5,13.0,11.3,27.6,4.2,3.2,20.0,9.6,151,101,10.6
2017-18,2018-01-22,HEA,ROC,ROC,17.3,3,4,0.75,3,4,0.75,0,0,0.0,1,2,0.5,1,4,5,2,0,0,0,1,7,7.9,-1,0.717,0.75,0.0,0.5,7.1,27.1,17.3,18.1,0.0,0.0,0.0,13.3,158,110,8.8
