SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2004-05,2004-11-05,BUL,NNE,BUL,16.42,0,6,0.0,0,5,0.0,0,1,0.0,3,3,1.0,0,0,0,0,0,0,1,1,3,-2.6,-2,0.205,0.0,0.167,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.9,46,108,-18.2
2004-05,2004-11-06,BUL,PAC,PAC,27.42,6,14,0.429,4,10,0.4,2,4,0.5,3,4,0.75,1,1,2,2,3,0,3,4,17,10.0,-1,0.539,0.5,0.286,0.286,4.2,5.5,4.8,13.9,5.6,0.0,16.0,29.2,102,104,5.2
2004-05,2004-11-09,BUL,SUN,BUL,13.25,3,9,0.333,3,7,0.429,0,2,0.0,0,0,0.0,0,2,2,0,0,0,2,2,6,-1.3,-11,0.333,0.333,0.222,0.0,0.0,17.2,7.0,0.0,0.0,0.0,18.2,34.9,56,108,-14.5
2004-05,2004-11-13,BUL,CLI,BUL,27.77,4,14,0.286,3,11,0.273,1,3,0.333,1,2,0.5,2,2,4,1,0,0,0,3,10,2.9,1,0.336,0.321,0.214,0.143,7.6,8.2,7.9,6.1,0.0,0.0,0.0,23.9,83,110,-7.3
2004-05,2004-11-16,BUL,KIN,KIN,6.57,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,1,2,3,0,0,0,2,0,0,-2.8,3,0.0,0.0,0.667,0.0,13.4,33.4,22.4,0.0,0.0,0.0,40.0,29.1,12,119,-32.6
2004-05,2004-11-17,BUL,WAR,WAR,12.4,5,11,0.455,3,7,0.429,2,4,0.5,0,0,0.0,1,0,1,2,0,0,2,5,12,4.4,-1,0.545,0.545,0.364,0.0,9.1,0.0,4.6,61.5,0.0,0.0,15.4,46.4,92,109,1.8
2004-05,2004-11-19,BUL,NUG,NUG,15.18,3,8,0.375,2,5,0.4,1,3,0.333,0,0,0.0,0,4,4,2,0,0,4,3,7,0.0,-7,0.438,0.438,0.375,0.0,0.0,34.6,16.6,28.6,0.0,0.0,33.3,36.1,59,103,-10.9
2004-05,2004-11-21,BUL,LAK,LAK,34.83,5,15,0.333,4,10,0.4,1,5,0.2,4,4,1.0,1,1,2,4,1,0,2,3,15,8.1,1,0.447,0.367,0.333,0.267,3.5,3.0,3.2,18.2,1.5,0.0,10.7,25.7,91,118,-4.8
2004-05,2004-11-22,BUL,SUN,SUN,34.52,7,16,0.438,4,10,0.4,3,6,0.5,3,5,0.6,1,1,2,0,1,0,3,2,20,9.0,-16,0.549,0.531,0.375,0.313,2.6,3.4,2.9,0.0,1.5,0.0,14.2,26.9,99,112,2.7
2004-05,2004-11-24,BUL,JAZ,JAZ,27.0,7,15,0.467,3,8,0.375,4,7,0.571,4,4,1.0,1,1,2,3,0,0,3,3,22,13.2,3,0.656,0.6,0.467,0.267,5.6,4.5,5.0,32.4,0.0,0.0,15.2,35.9,114,111,7.6
2004-05,2004-11-27,BUL,CAV,CAV,28.25,2,7,0.286,1,4,0.25,1,3,0.333,0,0,0.0,0,0,0,1,3,0,4,3,5,-0.6,-9,0.357,0.357,0.429,0.0,0.0,0.0,0.0,7.3,6.2,0.0,36.4,20.5,47,106,-9.2
2004-05,2004-12-01,BUL,LAK,BUL,28.8,6,13,0.462,4,8,0.5,2,5,0.4,3,4,0.75,1,2,3,4,1,0,3,3,17,10.8,5,0.576,0.538,0.385,0.308,3.5,8.1,5.6,27.5,1.8,0.0,16.9,26.9,107,96,4.9
2004-05,2004-12-03,BUL,HEA,BUL,23.75,4,10,0.4,4,9,0.444,0,1,0.0,0,0,0.0,0,2,2,3,1,0,0,1,8,5.9,-12,0.4,0.4,0.1,0.0,0.0,10.0,4.5,24.0,2.2,0.0,0.0,19.0,93,116,0.6
2004-05,2004-12-04,BUL,WIZ,WIZ,25.68,4,11,0.364,2,7,0.286,2,4,0.5,2,2,1.0,1,1,2,1,0,0,6,4,12,0.0,-4,0.505,0.455,0.364,0.182,4.9,3.9,4.3,7.8,0.0,0.0,33.6,30.1,77,113,-11.3
2004-05,2004-12-06,BUL,SPU,BUL,4.07,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-0.7,4,0.0,0.0,0.5,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,23.9,23,111,-13.4
2004-05,2004-12-08,BUL,CAV,BUL,31.27,8,12,0.667,7,11,0.636,1,1,1.0,4,4,1.0,0,3,3,1,1,0,1,2,21,16.6,14,0.763,0.708,0.083,0.333,0.0,9.9,5.9,6.3,1.7,0.0,6.8,21.3,149,96,7.8
2004-05,2004-12-10,BUL,76E,BUL,14.18,1,5,0.2,0,1,0.0,1,4,0.25,1,2,0.5,0,1,1,1,0,0,2,2,4,-1.3,-4,0.34,0.3,0.8,0.4,0.0,9.0,4.2,12.0,0.0,0.0,25.4,25.1,60,111,-15.6
2004-05,2004-12-11,BUL,TIM,BUL,31.05,13,24,0.542,9,20,0.45,4,4,1.0,1,1,1.0,2,3,5,0,1,0,4,4,31,17.1,1,0.634,0.625,0.167,0.042,6.2,8.8,7.5,0.0,1.7,0.0,14.1,40.6,107,98,9.5
2004-05,2004-12-13,BUL,MAV,BUL,25.92,6,12,0.5,4,7,0.571,2,5,0.4,0,0,0.0,0,1,1,3,1,0,5,1,14,6.0,-10,0.583,0.583,0.417,0.0,0.0,4.1,2.3,18.5,2.0,0.0,29.4,29.8,83,104,-0.9
2004-05,2004-12-15,BUL,GRI,GRI,27.6,5,10,0.5,4,8,0.5,1,2,0.5,4,4,1.0,1,0,1,4,0,0,3,3,15,9.3,3,0.638,0.55,0.2,0.4,5.2,0.0,2.6,25.9,0.0,0.0,20.3,26.1,115,111,-1.5
2004-05,2004-12-16,BUL,BUC,BUL,24.92,3,7,0.429,2,5,0.4,1,2,0.5,1,2,0.5,0,3,3,0,1,0,3,2,8,2.0,-3,0.508,0.5,0.286,0.286,0.0,12.8,7.2,0.0,2.3,0.0,27.6,22.5,72,91,-8.1
2004-05,2004-12-18,BUL,PAC,BUL,18.43,2,7,0.286,2,6,0.333,0,1,0.0,1,2,0.5,1,2,3,1,0,0,3,3,5,-1.7,-3,0.317,0.286,0.143,0.286,5.6,8.7,7.3,10.8,0.0,0.0,27.6,25.9,56,83,-12.9
2004-05,2004-12-20,BUL,BLA,BUL,27.7,10,15,0.667,8,13,0.615,2,2,1.0,1,1,1.0,2,1,3,3,0,0,3,1,23,16.9,-1,0.745,0.733,0.133,0.067,9.1,3.6,6.0,31.0,0.0,0.0,16.3,33.6,121,108,11.0
2004-05,2004-12-22,BUL,PIS,PIS,23.13,7,11,0.636,5,9,0.556,2,2,1.0,3,4,0.75,1,3,4,0,0,0,4,5,19,9.3,6,0.745,0.727,0.182,0.364,6.9,12.0,10.1,0.0,0.0,0.0,23.9,34.5,107,101,1.9
2004-05,2004-12-26,BUL,BUC,BUC,29.82,7,16,0.438,5,12,0.417,2,4,0.5,3,4,0.75,2,3,5,2,0,0,2,4,19,10.3,-6,0.535,0.5,0.25,0.25,8.4,12.0,10.3,13.4,0.0,0.0,10.1,30.7,105,113,-0.4
2004-05,2004-12-28,BUL,NNE,BUL,24.1,7,9,0.778,6,8,0.75,1,1,1.0,4,4,1.0,0,1,1,2,1,1,3,6,19,13.5,11,0.883,0.833,0.111,0.444,0.0,4.5,2.6,30.8,2.2,3.3,21.8,27.6,132,92,14.8
2004-05,2005-01-01,BUL,MAG,BUL,27.45,6,13,0.462,3,5,0.6,3,8,0.375,3,3,1.0,0,3,3,5,1,0,2,2,18,13.9,4,0.628,0.577,0.615,0.231,0.0,10.9,6.1,32.5,1.8,0.0,12.3,26.2,125,95,9.2
2004-05,2005-01-03,BUL,PIS,BUL,30.4,10,22,0.455,5,15,0.333,5,7,0.714,2,2,1.0,0,5,5,4,1,0,2,3,27,17.7,-15,0.59,0.568,0.318,0.091,0.0,21.6,9.3,49.2,1.9,0.0,8.0,37.9,115,101,18.3
2004-05,2005-01-05,BUL,NHO,NHO,20.55,4,6,0.667,4,6,0.667,0,0,0.0,3,3,1.0,1,4,5,2,0,0,5,5,11,4.7,3,0.751,0.667,0.0,0.5,6.2,22.3,14.7,20.0,0.0,0.0,40.6,26.1,93,97,-4.7
2004-05,2005-01-07,BUL,JAZ,BUL,28.0,4,13,0.308,4,8,0.5,0,5,0.0,3,4,0.75,1,2,3,3,0,0,2,4,11,2.9,14,0.373,0.308,0.385,0.308,4.1,8.5,6.3,24.4,0.0,0.0,11.9,28.9,78,94,-9.2
