SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2001-10-30,WIZ,KNI,KNI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2001-11-01,WIZ,HAW,HAW,0.17,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,107,-5.5
2001-02,2001-11-03,WIZ,76E,WIZ,0.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,-7.8
2001-02,2001-11-04,WIZ,PIS,PIS,14.63,2,5,0.4,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,1,0,2,0,1,4,3.3,15,0.4,0.4,0.2,0.0,0.0,8.2,3.5,11.6,0.0,11.2,0.0,15.7,86,98,2.8
2001-02,2001-11-07,WIZ,CEL,CEL,11.85,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,1,0,2,0,-0.6,-4,0.0,0.0,0.0,0.0,0.0,28.6,14.6,0.0,0.0,5.8,0.0,8.2,0,112,-10.2
2001-02,2001-11-09,WIZ,WAR,WIZ,16.63,2,4,0.5,2,3,0.667,0,1,0.0,4,4,1.0,0,0,0,1,0,0,1,4,8,4.1,-1,0.694,0.5,0.25,1.0,0.0,0.0,0.0,10.7,0.0,0.0,14.8,18.6,125,118,-4.2
2001-02,2001-11-11,WIZ,SUP,WIZ,20.97,5,6,0.833,5,6,0.833,0,0,0.0,3,4,0.75,3,2,5,0,0,0,1,1,13,11.7,-3,0.838,0.833,0.0,0.667,15.6,11.4,13.6,0.0,0.0,0.0,11.4,18.5,150,112,8.7
2001-02,2001-11-14,WIZ,BUC,WIZ,36.5,2,4,0.5,2,4,0.5,0,0,0.0,1,1,1.0,0,5,5,3,1,0,2,6,5,3.2,3,0.563,0.5,0.0,0.25,0.0,20.9,9.8,11.0,1.5,0.0,31.1,8.2,92,120,-4.5
2001-02,2001-11-16,WIZ,JAZ,WIZ,16.52,1,3,0.333,1,3,0.333,0,0,0.0,2,2,1.0,2,1,3,1,1,0,0,2,4,4.9,-13,0.515,0.333,0.0,0.667,10.9,8.8,10.1,9.7,3.3,0.0,0.0,10.1,142,117,1.1
2001-02,2001-11-20,WIZ,CHO,WIZ,4.32,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0.7,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,0.0,0,112,8.0
2001-02,2001-11-22,WIZ,PAC,PAC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2001-11-24,WIZ,CEL,WIZ,0.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,93,-5.7
2001-02,2001-12-16,WIZ,RAP,RAP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2001-12-19,WIZ,HAW,WIZ,6.32,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,3,0,2,1,0,-0.8,-2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,28.1,0.0,50.0,31.7,0,45,-11.9
2001-02,2001-12-21,WIZ,MAG,MAG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2001-12-22,WIZ,KNI,KNI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2001-12-26,WIZ,CHO,CHO,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2001-12-27,WIZ,PAC,PAC,12.0,1,3,0.333,1,3,0.333,0,0,0.0,2,2,1.0,1,1,2,1,0,0,1,0,4,3.0,0,0.515,0.333,0.0,0.667,8.0,9.1,8.5,14.8,0.0,0.0,20.5,18.5,101,125,-2.3
2001-02,2001-12-29,WIZ,CHO,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2001-12-31,WIZ,NNE,WIZ,2.45,1,2,0.5,1,2,0.5,0,0,0.0,2,2,1.0,2,0,2,0,0,0,0,0,4,4.4,2,0.694,0.5,0.0,1.0,100.0,0.0,52.2,0.0,0.0,0.0,0.0,63.2,176,97,46.0
2001-02,2002-01-04,WIZ,BUL,WIZ,1.95,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,106,-7.5
2001-02,2002-01-08,WIZ,CLI,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2002-01-11,WIZ,BUC,BUC,12.0,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,0,1,0,0,1,2,2.6,4,0.333,0.333,0.0,0.0,17.4,11.1,14.6,0.0,4.7,0.0,0.0,11.1,104,117,-4.6
2001-02,2002-01-12,WIZ,TIM,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2001-02,2002-01-15,WIZ,SPU,WIZ,8.3,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0,118,-14.5
2001-02,2002-01-16,WIZ,NNE,NNE,29.45,5,13,0.385,4,11,0.364,1,2,0.5,1,3,0.333,3,2,5,2,0,0,3,0,12,5.2,-18,0.419,0.423,0.154,0.231,8.7,8.9,8.8,17.7,0.0,0.0,17.3,25.1,84,127,-2.3
2001-02,2002-01-19,WIZ,BUL,BUL,0.33,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,100,-4.8
2001-02,2002-01-21,WIZ,TIM,TIM,0.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127,-6.9
2001-02,2002-01-22,WIZ,76E,WIZ,3.85,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,2,0,-2.5,-6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.3,0,118,-43.3
2001-02,2002-01-24,WIZ,CAV,WIZ,0.63,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116,-7.3
2001-02,2002-01-26,WIZ,SUN,WIZ,10.1,2,2,1.0,2,2,1.0,0,0,0.0,2,2,1.0,1,0,1,0,1,0,1,1,6,5.7,-9,1.042,1.0,0.0,1.0,13.0,0.0,5.9,0.0,5.2,0.0,25.8,17.2,149,110,9.3
