SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2019-20,2019-10-23,GRI,HEA,HEA,23.05,3,6,0.5,2,5,0.4,1,1,1.0,1,1,1.0,2,5,7,1,0,1,0,1,8,8.9,6,0.621,0.583,0.167,0.167,8.5,24.8,16.0,6.6,0.0,3.1,0.0,10.6,136,108,3.0
2019-20,2019-10-25,GRI,BUL,GRI,25.28,7,9,0.778,7,8,0.875,0,1,0.0,0,0,0.0,1,4,5,1,1,3,0,3,14,15.0,-13,0.778,0.778,0.111,0.0,3.7,15.2,9.4,7.4,1.8,11.2,0.0,14.1,159,99,9.2
2019-20,2019-10-27,GRI,NET,GRI,25.85,5,12,0.417,5,9,0.556,0,3,0.0,0,0,0.0,1,6,7,2,1,1,1,2,10,7.4,-18,0.417,0.417,0.25,0.0,4.1,23.7,14.1,10.3,1.7,3.7,7.7,21.2,87,110,-6.1
2019-20,2019-10-29,GRI,LAK,LAK,18.52,4,9,0.444,4,9,0.444,0,0,0.0,2,2,1.0,1,0,1,0,1,1,1,4,10,5.1,-32,0.506,0.444,0.0,0.222,4.5,0.0,2.6,0.0,2.4,4.3,9.2,22.4,95,110,-2.1
2019-20,2019-11-02,GRI,SUN,GRI,22.08,7,9,0.778,6,8,0.75,1,1,1.0,1,2,0.5,4,7,11,0,3,2,2,1,16,19.0,-5,0.81,0.833,0.111,0.222,21.2,41.1,30.7,0.0,6.4,8.1,16.8,22.6,131,94,15.1
2019-20,2019-11-04,GRI,ROC,GRI,20.37,1,4,0.25,1,3,0.333,0,1,0.0,1,1,1.0,1,5,6,1,0,4,1,0,3,5.3,7,0.338,0.25,0.25,0.25,4.7,22.7,13.9,6.3,0.0,21.9,18.4,10.9,75,98,-0.9
2019-20,2019-11-06,GRI,TIM,GRI,21.93,7,7,1.0,7,7,1.0,0,0,0.0,4,4,1.0,2,6,8,2,0,0,1,1,18,19.1,30,1.027,1.0,0.0,0.571,12.9,25.7,20.6,12.6,0.0,0.0,10.2,18.1,189,114,11.3
2019-20,2019-11-08,GRI,MAG,MAG,24.58,5,12,0.417,4,9,0.444,1,3,0.333,2,2,1.0,1,5,6,1,0,1,1,2,13,8.4,-12,0.505,0.458,0.25,0.167,4.0,22.2,12.6,8.8,0.0,3.0,7.2,24.7,93,115,-0.1
2019-20,2019-11-11,GRI,SPU,SPU,17.5,6,7,0.857,4,5,0.8,2,2,1.0,0,0,0.0,1,7,8,1,0,0,1,1,14,13.6,7,1.0,1.0,0.286,0.0,6.2,42.7,24.7,10.0,0.0,0.0,12.5,20.5,155,110,12.4
2019-20,2019-11-13,GRI,HOR,HOR,21.03,6,9,0.667,5,7,0.714,1,2,0.5,0,0,0.0,2,4,6,2,0,0,4,3,13,7.9,-3,0.722,0.722,0.222,0.0,12.0,22.3,17.3,13.3,0.0,0.0,30.8,25.6,102,119,-5.4
