SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2002-01-31,NNE,BUC,NNE,12.6,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,3,2,1.9,13,1.0,1.0,0.0,0.0,11.4,0.0,5.2,9.3,0.0,0.0,0.0,3.5,209,111,-0.9
2001-02,2002-02-02,NNE,RAP,NNE,9.13,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,-0.7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,50.0,10.3,0,102,-7.7
2001-02,2002-02-04,NNE,KIN,NNE,13.22,2,2,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,2,5,5,0.7,15,1.25,1.25,0.5,0.0,0.0,7.5,4.1,0.0,0.0,0.0,50.0,12.5,87,89,-2.6
2001-02,2002-02-06,NNE,MAV,NNE,3.68,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-0.5,0,0.0,0.0,0.0,0.0,0.0,36.4,14.0,0.0,0.0,0.0,0.0,0.0,0,123,-16.9
2001-02,2002-02-12,NNE,HAW,HAW,3.82,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.1,1,0.0,0.0,0.0,0.0,0.0,29.3,14.0,0.0,0.0,0.0,0.0,0.0,0,114,-8.0
2001-02,2002-02-14,NNE,PIS,NNE,1.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-1.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,98,-52.1
2001-02,2002-02-15,NNE,BUL,BUL,8.97,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,2,1,0,0,0,0,3.0,6,0.0,0.0,0.0,0.0,16.7,22.2,20.0,26.0,5.8,0.0,0.0,5.1,121,79,10.7
2001-02,2002-02-17,NNE,NUG,NNE,15.03,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,1,2,2,0,1,2,2,0,-1.1,1,0.0,0.0,0.0,0.0,8.0,7.3,7.6,17.3,0.0,4.6,50.0,12.0,38,92,-9.3
2001-02,2002-02-19,NNE,WAR,NNE,19.47,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,1,4,5,4,1,0,1,2,2,4.2,-2,0.333,0.333,0.333,0.0,5.3,19.4,12.6,25.6,2.5,0.0,25.0,8.3,102,109,-0.3
2001-02,2002-02-21,NNE,WIZ,WIZ,1.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0,105,-49.8
2001-02,2002-02-22,NNE,KNI,NNE,19.58,2,5,0.4,2,4,0.5,0,1,0.0,0,0,0.0,0,2,2,2,1,0,2,0,4,2.3,16,0.4,0.4,0.2,0.0,0.0,17.1,6.8,12.2,2.6,0.0,28.6,15.2,71,104,-7.3
2001-02,2002-02-24,NNE,CHO,NNE,3.75,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-0.4,-3,0.0,0.0,0.0,0.0,27.3,0.0,14.3,0.0,0.0,0.0,0.0,11.7,63,111,-17.1
2001-02,2002-02-27,NNE,CHO,CHO,16.97,0,2,0.0,0,2,0.0,0,0,0.0,1,2,0.5,2,3,5,1,0,0,1,1,1,0.8,-5,0.174,0.0,0.0,1.0,12.8,22.9,17.4,8.3,0.0,0.0,25.8,10.4,63,111,-7.5
2001-02,2002-03-01,NNE,76E,76E,5.32,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,124,-17.6
