SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-01,CEL,PIS,CEL,24.4,2,5,0.4,0,2,0.0,2,3,0.667,10,10,1.0,0,0,0,3,4,0,2,2,16,16.6,19,0.851,0.6,0.6,2.0,0.0,0.0,0.0,21.4,8.3,0.0,17.5,21.2,150,83,16.0
2000-01,2000-11-03,CEL,RAP,CEL,19.88,2,5,0.4,0,3,0.0,2,2,1.0,0,0,0.0,0,2,2,1,1,0,0,1,6,5.2,-7,0.6,0.6,0.4,0.0,0.0,12.6,5.9,8.2,2.6,0.0,0.0,11.1,136,99,4.7
2000-01,2000-11-04,CEL,CAV,CAV,18.58,2,4,0.5,2,3,0.667,0,1,0.0,3,4,0.75,0,1,1,0,1,0,0,3,7,4.7,7,0.608,0.5,0.25,1.0,0.0,6.8,3.2,0.0,2.6,0.0,0.0,12.9,132,96,-0.1
2000-01,2000-11-07,CEL,RAP,RAP,24.22,2,6,0.333,2,4,0.5,0,2,0.0,2,2,1.0,2,1,3,2,0,0,1,0,6,4.7,6,0.436,0.333,0.333,0.333,6.9,6.3,6.7,15.4,0.0,0.0,12.7,13.6,95,117,-4.2
2000-01,2000-11-10,CEL,KNI,CEL,41.43,1,4,0.25,1,2,0.5,0,2,0.0,3,4,0.75,2,3,5,1,1,0,1,4,5,3.6,-10,0.434,0.25,0.5,1.0,6.3,8.8,7.6,4.1,1.4,0.0,14.8,8.4,98,111,-5.9
2000-01,2000-11-11,CEL,76E,76E,26.15,1,5,0.2,1,4,0.25,0,1,0.0,1,2,0.5,1,4,5,4,2,0,1,5,3,3.2,8,0.255,0.2,0.2,0.4,3.9,16.1,9.9,25.3,3.9,0.0,14.5,11.8,74,87,-0.7
2000-01,2000-11-15,CEL,WIZ,CEL,37.52,8,12,0.667,5,8,0.625,3,4,0.75,10,12,0.833,0,6,6,2,3,1,2,3,29,26.7,9,0.839,0.792,0.333,1.0,0.0,18.9,9.2,7.7,4.0,2.0,10.4,21.6,158,108,13.2
2000-01,2000-11-17,CEL,HAW,CEL,35.43,5,7,0.714,2,3,0.667,3,4,0.75,2,2,1.0,2,2,4,1,1,0,4,2,15,11.0,10,0.952,0.929,0.571,0.286,6.4,9.5,7.6,4.9,1.6,0.0,33.7,15.4,118,117,0.3
2000-01,2000-11-18,CEL,WIZ,WIZ,27.1,1,7,0.143,1,3,0.333,0,4,0.0,1,1,1.0,1,0,1,0,0,0,1,0,3,-1.8,-26,0.202,0.143,0.571,0.143,3.8,0.0,2.2,0.0,0.0,0.0,11.8,13.8,48,122,-14.6
2000-01,2000-11-20,CEL,76E,CEL,22.87,5,8,0.625,2,4,0.5,3,4,0.75,2,2,1.0,3,1,4,1,0,0,0,5,15,12.5,-14,0.845,0.813,0.5,0.25,12.8,4.5,8.8,9.2,0.0,0.0,0.0,15.5,185,121,12.4
2000-01,2000-11-22,CEL,ROC,CEL,33.67,4,9,0.444,4,7,0.571,0,2,0.0,6,7,0.857,1,5,6,1,2,0,1,1,14,12.4,23,0.579,0.444,0.222,0.778,3.5,11.8,8.5,4.8,3.0,0.0,7.6,17.0,120,85,3.5
2000-01,2000-11-24,CEL,MAG,CEL,45.92,3,9,0.333,3,8,0.375,0,1,0.0,4,4,1.0,1,8,9,6,5,0,0,3,10,16.0,7,0.465,0.333,0.111,0.444,2.6,20.9,11.8,23.4,5.7,0.0,0.0,11.1,121,90,6.2
2000-01,2000-11-26,CEL,VGR,CEL,32.25,1,5,0.2,1,4,0.25,0,1,0.0,3,3,1.0,0,3,3,3,2,0,2,1,5,4.5,-2,0.396,0.2,0.2,0.6,0.0,10.0,5.0,15.3,3.0,0.0,24.0,11.3,73,99,-4.2
2000-01,2000-11-28,CEL,CAV,CAV,36.88,3,9,0.333,3,6,0.5,0,3,0.0,3,3,1.0,1,1,2,4,4,0,0,1,9,11.3,0,0.436,0.333,0.333,0.333,3.1,3.1,3.1,18.5,6.1,0.0,0.0,13.7,112,82,5.9
2000-01,2000-11-30,CEL,BUC,BUC,35.85,6,14,0.429,5,12,0.417,1,2,0.5,1,2,0.5,0,2,2,0,1,0,1,1,14,6.4,-12,0.47,0.464,0.143,0.143,0.0,8.3,3.8,0.0,1.5,0.0,6.3,20.8,90,121,-6.4
2000-01,2000-12-01,CEL,TIM,CEL,38.35,5,9,0.556,4,7,0.571,1,2,0.5,2,2,1.0,0,3,3,3,0,0,1,5,13,8.7,-4,0.658,0.611,0.222,0.222,0.0,8.8,4.7,11.3,0.0,0.0,9.2,12.7,133,117,-1.3
2000-01,2000-12-03,CEL,CLI,CEL,39.7,6,8,0.75,4,5,0.8,2,3,0.667,4,4,1.0,0,2,2,2,0,0,1,2,18,15.0,16,0.922,0.875,0.375,0.5,0.0,4.8,2.6,9.0,0.0,0.0,9.3,12.0,166,98,5.9
