SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-11-01,HAW,76E,76E,1.53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116,-5.2
2006-07,2006-11-03,HAW,KNI,HAW,9.57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,1,0,-0.4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,100.0,4.6,0,99,-4.8
2006-07,2006-11-05,HAW,MAG,HAW,10.48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,2,0,0,0,1,0,1.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,210,101,2.8
2006-07,2006-11-07,HAW,CAV,CAV,13.28,2,2,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,3,3,0,2,1,1,4,5,5.4,1,1.25,1.25,0.5,0.0,0.0,22.2,13.9,0.0,8.2,5.6,33.3,11.1,125,75,15.9
2006-07,2006-11-10,HAW,RAP,RAP,20.35,1,5,0.2,1,2,0.5,0,3,0.0,0,0,0.0,0,3,3,0,0,0,1,4,2,-2.8,8,0.2,0.2,0.6,0.0,0.0,14.4,8.0,0.0,0.0,0.0,16.7,13.1,37,108,-15.6
2006-07,2006-11-11,HAW,SUP,HAW,21.17,1,3,0.333,1,3,0.333,0,0,0.0,1,2,0.5,0,3,3,4,0,0,0,3,3,3.4,-1,0.387,0.333,0.0,0.667,0.0,16.3,8.6,26.0,0.0,0.0,0.0,8.6,125,120,-1.5
2006-07,2006-11-14,HAW,BUC,HAW,10.22,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.8,-13,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0,119,-15.2
2006-07,2006-11-18,HAW,HEA,HAW,9.18,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,0.2,-3,0.333,0.333,0.333,0.0,0.0,11.5,5.5,0.0,0.0,0.0,0.0,15.4,72,102,-8.9
2006-07,2006-11-22,HAW,PIS,PIS,10.67,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,1,0,-0.8,-3,0.0,0.0,0.0,0.0,0.0,9.2,4.9,0.0,5.0,0.0,50.0,8.5,0,110,-7.2
2006-07,2006-11-24,HAW,RAP,HAW,6.25,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,108,-6.7
2006-07,2006-11-25,HAW,MAG,MAG,17.2,0,4,0.0,0,2,0.0,0,2,0.0,0,2,0.0,0,1,1,0,1,0,0,1,0,-2.7,-13,0.0,0.0,0.5,0.5,0.0,7.2,3.2,0.0,3.0,0.0,0.0,12.8,0,104,-11.8
2006-07,2006-11-28,HAW,WIZ,WIZ,3.38,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0,110,-22.2
2006-07,2006-11-29,HAW,BOB,HAW,1.15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116,-4.4
2006-07,2006-12-01,HAW,CAV,HAW,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
