SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2011-12,2011-12-25,WAR,CLI,WAR,0.97,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,216,125,22.5
2011-12,2011-12-26,WAR,BUL,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2011-12-28,WAR,KNI,WAR,4.68,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1.7,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,11.5,0.0,0.0,0.0,217,73,12.8
2011-12,2011-12-31,WAR,76E,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-02,WAR,SUN,SUN,13.53,3,3,1.0,3,3,1.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,6,5.0,-16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.9,203,124,1.0
2011-12,2012-01-04,WAR,SPU,SPU,2.67,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,0,-1.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0,115,-45.7
2011-12,2012-01-06,WAR,LAK,LAK,10.15,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2,0.9,-5,0.5,0.5,0.0,0.0,0.0,12.1,5.8,0.0,0.0,0.0,0.0,9.2,103,110,-7.0
2011-12,2012-01-07,WAR,JAZ,WAR,9.85,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,1.7,-17,0.333,0.333,0.0,0.0,12.8,0.0,5.7,20.2,0.0,0.0,0.0,15.0,100,113,-2.8
2011-12,2012-01-10,WAR,HEA,WAR,10.57,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,4,1,0,2,1,2,1.7,-4,0.333,0.333,0.0,0.0,0.0,0.0,0.0,60.8,4.7,0.0,40.0,19.6,73,100,-4.0
2011-12,2012-01-12,WAR,MAG,WAR,12.68,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0.0,0,1,1,3,1,0,0,2,8,7.3,0,0.571,0.571,0.0,0.0,0.0,9.2,4.7,40.7,4.0,0.0,0.0,25.4,126,120,5.7
2011-12,2012-01-14,WAR,BOB,BOB,21.88,2,2,1.0,2,2,1.0,0,0,0.0,1,1,1.0,0,0,0,3,1,0,0,3,5,6.3,-3,1.025,1.0,0.0,0.5,0.0,0.0,0.0,21.5,2.3,0.0,0.0,4.8,211,120,-0.9
2011-12,2012-01-15,WAR,PIS,PIS,28.92,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0.0,1,3,4,5,0,0,0,3,6,6.9,6,0.5,0.5,0.0,0.0,4.7,12.4,8.9,25.1,0.0,0.0,0.0,9.9,134,110,-2.9
2011-12,2012-01-17,WAR,CAV,CAV,12.35,2,4,0.5,2,3,0.667,0,1,0.0,0,0,0.0,0,1,1,0,1,1,0,3,4,2.8,-7,0.5,0.5,0.25,0.0,0.0,7.8,4.0,0.0,4.0,5.8,0.0,13.6,102,92,-1.0
2011-12,2012-01-18,WAR,NNE,NNE,11.18,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,2,1,0,1,3,2,-0.2,-8,0.25,0.25,0.0,0.0,0.0,0.0,0.0,26.2,5.1,0.0,20.0,22.9,62,127,-19.6
2011-12,2012-01-20,WAR,PAC,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-23,WAR,GRI,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2011-12,2012-01-25,WAR,BLA,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
