SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-05-17,KNI,HEA,HEA,17.15,2,3,0.667,1,1,1.0,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,3,5,2.8,-11,0.833,0.833,0.667,0.0,0.0,7.4,3.8,0.0,0.0,0.0,0.0,9.8,159,114,-1.9
2000-01,2000-10-31,KNI,76E,KNI,14.08,1,4,0.25,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,3,0,0,2,5,2,-2.0,-15,0.25,0.25,0.25,0.0,0.0,11.1,4.6,47.7,0.0,0.0,33.3,20.1,55,123,-16.8
2000-01,2000-11-02,KNI,HAW,KNI,23.62,2,4,0.5,2,3,0.667,0,1,0.0,0,0,0.0,0,2,2,5,0,0,3,5,4,1.1,19,0.5,0.5,0.25,0.0,0.0,8.3,5.3,33.3,0.0,0.0,42.9,15.7,81,88,-9.0
2000-01,2000-11-03,KNI,WIZ,WIZ,23.65,3,6,0.5,2,2,1.0,1,4,0.25,1,2,0.5,0,2,2,2,0,0,1,3,8,4.4,11,0.581,0.583,0.667,0.333,0.0,9.1,4.7,17.4,0.0,0.0,12.7,16.5,106,95,-1.9
2000-01,2000-11-07,KNI,BUC,BUC,16.77,0,1,0.0,0,0,0.0,0,1,0.0,2,2,1.0,0,4,4,6,1,0,3,3,2,3.5,-6,0.532,0.0,1.0,2.0,0.0,26.3,14.5,39.4,3.2,0.0,61.5,13.8,88,96,-1.6
2000-01,2000-11-08,KNI,CAV,KNI,10.02,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,1,4,2.0,-11,0.667,0.667,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,25.0,18.6,110,121,-4.6
2000-01,2000-11-14,KNI,SUP,SUP,16.58,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,4,1,1,4,5,0,-2.6,-14,0.0,0.0,0.0,0.0,0.0,7.1,3.1,38.9,3.1,5.6,66.7,15.4,25,103,-15.2
2000-01,2000-11-15,KNI,CLI,CLI,25.05,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,1,1,2,5,0,0,2,2,4,3.7,-5,0.5,0.5,0.0,0.0,4.7,3.9,4.3,35.3,0.0,0.0,33.3,11.7,93,101,-1.3
2000-01,2000-11-17,KNI,SUN,SUN,21.97,3,4,0.75,3,3,1.0,0,1,0.0,0,0,0.0,1,2,3,6,2,0,2,5,6,7.9,12,0.75,0.75,0.25,0.0,5.0,11.8,8.1,51.4,4.5,0.0,33.3,12.3,118,85,7.6
2000-01,2000-11-19,KNI,WAR,KNI,24.73,3,6,0.5,3,3,1.0,0,3,0.0,0,0,0.0,0,3,3,5,1,0,1,2,6,6.6,4,0.5,0.5,0.5,0.0,0.0,12.3,6.9,34.0,2.3,0.0,14.3,14.9,108,89,-0.8
2000-01,2000-11-21,KNI,MAG,MAG,27.5,3,7,0.429,2,4,0.5,1,3,0.333,0,0,0.0,1,1,2,3,3,0,2,3,7,6.2,14,0.5,0.5,0.429,0.0,4.3,3.8,4.0,20.7,5.8,0.0,22.2,15.1,93,94,2.3
2000-01,2000-11-22,KNI,HAW,HAW,27.2,2,9,0.222,2,7,0.286,0,2,0.0,0,0,0.0,1,2,3,6,2,0,2,6,4,1.6,-8,0.222,0.222,0.222,0.0,5.1,9.6,7.4,41.9,4.6,0.0,18.2,22.0,68,98,-8.4
2000-01,2000-11-25,KNI,RAP,KNI,29.47,3,5,0.6,2,4,0.5,1,1,1.0,0,0,0.0,0,4,4,2,0,1,1,3,7,5.8,-14,0.7,0.7,0.2,0.0,0.0,13.6,7.9,11.3,0.0,2.5,16.7,10.3,119,92,2.1
2000-01,2000-11-27,KNI,VGR,KNI,23.97,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,7,0,0,3,4,2,1.2,16,0.333,0.333,0.0,0.0,0.0,7.8,4.5,45.2,0.0,0.0,50.0,12.0,81,88,-7.9
2000-01,2000-11-29,KNI,HEA,KNI,24.37,2,7,0.286,1,3,0.333,1,4,0.25,1,1,1.0,0,2,2,3,1,0,0,5,6,3.6,12,0.403,0.357,0.571,0.143,0.0,11.8,4.7,22.2,2.3,0.0,0.0,14.7,101,100,-0.7
2000-01,2000-12-01,KNI,BUL,BUL,24.02,1,5,0.2,1,4,0.25,0,1,0.0,1,2,0.5,1,2,3,2,0,0,2,3,3,-1.0,-5,0.255,0.2,0.2,0.4,5.7,9.3,7.7,14.8,0.0,0.0,25.4,16.4,60,109,-13.2
2000-01,2000-12-02,KNI,TIM,KNI,31.67,2,7,0.286,2,5,0.4,0,2,0.0,5,6,0.833,0,3,3,7,2,0,3,1,9,8.9,2,0.467,0.286,0.286,0.857,0.0,10.7,6.6,30.9,3.6,0.0,23.7,20.7,105,106,1.5
2000-01,2000-12-04,KNI,CLI,KNI,29.32,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,1,3,4,11,2,0,0,3,4,12.8,23,0.667,0.667,0.0,0.0,4.9,13.1,9.2,44.7,3.8,0.0,0.0,5.1,184,87,13.0
2000-01,2000-12-06,KNI,MAV,MAV,26.37,3,7,0.429,2,5,0.4,1,2,0.5,0,0,0.0,0,2,2,5,0,0,1,3,7,5.2,-12,0.5,0.5,0.286,0.0,0.0,12.3,4.6,36.3,0.0,0.0,12.5,14.8,104,118,-2.7
2000-01,2000-12-07,KNI,SPU,SPU,23.37,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,0,0,0,3,0,0,3,5,2,-1.6,2,0.532,0.0,0.0,2.0,0.0,0.0,0.0,17.9,0.0,0.0,61.5,10.5,64,109,-11.9
2000-01,2000-12-09,KNI,NUG,KNI,31.15,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,8,1,0,2,4,4,5.8,12,0.4,0.4,0.0,0.0,0.0,15.2,8.4,36.5,1.8,0.0,28.6,10.5,96,100,-0.9
2000-01,2000-12-14,KNI,RAP,RAP,31.45,4,9,0.444,4,9,0.444,0,0,0.0,0,0,0.0,0,4,4,6,2,2,2,4,8,8.5,7,0.444,0.444,0.0,0.0,0.0,12.5,6.6,40.9,3.6,4.5,18.2,17.7,89,81,6.4
2000-01,2000-12-15,KNI,JAZ,KNI,28.42,1,4,0.25,1,2,0.5,0,2,0.0,0,0,0.0,0,3,3,1,1,0,3,2,2,-1.6,-26,0.25,0.25,0.5,0.0,0.0,16.6,7.3,7.4,2.1,0.0,42.9,12.7,35,107,-11.4
2000-01,2000-12-17,KNI,BUC,KNI,40.53,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,1,6,7,4,1,0,1,2,0,3.1,10,0.0,0.0,0.5,0.0,3.0,14.4,9.3,14.8,1.4,0.0,33.3,3.4,74,103,-0.9
