SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2019-20,2019-10-24,ROC,BUC,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-10-26,ROC,PEL,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-10-28,ROC,THU,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-10-30,ROC,WIZ,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-11-01,ROC,NET,NET,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-11-03,ROC,HEA,HEA,21.97,5,10,0.5,1,1,1.0,4,9,0.444,2,2,1.0,2,1,3,1,0,1,2,3,16,10.9,-5,0.735,0.7,0.9,0.2,9.7,5.6,7.8,10.9,0.0,4.6,15.5,24.6,119,122,5.8
2019-20,2019-11-04,ROC,GRI,GRI,2.97,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105,-19.8
2019-20,2019-11-06,ROC,WAR,ROC,2.93,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,0,123,-38.7
2019-20,2019-11-09,ROC,BUL,BUL,3.2,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0.0,0,0,0,1,0,0,1,1,3,1.3,-2,0.75,0.75,1.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,33.3,38.4,114,99,2.9
2019-20,2019-11-11,ROC,PEL,PEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-11-13,ROC,CLI,ROC,10.58,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.4,-8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0,103,-12.9
2019-20,2019-11-15,ROC,PAC,ROC,7.02,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,0,3,0.6,-7,0.5,0.5,0.667,0.0,0.0,16.3,8.0,0.0,0.0,0.0,25.0,24.9,75,110,-8.6
2019-20,2019-11-16,ROC,TIM,TIM,28.12,7,11,0.636,2,2,1.0,5,9,0.556,0,0,0.0,0,1,1,0,2,0,0,1,19,16.0,32,0.864,0.864,0.818,0.0,0.0,4.2,1.9,0.0,3.5,0.0,0.0,16.2,178,108,12.1
2019-20,2019-11-18,ROC,BLA,ROC,8.18,2,5,0.4,0,1,0.0,2,4,0.5,0,0,0.0,0,0,0,1,0,1,0,1,6,4.3,0,0.6,0.6,0.8,0.0,0.0,0.0,0.0,16.6,0.0,9.8,0.0,23.0,142,105,10.1
2019-20,2019-11-20,ROC,NUG,NUG,8.68,1,2,0.5,0,0,0.0,1,2,0.5,1,2,0.5,0,2,2,1,0,0,1,1,4,2.5,4,0.694,0.75,1.0,1.0,0.0,22.6,12.1,20.9,0.0,0.0,25.8,20.0,106,109,0.4
2019-20,2019-11-22,ROC,CLI,CLI,4.82,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,-0.5,-3,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8,70,125,-21.1
2019-20,2019-11-24,ROC,MAV,ROC,1.8,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,0,0,0,1.3,5,0.0,0.0,1.0,0.0,0.0,100.0,53.3,100.0,0.0,0.0,0.0,21.7,92,105,15.5
2019-20,2019-11-27,ROC,HEA,ROC,0.53,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0,117,-82.4
2019-20,2019-11-30,ROC,HAW,ROC,15.37,6,10,0.6,2,2,1.0,4,8,0.5,0,0,0.0,0,0,0,0,0,0,1,1,16,10.0,-3,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,28.9,140,117,2.0
