SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-11,CEL,76E,76E,34.22,3,10,0.3,3,5,0.6,0,5,0.0,3,4,0.75,1,2,3,1,1,0,2,4,9,2.2,-4,0.383,0.3,0.5,0.4,3.0,6.1,4.6,5.3,1.5,0.0,14.5,18.0,75,96,-6.5
2000-01,2000-11-15,CEL,WIZ,CEL,35.17,5,7,0.714,2,3,0.667,3,4,0.75,0,2,0.0,0,2,2,4,1,0,0,5,13,11.7,5,0.825,0.929,0.571,0.286,0.0,6.9,3.3,15.2,1.4,0.0,0.0,9.6,174,117,3.2
2000-01,2000-11-17,CEL,HAW,CEL,32.15,2,8,0.25,1,4,0.25,1,4,0.25,2,2,1.0,2,1,3,9,1,0,0,5,7,9.2,2,0.394,0.313,0.5,0.25,7.0,5.2,6.3,42.2,1.7,0.0,0.0,12.6,142,117,-0.6
2000-01,2000-11-18,CEL,WIZ,WIZ,22.8,1,4,0.25,1,4,0.25,0,0,0.0,2,2,1.0,0,1,1,4,0,0,2,1,4,2.3,-18,0.41,0.25,0.0,0.5,0.0,6.3,2.6,28.9,0.0,0.0,29.1,13.2,85,121,-8.7
2000-01,2000-11-20,CEL,76E,CEL,26.5,1,5,0.2,1,3,0.333,0,2,0.0,0,0,0.0,0,0,0,5,0,0,3,3,2,-1.8,-21,0.2,0.2,0.4,0.0,0.0,0.0,0.0,29.6,0.0,0.0,37.5,12.4,55,122,-11.2
2000-01,2000-11-22,CEL,ROC,CEL,24.82,1,6,0.167,1,4,0.25,0,2,0.0,0,0,0.0,1,0,1,2,1,0,1,4,2,-1.3,2,0.167,0.167,0.333,0.0,4.8,0.0,1.9,11.6,2.0,0.0,14.3,12.4,54,93,-10.2
2000-01,2000-11-24,CEL,MAG,CEL,27.82,1,6,0.167,1,3,0.333,0,3,0.0,2,2,1.0,0,3,3,3,1,0,1,2,4,2.4,10,0.291,0.167,0.5,0.333,0.0,12.9,6.5,18.3,1.9,0.0,12.7,13.3,72,99,-7.4
2000-01,2000-11-26,CEL,VGR,CEL,5.62,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-1.4,-8,0.0,0.0,0.667,0.0,0.0,0.0,0.0,25.8,0.0,0.0,0.0,21.7,15,109,-20.7
2000-01,2000-11-28,CEL,CAV,CAV,5.0,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-2.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,0,96,-36.2
2000-01,2000-11-30,CEL,BUC,BUC,8.05,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,3,3,2,0,0,0,2,2,1.8,0,0.333,0.333,0.0,0.0,0.0,56.3,25.7,42.9,0.0,0.0,0.0,17.7,101,117,-7.0
2000-01,2000-12-01,CEL,TIM,CEL,8.48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,0,-1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.9,0,120,-15.7
