SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2003-04,2003-10-30,CLI,SUP,SUP,5.98,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,1,0,2,3,2,0.5,7,1.0,1.0,0.0,0.0,19.0,13.8,16.0,0.0,8.4,0.0,66.7,20.1,57,97,-13.1
2003-04,2003-10-31,CLI,SUP,CLI,19.57,3,9,0.333,3,9,0.333,0,0,0.0,1,1,1.0,3,3,6,2,0,1,2,5,7,3.0,-9,0.371,0.333,0.0,0.111,15.3,18.9,16.9,16.7,0.0,4.0,17.5,23.4,86,127,-11.6
2003-04,2003-11-07,CLI,NUG,NUG,1.42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,1,3,0,-1.5,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,42.6,39,98,-42.8
2003-04,2003-11-11,CLI,HAW,CLI,2.88,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,0,0,-2.0,-9,0.0,0.0,0.0,0.0,34.0,0.0,21.3,0.0,0.0,0.0,66.7,40.1,17,120,-53.6
2003-04,2003-11-14,CLI,WAR,WAR,9.1,1,2,0.5,1,2,0.5,0,0,0.0,2,2,1.0,0,1,1,0,1,0,2,2,4,1.5,9,0.694,0.5,0.0,1.0,0.0,9.9,5.9,0.0,5.7,0.0,41.0,25.4,81,96,-6.9
2003-04,2003-11-15,CLI,MAG,CLI,31.88,3,8,0.375,3,8,0.375,0,0,0.0,2,2,1.0,3,6,9,3,0,2,3,5,8,6.0,20,0.45,0.375,0.0,0.25,9.4,23.1,15.5,15.3,0.0,4.4,25.3,16.7,90,101,-5.0
2003-04,2003-11-18,CLI,CAV,CAV,13.42,0,7,0.0,0,7,0.0,0,0,0.0,3,4,0.75,3,2,5,0,0,2,0,4,3,0.2,-20,0.171,0.0,0.0,0.571,17.1,16.7,17.0,0.0,0.0,9.7,0.0,24.4,64,103,-15.7
2003-04,2003-11-19,CLI,PAC,PAC,13.45,2,3,0.667,2,3,0.667,0,0,0.0,2,2,1.0,0,5,5,0,0,1,2,3,6,3.7,-3,0.773,0.667,0.0,0.667,0.0,37.3,18.8,0.0,0.0,5.1,34.0,20.5,97,96,-2.0
2003-04,2003-11-22,CLI,TIM,TIM,30.4,5,6,0.833,5,6,0.833,0,0,0.0,2,4,0.5,3,12,15,2,0,0,4,2,12,11.3,-1,0.773,0.833,0.0,0.667,11.3,58.1,31.8,12.3,0.0,0.0,34.0,18.4,105,117,0.6
2003-04,2003-11-24,CLI,ROC,CLI,18.77,1,4,0.25,1,4,0.25,0,0,0.0,0,2,0.0,0,2,2,0,1,0,2,4,2,-3.2,-8,0.205,0.25,0.0,0.5,0.0,15.2,6.4,0.0,2.9,0.0,29.1,16.6,30,110,-17.3
2003-04,2003-11-27,CLI,NNE,CLI,19.97,4,7,0.571,4,7,0.571,0,0,0.0,4,4,1.0,2,3,5,0,0,0,1,2,12,9.2,-3,0.685,0.571,0.0,0.571,9.5,14.0,11.8,0.0,0.0,0.0,10.2,19.0,138,112,3.7
2003-04,2003-11-29,CLI,NUG,CLI,11.83,2,3,0.667,2,3,0.667,0,0,0.0,2,2,1.0,1,1,2,0,0,0,1,4,6,3.1,-16,0.773,0.667,0.0,0.667,8.9,9.5,9.2,0.0,0.0,0.0,20.5,17.5,128,111,-4.2
2003-04,2003-12-01,CLI,SPU,CLI,31.87,6,13,0.462,6,12,0.5,0,1,0.0,3,6,0.5,3,9,12,1,1,2,4,5,15,9.0,9,0.48,0.462,0.077,0.462,10.5,23.7,18.0,6.8,1.6,4.1,20.4,26.5,88,81,0.3
2003-04,2003-12-03,CLI,CAV,CLI,36.87,6,12,0.5,6,12,0.5,0,0,0.0,2,3,0.667,4,10,14,2,0,3,3,3,14,12.7,15,0.526,0.5,0.0,0.25,11.3,28.4,19.9,11.1,0.0,5.9,18.4,21.1,95,82,1.0
2003-04,2003-12-05,CLI,JAZ,JAZ,26.67,2,8,0.25,2,8,0.25,0,0,0.0,4,6,0.667,4,3,7,2,0,2,3,5,8,3.9,-10,0.376,0.25,0.0,0.75,20.3,12.7,16.2,16.6,0.0,5.9,22.0,25.8,78,105,-5.4
2003-04,2003-12-07,CLI,TIM,CLI,34.6,5,10,0.5,5,10,0.5,0,0,0.0,2,4,0.5,2,7,9,2,1,0,3,3,12,7.9,-9,0.51,0.5,0.0,0.4,6.9,26.0,16.1,10.9,1.5,0.0,20.3,18.9,97,105,-2.1
2003-04,2003-12-09,CLI,KIN,KIN,36.57,6,16,0.375,6,16,0.375,0,0,0.0,2,4,0.5,2,12,14,2,0,1,0,2,14,10.7,3,0.394,0.375,0.0,0.25,5.8,39.0,21.5,11.1,0.0,2.2,0.0,21.2,99,111,-1.6
2003-04,2003-12-10,CLI,MAV,CLI,9.33,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,4,2.7,-20,0.667,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,125,115,-0.4
2003-04,2003-12-13,CLI,SUN,CLI,33.3,5,8,0.625,5,8,0.625,0,0,0.0,0,0,0.0,2,6,8,2,0,1,3,3,10,7.5,4,0.625,0.625,0.0,0.0,6.9,18.6,13.1,9.2,0.0,2.0,27.3,14.1,101,97,0.0
2003-04,2003-12-15,CLI,NHO,CLI,29.97,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0.0,0,8,8,4,0,1,1,4,6,6.3,36,0.5,0.5,0.0,0.0,0.0,26.1,14.5,17.7,0.0,2.5,14.3,11.1,108,87,0.2
2003-04,2003-12-17,CLI,BUC,CLI,27.4,2,7,0.286,2,7,0.286,0,0,0.0,1,2,0.5,2,5,7,1,1,0,7,5,5,-3.9,3,0.317,0.286,0.0,0.286,7.7,15.9,12.2,6.3,1.8,0.0,47.0,22.7,42,83,-15.0
2003-04,2003-12-19,CLI,ROC,ROC,27.55,2,8,0.25,2,8,0.25,0,0,0.0,1,1,1.0,3,1,4,1,0,0,2,2,5,0.5,-1,0.296,0.25,0.0,0.125,9.5,4.6,7.5,6.0,0.0,0.0,19.2,16.0,67,117,-12.1
2003-04,2003-12-20,CLI,MAV,MAV,4.3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,0,2,0,0.5,-2,0.0,0.0,0.0,0.0,0.0,42.9,23.8,0.0,0.0,17.9,0.0,0.0,0,85,-2.5
2003-04,2003-12-23,CLI,SPU,SPU,19.53,2,3,0.667,2,3,0.667,0,0,0.0,2,2,1.0,2,3,5,0,0,0,5,1,6,1.6,-16,0.773,0.667,0.0,0.667,12.3,19.4,15.8,0.0,0.0,0.0,56.3,20.1,70,118,-9.8
2003-04,2003-12-26,CLI,76E,CLI,18.02,3,5,0.6,3,5,0.6,0,0,0.0,1,3,0.333,1,6,7,0,0,1,0,3,7,5.9,5,0.554,0.6,0.0,0.6,7.6,41.0,25.2,0.0,0.0,4.0,0.0,15.7,119,102,-1.5
2003-04,2003-12-28,CLI,RAP,CLI,18.03,4,4,1.0,4,4,1.0,0,0,0.0,2,2,1.0,0,7,7,0,0,2,0,1,10,11.9,5,1.025,1.0,0.0,0.5,0.0,45.5,22.8,0.0,0.0,8.1,0.0,12.2,212,98,17.4
2003-04,2003-12-29,CLI,SUN,CLI,17.33,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,4,1,5,0,0,0,5,3,2,-3.5,-2,0.25,0.25,0.0,0.0,26.7,6.5,16.5,0.0,0.0,0.0,55.6,20.2,41,126,-24.6
2003-04,2003-12-31,CLI,NUG,CLI,26.58,2,7,0.286,2,7,0.286,0,0,0.0,4,5,0.8,1,4,5,0,0,1,1,2,8,4.3,17,0.435,0.286,0.0,0.714,4.3,20.3,11.7,0.0,0.0,2.7,9.8,16.1,97,109,-9.4
2003-04,2004-01-03,CLI,KIN,CLI,13.52,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,1,3,4,0,0,0,2,0,0,-2.5,-10,0.0,0.0,0.0,0.0,8.2,38.2,20.0,0.0,0.0,0.0,40.0,16.2,15,124,-20.4
2003-04,2004-01-04,CLI,LAK,CLI,21.38,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,8,8,1,0,1,3,3,2,0.6,1,0.5,0.5,0.0,0.0,0.0,31.5,19.5,6.8,0.0,2.8,60.0,10.2,45,93,-6.2
2003-04,2004-01-06,CLI,NNE,NNE,28.0,5,8,0.625,5,8,0.625,0,0,0.0,1,2,0.5,2,6,8,2,0,3,2,2,11,10.9,-10,0.619,0.625,0.0,0.25,8.4,23.4,16.1,17.6,0.0,7.9,18.4,17.1,108,99,8.6
2003-04,2004-01-07,CLI,76E,76E,25.58,4,8,0.5,4,8,0.5,0,0,0.0,0,1,0.0,1,3,4,0,0,0,2,3,8,2.0,-13,0.474,0.5,0.0,0.125,4.7,14.8,9.6,0.0,0.0,0.0,19.2,19.8,77,117,-10.3
2003-04,2004-01-09,CLI,RAP,RAP,4.7,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,0,3,3,0,0,0,1,0,2,0.2,1,0.333,0.333,0.333,0.0,0.0,72.0,39.5,0.0,0.0,0.0,25.0,41.8,52,73,-17.2
