SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2008-09,2008-10-29,WAR,NHO,WAR,13.1,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0.0,1,1,2,1,1,0,2,2,6,2.9,-9,0.5,0.5,0.0,0.0,8.1,10.2,9.0,14.7,3.8,0.0,25.0,26.9,84,111,-6.4
2008-09,2008-10-31,WAR,RAP,RAP,11.78,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,0,0,0,3,0,0,1,0,2,0.7,-2,0.25,0.25,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,20.0,18.7,77,122,-7.6
2008-09,2008-11-01,WAR,NNE,NNE,22.58,4,6,0.667,4,6,0.667,0,0,0.0,1,5,0.2,2,1,3,3,1,0,1,3,9,7.4,13,0.549,0.667,0.0,0.833,9.9,4.9,7.4,27.1,2.2,0.0,10.9,17.0,113,106,2.8
2008-09,2008-11-03,WAR,GRI,GRI,26.25,4,8,0.5,4,8,0.5,0,0,0.0,0,2,0.0,2,2,4,1,1,0,2,2,8,4.1,-5,0.45,0.5,0.0,0.25,6.9,8.7,7.7,7.1,2.0,0.0,18.4,17.4,82,101,-3.5
2008-09,2008-11-05,WAR,NUG,WAR,6.23,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,1,0,4,3.7,-10,1.0,1.0,0.0,0.0,0.0,17.9,8.2,0.0,7.8,0.0,33.3,19.9,106,90,11.0
2008-09,2008-11-07,WAR,GRI,WAR,9.52,3,5,0.6,3,5,0.6,0,0,0.0,0,1,0.0,0,1,1,0,1,0,0,2,6,3.8,0,0.551,0.6,0.0,0.2,0.0,11.2,5.3,0.0,5.2,0.0,0.0,23.9,106,106,1.2
2008-09,2008-11-09,WAR,KIN,KIN,24.53,3,8,0.375,3,8,0.375,0,0,0.0,0,0,0.0,0,3,3,2,2,1,2,4,6,3.0,-8,0.375,0.375,0.0,0.0,0.0,13.7,6.2,11.8,3.8,2.6,20.0,16.0,70,109,-6.2
2008-09,2008-11-11,WAR,TIM,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2008-09,2008-11-13,WAR,PIS,WAR,2.75,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,2,-0.8,-4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,43.2,59,111,-30.0
2008-09,2008-12-17,WAR,PAC,PAC,19.8,1,6,0.167,1,4,0.25,0,2,0.0,0,0,0.0,0,7,7,1,0,0,1,2,2,-0.8,3,0.167,0.167,0.333,0.0,0.0,30.3,16.0,5.7,0.0,0.0,14.3,13.5,41,113,-15.5
