SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-08,CHO,MAG,MAG,12.57,2,5,0.4,1,4,0.25,1,1,1.0,0,0,0.0,0,3,3,1,0,0,0,1,5,3.5,-5,0.5,0.5,0.2,0.0,0.0,24.6,12.3,17.1,0.0,0.0,0.0,16.7,110,97,2.7
2000-01,2000-11-09,CHO,SUP,CHO,35.45,7,17,0.412,6,12,0.5,1,5,0.2,3,3,1.0,1,10,11,3,0,0,3,2,18,10.9,-6,0.491,0.441,0.294,0.176,3.6,36.1,19.8,17.6,0.0,0.0,14.1,28.0,99,115,-1.7
2000-01,2000-11-11,CHO,KNI,KNI,29.1,3,11,0.273,2,10,0.2,1,1,1.0,0,0,0.0,1,8,9,2,0,1,4,2,7,0.9,-4,0.318,0.318,0.091,0.0,3.4,33.1,16.9,16.5,0.0,2.4,26.7,25.3,56,97,-7.2
2000-01,2000-11-14,CHO,HEA,HEA,15.2,0,7,0.0,0,5,0.0,0,2,0.0,0,1,0.0,1,4,5,1,0,3,0,0,0,-0.6,-8,0.0,0.0,0.286,0.143,7.5,34.5,20.1,11.8,0.0,16.6,0.0,22.8,15,78,-5.3
2000-01,2000-11-16,CHO,ROC,ROC,25.42,6,10,0.6,6,9,0.667,0,1,0.0,0,0,0.0,2,2,4,0,0,2,2,1,12,8.4,-13,0.6,0.6,0.1,0.0,8.0,11.2,9.3,0.0,0.0,6.0,16.7,22.3,102,104,1.5
2000-01,2000-11-17,CHO,PIS,CHO,24.28,3,5,0.6,2,4,0.5,1,1,1.0,2,2,1.0,1,5,6,1,0,1,0,2,9,9.5,-12,0.765,0.7,0.2,0.4,4.4,24.4,14.0,7.1,0.0,3.2,0.0,10.8,158,101,6.3
2000-01,2000-12-26,CHO,CAV,CHO,13.35,2,6,0.333,2,5,0.4,0,1,0.0,0,0,0.0,0,1,1,1,1,0,0,4,4,1.0,7,0.333,0.333,0.167,0.0,0.0,8.5,4.4,13.7,3.9,0.0,0.0,21.5,75,105,-11.7
2000-01,2000-12-28,CHO,KIN,KIN,33.85,5,13,0.385,4,10,0.4,1,3,0.333,3,4,0.75,4,6,10,0,0,2,2,0,14,10.5,-10,0.474,0.423,0.231,0.308,12.3,18.0,15.2,0.0,0.0,4.2,11.9,22.6,96,101,-1.0
2000-01,2000-12-30,CHO,SUP,SUP,30.73,3,10,0.3,2,8,0.25,1,2,0.5,7,8,0.875,2,3,5,1,0,4,4,3,14,8.4,3,0.518,0.35,0.2,0.8,8.1,10.8,9.6,5.5,0.0,8.8,22.8,26.2,96,117,-4.7
2000-01,2001-01-01,CHO,BLA,BLA,23.53,1,9,0.111,1,8,0.125,0,1,0.0,5,6,0.833,3,1,4,2,2,0,3,1,7,3.1,-13,0.301,0.111,0.111,0.667,11.8,5.4,9.1,16.7,4.8,0.0,20.5,28.9,66,104,-3.6
2000-01,2001-01-03,CHO,VGR,VGR,17.2,7,9,0.778,4,6,0.667,3,3,1.0,1,2,0.5,2,4,6,0,0,0,1,6,18,13.3,-1,0.911,0.944,0.333,0.222,11.1,33.2,19.9,0.0,0.0,0.0,9.2,27.3,155,111,17.2
2000-01,2001-01-05,CHO,CLI,CLI,19.43,4,11,0.364,4,8,0.5,0,3,0.0,1,3,0.333,1,4,5,2,0,1,2,0,9,4.1,2,0.365,0.364,0.273,0.273,6.6,20.6,14.5,21.1,0.0,4.3,14.0,33.2,76,83,-1.7
2000-01,2001-01-07,CHO,NUG,NUG,17.22,6,12,0.5,5,11,0.455,1,1,1.0,1,2,0.5,2,2,4,0,0,0,0,1,14,9.2,-11,0.543,0.542,0.083,0.167,11.8,13.1,12.4,0.0,0.0,0.0,0.0,34.9,116,113,6.5
