SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,GRI,SPU,GRI,10.55,2,5,0.4,0,1,0.0,2,4,0.5,0,0,0.0,1,3,4,0,0,0,1,1,6,3.5,-6,0.6,0.6,0.8,0.0,10.1,30.3,20.2,0.0,0.0,0.0,16.7,24.0,99,124,-3.9
2020-21,2020-12-26,GRI,HAW,GRI,22.35,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0.0,0,1,1,0,0,0,0,4,6,4.1,2,1.5,1.5,1.0,0.0,0.0,4.3,2.1,0.0,0.0,0.0,0.0,3.7,300,124,-1.9
2020-21,2020-12-28,GRI,NET,NET,23.92,2,6,0.333,0,1,0.0,2,5,0.4,0,0,0.0,1,2,3,0,0,0,1,3,6,1.7,-6,0.5,0.5,0.833,0.0,4.2,8.4,6.3,0.0,0.0,0.0,14.3,12.0,96,110,-6.5
2020-21,2020-12-30,GRI,CEL,CEL,31.9,6,11,0.545,3,5,0.6,3,6,0.5,1,1,1.0,2,2,4,0,2,0,2,2,16,11.9,-10,0.699,0.682,0.545,0.091,6.5,7.2,6.8,0.0,2.9,0.0,14.9,16.1,119,120,1.6
2020-21,2021-01-01,GRI,HOR,HOR,28.13,4,12,0.333,2,5,0.4,2,7,0.286,0,0,0.0,0,2,2,4,1,0,2,2,10,4.8,-5,0.417,0.417,0.583,0.0,0.0,7.1,3.8,18.9,1.7,0.0,14.3,21.8,85,98,-6.1
2020-21,2021-01-03,GRI,LAK,GRI,21.47,5,8,0.625,2,4,0.5,3,4,0.75,0,1,0.0,0,1,1,2,1,0,1,2,13,9.9,4,0.77,0.813,0.5,0.125,0.0,4.7,2.3,16.1,2.4,0.0,10.6,19.3,133,117,9.8
2020-21,2021-01-05,GRI,LAK,GRI,24.65,3,8,0.375,2,4,0.5,1,4,0.25,0,0,0.0,0,3,3,1,1,0,2,1,7,2.8,12,0.438,0.438,0.5,0.0,0.0,13.9,6.5,6.5,2.0,0.0,20.0,18.4,68,100,-6.3
2020-21,2021-01-07,GRI,CAV,GRI,23.6,2,6,0.333,0,2,0.0,2,4,0.5,0,0,0.0,1,5,6,2,1,0,1,0,6,6.2,3,0.5,0.5,0.667,0.0,5.0,23.1,14.4,12.7,2.2,0.0,14.3,13.6,101,105,-1.6
2020-21,2021-01-08,GRI,NET,GRI,21.45,2,6,0.333,0,3,0.0,2,3,0.667,4,4,1.0,0,2,2,0,1,0,0,3,10,7.0,4,0.644,0.5,0.5,0.667,0.0,11.8,5.1,0.0,2.2,0.0,0.0,14.9,138,110,-2.4
2020-21,2021-01-11,GRI,CAV,CAV,20.15,4,5,0.8,4,4,1.0,0,1,0.0,1,1,1.0,0,4,4,2,1,0,2,2,9,7.9,16,0.827,0.8,0.2,0.2,0.0,22.2,11.9,15.6,2.5,0.0,26.9,17.3,113,96,0.5
2020-21,2021-01-13,GRI,TIM,TIM,16.57,1,4,0.25,1,3,0.333,0,1,0.0,1,2,0.5,0,3,3,0,0,0,0,2,3,0.3,3,0.307,0.25,0.25,0.5,0.0,20.2,9.1,0.0,0.0,0.0,0.0,11.9,71,113,-14.3
2020-21,2021-01-16,GRI,76E,GRI,18.53,4,5,0.8,2,3,0.667,2,2,1.0,0,0,0.0,0,2,2,1,0,0,0,1,10,9.0,10,1.0,1.0,0.4,0.0,0.0,11.0,5.4,7.9,0.0,0.0,0.0,11.0,191,109,7.9
