SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2014-15,2014-10-29,BUL,KNI,KNI,24.3,5,9,0.556,3,4,0.75,2,5,0.4,0,0,0.0,1,4,5,2,1,0,1,2,12,10.2,16,0.667,0.667,0.556,0.0,5.8,15.5,11.6,15.1,2.3,0.0,10.0,19.9,129,92,6.4
2014-15,2014-10-31,BUL,CAV,BUL,16.9,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,-1.8,-10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,8.1,0,122,-12.3
2014-15,2014-11-01,BUL,TIM,TIM,11.38,1,4,0.25,1,2,0.5,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,2,-0.9,6,0.25,0.25,0.5,0.0,0.0,9.2,5.3,0.0,0.0,0.0,0.0,16.8,52,117,-15.7
2014-15,2014-11-04,BUL,MAG,BUL,11.65,4,6,0.667,3,4,0.75,1,2,0.5,3,3,1.0,0,1,1,0,0,0,0,0,12,9.7,1,0.82,0.75,0.333,0.5,0.0,8.6,4.5,0.0,0.0,0.0,0.0,30.5,163,109,14.0
2014-15,2014-11-05,BUL,BUC,BUC,6.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,2,0,-0.2,-6,0.0,0.0,0.0,0.0,0.0,26.3,15.1,0.0,0.0,0.0,0.0,0.0,0,90,-6.7
2014-15,2014-11-07,BUL,76E,76E,17.13,3,4,0.75,1,1,1.0,2,3,0.667,0,0,0.0,0,1,1,0,0,0,2,1,8,4.3,-15,1.0,1.0,0.75,0.0,0.0,6.2,3.4,0.0,0.0,0.0,33.3,15.3,105,128,-1.2
2014-15,2014-11-08,BUL,CEL,BUL,15.1,3,4,0.75,3,4,0.75,0,0,0.0,0,1,0.0,0,3,3,0,0,0,1,1,6,3.5,-7,0.676,0.75,0.0,0.25,0.0,28.0,11.5,0.0,0.0,0.0,18.4,16.2,95,115,-5.0
2014-15,2014-11-10,BUL,PIS,BUL,5.37,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0,103,-16.2
2014-15,2014-11-13,BUL,RAP,RAP,5.08,0,1,0.0,0,0,0.0,0,1,0.0,0,2,0.0,0,1,1,0,0,0,2,0,0,-3.2,-9,0.0,0.0,1.0,2.0,0.0,19.7,11.0,0.0,0.0,0.0,51.5,33.3,0,101,-37.4
2014-15,2014-11-15,BUL,PAC,BUL,13.83,3,4,0.75,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,0,1,0,3,1,7,3.3,-17,0.875,0.875,0.25,0.0,0.0,10.2,4.3,0.0,3.8,0.0,42.9,22.9,80,107,-0.7
