SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,2002-10-30,GRI,MAV,GRI,26.88,8,12,0.667,8,12,0.667,0,0,0.0,0,2,0.0,1,3,4,2,1,1,2,2,16,11.9,-13,0.621,0.667,0.0,0.167,4.6,11.3,8.3,12.4,1.7,2.5,13.4,23.6,105,115,2.5
2002-03,2002-11-01,GRI,PIS,PIS,23.68,9,15,0.6,9,15,0.6,0,0,0.0,3,3,1.0,2,3,5,1,0,1,3,3,21,13.6,-16,0.643,0.6,0.0,0.2,9.8,18.2,13.5,13.3,0.0,3.3,15.5,38.2,108,118,4.7
2002-03,2002-11-02,GRI,KIN,GRI,16.1,4,11,0.364,4,11,0.364,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,4,8,-0.1,-1,0.364,0.364,0.0,0.0,0.0,14.3,7.2,0.0,0.0,0.0,8.3,32.1,65,120,-17.4
2002-03,2002-11-04,GRI,SPU,GRI,36.27,4,14,0.286,4,14,0.286,0,0,0.0,6,8,0.75,5,3,8,1,2,0,4,5,14,6.1,-7,0.4,0.286,0.0,0.571,15.0,9.8,12.5,5.1,2.9,0.0,18.6,26.4,83,104,-7.8
2002-03,2002-11-06,GRI,BLA,BLA,32.85,6,15,0.4,6,15,0.4,0,0,0.0,3,4,0.75,2,3,5,2,0,0,1,3,15,8.0,7,0.447,0.4,0.0,0.267,7.7,11.2,9.4,11.1,0.0,0.0,5.6,25.3,103,116,-4.6
2002-03,2002-11-08,GRI,KIN,KIN,30.48,10,19,0.526,10,19,0.526,0,0,0.0,3,5,0.6,1,7,8,1,3,0,3,1,23,16.0,3,0.542,0.526,0.0,0.263,3.4,23.3,13.5,7.3,4.8,0.0,12.4,33.5,98,93,4.1
2002-03,2002-11-09,GRI,NUG,NUG,38.18,6,15,0.4,6,15,0.4,0,0,0.0,7,9,0.778,3,9,12,3,1,2,1,2,19,17.6,13,0.501,0.4,0.0,0.6,8.1,22.7,15.6,24.6,1.4,2.9,5.0,23.7,110,88,7.7
2002-03,2002-11-11,GRI,WAR,GRI,32.9,6,13,0.462,6,13,0.462,0,0,0.0,3,4,0.75,5,4,9,2,1,2,2,3,15,13.2,-5,0.508,0.462,0.0,0.308,14.0,15.7,14.7,10.3,1.6,3.7,11.9,21.9,108,117,0.1
2002-03,2002-11-15,GRI,TIM,GRI,34.75,7,17,0.412,7,17,0.412,0,0,0.0,4,8,0.5,5,3,8,2,0,0,1,3,18,10.9,-2,0.439,0.412,0.0,0.471,13.4,11.1,12.5,10.8,0.0,0.0,4.6,24.9,106,109,-0.3
2002-03,2002-11-16,GRI,BUL,BUL,31.25,4,8,0.5,4,8,0.5,0,0,0.0,1,2,0.5,1,6,7,3,1,0,5,5,9,3.2,-14,0.507,0.5,0.0,0.25,4.1,23.2,13.9,14.6,1.7,0.0,36.0,20.1,73,116,-9.9
2002-03,2002-11-19,GRI,TIM,TIM,21.23,4,8,0.5,4,6,0.667,0,2,0.0,3,4,0.75,1,1,2,1,1,0,0,4,11,7.7,-17,0.564,0.5,0.25,0.5,5.2,5.2,5.2,9.4,2.6,0.0,0.0,21.3,127,114,1.7
2002-03,2002-11-20,GRI,76E,GRI,31.83,9,13,0.692,9,12,0.75,0,1,0.0,3,4,0.75,5,3,8,1,1,1,3,3,21,17.7,1,0.711,0.692,0.077,0.308,15.0,9.6,12.4,7.7,1.7,2.2,16.9,23.6,123,109,6.6
2002-03,2002-11-22,GRI,SPU,SPU,26.92,2,9,0.222,2,8,0.25,0,1,0.0,0,0,0.0,0,3,3,4,1,0,3,3,4,-1.0,-15,0.222,0.222,0.111,0.0,0.0,12.4,6.8,23.4,2.1,0.0,25.0,22.2,51,110,-10.9
2002-03,2002-11-23,GRI,WIZ,GRI,23.37,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0.0,1,3,4,2,1,0,5,0,6,2.0,0,0.5,0.5,0.0,0.0,7.2,13.0,10.8,16.2,2.5,0.0,45.5,25.8,61,90,-8.8
2002-03,2002-11-27,GRI,SUP,GRI,32.57,10,14,0.714,9,12,0.75,1,2,0.5,2,2,1.0,3,5,8,3,0,1,4,1,23,19.2,22,0.773,0.75,0.143,0.143,14.5,18.6,16.9,13.0,0.0,2.2,21.2,27.1,129,115,2.8
2002-03,2002-11-29,GRI,LAK,GRI,38.78,8,16,0.5,7,14,0.5,1,2,0.5,2,2,1.0,4,6,10,4,0,2,3,4,19,15.2,-10,0.563,0.531,0.125,0.125,11.8,16.6,14.3,18.7,0.0,3.1,15.1,22.7,108,107,2.8
2002-03,2002-12-01,GRI,RAP,GRI,27.0,4,17,0.235,4,17,0.235,0,0,0.0,1,2,0.5,0,4,4,0,1,1,1,5,9,-1.8,-11,0.252,0.235,0.0,0.118,0.0,15.8,7.9,0.0,2.0,2.3,5.3,32.8,54,101,-16.7
2002-03,2002-12-03,GRI,LAK,LAK,22.17,4,12,0.333,3,10,0.3,1,2,0.5,2,3,0.667,2,3,5,1,1,0,2,2,11,5.0,-11,0.413,0.375,0.167,0.25,8.6,17.7,12.4,8.6,2.3,0.0,13.1,30.2,82,107,-5.8
2002-03,2002-12-04,GRI,SUN,SUN,25.87,6,13,0.462,6,13,0.462,0,0,0.0,0,2,0.0,3,6,9,3,2,3,2,3,12,11.4,6,0.432,0.462,0.0,0.154,12.0,23.1,17.7,24.2,4.0,6.9,12.6,27.3,88,92,7.3
2002-03,2002-12-06,GRI,JAZ,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2002-03,2002-12-08,GRI,SUN,GRI,18.62,4,6,0.667,4,6,0.667,0,0,0.0,0,0,0.0,1,4,5,0,0,0,4,3,8,2.1,-10,0.667,0.667,0.0,0.0,9.4,19.1,15.8,0.0,0.0,0.0,40.0,22.7,73,98,-10.9
2002-03,2002-12-10,GRI,HEA,HEA,35.47,11,14,0.786,10,13,0.769,1,1,1.0,2,5,0.4,0,9,9,1,0,0,1,1,25,20.4,19,0.772,0.821,0.071,0.357,0.0,28.7,17.1,5.5,0.0,0.0,5.8,26.2,133,111,3.4
2002-03,2002-12-11,GRI,NUG,GRI,38.07,5,11,0.455,1,7,0.143,4,4,1.0,0,0,0.0,1,3,4,3,2,3,5,1,14,10.7,12,0.636,0.636,0.364,0.0,3.5,7.9,6.0,14.8,2.7,4.9,31.3,20.3,89,98,3.9
2002-03,2002-12-13,GRI,ROC,GRI,29.43,2,7,0.286,2,5,0.4,0,2,0.0,2,2,1.0,2,3,5,1,0,0,2,6,6,0.5,7,0.381,0.286,0.286,0.286,8.5,11.0,9.8,5.0,0.0,0.0,20.2,16.0,82,116,-12.3
2002-03,2002-12-14,GRI,MAV,MAV,13.9,1,4,0.25,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,0,0,0,1,1,2,-0.2,-12,0.25,0.25,0.25,0.0,8.4,20.6,15.1,0.0,0.0,0.0,20.0,17.4,52,115,-14.6
2002-03,2002-12-16,GRI,WAR,GRI,22.2,6,11,0.545,6,9,0.667,0,2,0.0,1,1,1.0,3,2,5,1,0,0,1,1,13,9.7,-6,0.568,0.545,0.182,0.091,13.9,7.9,10.7,8.8,0.0,0.0,8.0,24.9,116,104,-0.6
2002-03,2002-12-18,GRI,WIZ,WIZ,27.5,8,13,0.615,8,13,0.615,0,0,0.0,3,3,1.0,3,2,5,0,1,0,1,2,19,15.0,1,0.663,0.615,0.0,0.231,13.9,13.7,13.8,0.0,2.0,0.0,6.5,27.3,130,136,0.3
2002-03,2002-12-20,GRI,BUC,GRI,29.35,6,14,0.429,5,12,0.417,1,2,0.5,0,0,0.0,2,7,9,0,1,0,4,3,13,4.9,7,0.464,0.464,0.143,0.0,8.9,22.3,16.7,0.0,1.8,0.0,22.2,29.6,71,90,-10.0
2002-03,2002-12-22,GRI,JAZ,GRI,23.4,2,6,0.333,1,4,0.25,1,2,0.5,0,0,0.0,3,2,5,2,0,1,5,5,5,-0.6,-20,0.417,0.417,0.333,0.0,14.6,11.6,13.2,18.3,0.0,3.3,45.5,22.3,58,120,-11.9
