SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2014-15,2014-11-13,76E,MAV,MAV,12.97,1,4,0.25,1,3,0.333,0,1,0.0,0,0,0.0,1,4,5,0,0,0,0,1,2,1.1,-9,0.25,0.25,0.25,0.0,6.2,40.0,19.1,0.0,0.0,0.0,0.0,12.5,67,123,-7.6
2014-15,2014-11-14,76E,ROC,ROC,12.68,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,2,1,3,2,1,0,3,0,2,2.1,3,0.5,0.5,0.0,0.0,15.8,8.4,12.2,25.1,3.9,0.0,60.0,17.1,66,91,-0.5
2014-15,2014-11-17,76E,SPU,SPU,2.78,1,1,1.0,1,1,1.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,0,3,1.3,-3,0.798,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,46.6,86,110,0.6
2014-15,2014-11-19,76E,CEL,76E,11.08,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,3,2,5,0,0,0,1,2,2,1.2,-5,0.333,0.333,0.0,0.0,28.2,20.6,24.6,0.0,0.0,0.0,25.0,15.7,81,106,-12.0
2014-15,2014-11-21,76E,SUN,76E,10.22,2,3,0.667,2,2,1.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,4,1.6,-9,0.667,0.667,0.333,0.0,0.0,11.7,5.5,0.0,0.0,0.0,25.0,17.2,91,132,-8.5
2014-15,2014-11-22,76E,KNI,KNI,2.78,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,110,-5.3
2014-15,2014-11-24,76E,BLA,76E,6.63,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,4,0.6,-8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,34.6,70,133,-19.4
2014-15,2014-11-26,76E,NET,76E,1.73,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-0.1,0,0.0,0.0,1.0,0.0,0.0,100.0,67.5,0.0,0.0,0.0,0.0,24.6,0,93,-18.4
2014-15,2014-11-29,76E,MAV,76E,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2014-15,2014-12-01,76E,SPU,76E,10.3,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,0,-1.5,-3,0.0,0.0,0.0,0.0,9.5,10.4,9.9,0.0,0.0,0.0,50.0,8.5,35,116,-17.3
2014-15,2014-12-03,76E,TIM,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
