SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2019-01-27,SUN,LAK,LAK,8.83,2,4,0.5,2,4,0.5,0,0,0,1,2,0.5,2,1,3,1,2,0,0,1,5,6.6,5,0.512,0.5,0.0,0.5,25.9,13.9,20.1,23.5,11.4,0.0,0.0,23.0,131,102,14.0
2018-19,2019-01-29,SUN,SPU,SPU,10.67,2,2,1.0,2,2,1.0,0,0,0,0,0,0.0,0,3,3,0,1,0,2,3,4,2.1,-2,1.0,1.0,0.0,0.0,0.0,27.6,18.2,0.0,4.4,0.0,50.0,16.9,79,113,-7.4
2018-19,2019-02-02,SUN,HAW,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2019-02-04,SUN,ROC,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2019-02-23,HEA,PIS,HEA,3.25,0,1,0.0,0,1,0.0,0,0,0,1,2,0.5,1,0,1,1,0,0,0,0,1,1.3,1,0.266,0.0,0.0,2.0,34.3,0.0,20.0,42.2,0.0,0.0,0.0,26.0,101,133,2.1
2018-19,2019-02-25,HEA,SUN,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2021-22,2021-12-27,SUN,GRI,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2021-22,2021-12-29,SUN,THU,SUN,1.37,0,3,0.0,0,3,0.0,0,0,0,0,0,0.0,3,1,4,0,0,0,0,0,0,0.3,0,0.0,0.0,0.0,0.0,100.0,67.5,100.0,0.0,0.0,0.0,0.0,91.4,68,84,-68.8
2021-22,2021-12-31,SUN,CEL,CEL,10.55,0,1,0.0,0,1,0.0,0,0,0,0,0,0.0,3,3,6,0,0,0,2,1,0,-0.1,-15,0.0,0.0,0.0,0.0,25.8,39.0,31.0,0.0,0.0,0.0,66.7,11.8,51,126,-15.7
2021-22,2022-01-02,SUN,HOR,HOR,6.28,0,1,0.0,0,1,0.0,0,0,0,0,0,0.0,2,3,5,2,1,0,3,3,0,-0.2,-4,0.0,0.0,0.0,0.0,35.5,52.1,43.9,29.4,7.2,0.0,75.0,24.4,55,79,-11.8
