SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2011-12,2011-12-27,JAZ,LAK,LAK,20.5,1,7,0.143,1,7,0.143,0,0,0.0,3,4,0.75,3,8,11,0,0,1,0,2,5,4.5,-3,0.285,0.143,0.0,0.571,13.3,48.0,28.0,0.0,0.0,4.3,0.0,19.1,82,105,-5.4
2011-12,2011-12-28,JAZ,NUG,NUG,14.2,1,5,0.2,1,5,0.2,0,0,0.0,2,3,0.667,2,3,5,0,0,0,0,2,4,2.0,0,0.316,0.2,0.0,0.6,16.5,23.6,20.1,0.0,0.0,0.0,0.0,19.1,86,116,-11.0
2011-12,2011-12-30,JAZ,76E,JAZ,15.48,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,2,4,6,0,0,0,0,0,4,5.3,7,0.667,0.667,0.0,0.0,14.8,31.8,23.0,0.0,0.0,0.0,0.0,8.9,152,111,1.3
2011-12,2011-12-31,JAZ,SPU,SPU,12.95,2,3,0.667,2,3,0.667,0,0,0.0,3,4,0.75,1,1,2,1,2,1,0,3,7,8.5,-10,0.735,0.667,0.0,1.333,6.7,10.6,8.2,14.5,7.8,6.4,0.0,16.5,162,95,14.4
2011-12,2012-01-02,JAZ,NHO,JAZ,13.37,2,4,0.5,2,4,0.5,0,0,0.0,0,1,0.0,2,2,4,1,0,0,0,0,4,4.3,1,0.45,0.5,0.0,0.25,18.4,21.1,19.7,12.0,0.0,0.0,0.0,16.2,116,107,0.9
2011-12,2012-01-03,JAZ,BUC,JAZ,12.58,2,2,1.0,2,2,1.0,0,0,0.0,1,2,0.5,1,4,5,0,0,1,2,0,5,4.6,1,0.868,1.0,0.0,1.0,10.9,24.2,19.5,0.0,0.0,5.2,41.0,18.2,86,75,3.8
2011-12,2012-01-06,JAZ,GRI,JAZ,9.47,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,2,0,2,1.0,5,1.0,1.0,0.0,0.0,13.7,24.1,19.3,0.0,0.0,0.0,66.7,15.5,69,97,-7.2
2011-12,2012-01-07,JAZ,WAR,WAR,13.82,2,5,0.4,2,5,0.4,0,0,0.0,2,3,0.667,3,4,7,0,0,2,2,1,6,5.2,-11,0.475,0.4,0.0,0.6,22.2,36.6,28.6,0.0,0.0,13.6,24.0,28.2,87,93,-3.7
2011-12,2012-01-10,JAZ,CAV,JAZ,9.48,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,2,2,4,0,0,0,2,1,2,-0.1,0,0.333,0.333,0.0,0.0,30.7,22.0,25.6,0.0,0.0,0.0,40.0,24.6,66,112,-18.6
2011-12,2012-01-11,JAZ,LAK,JAZ,9.68,1,1,1.0,1,1,1.0,0,0,0.0,1,2,0.5,2,2,4,0,0,1,0,2,3,4.2,2,0.798,1.0,0.0,2.0,22.8,24.9,23.8,0.0,0.0,7.5,0.0,9.3,171,87,6.2
