SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-11-01,BUC,PIS,PIS,1.23,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,0,113,-37.0
2006-07,2006-11-03,BUC,RAP,RAP,8.3,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,1,3,0,-4.0,1,0.0,0.0,0.667,0.0,0.0,14.5,7.1,0.0,0.0,0.0,25.0,21.6,0,120,-33.4
2006-07,2006-11-04,BUC,KIN,BUC,4.27,0,1,0.0,0,0,0.0,0,1,0.0,4,4,1.0,0,1,1,0,0,0,2,0,4,1.6,-6,0.725,0.0,1.0,4.0,0.0,23.0,13.9,0.0,0.0,0.0,42.0,52.4,90,100,-16.1
2006-07,2006-11-06,BUC,BUL,BUL,4.12,2,3,0.667,2,3,0.667,0,0,0.0,0,1,0.0,0,0,0,0,0,0,0,0,4,2.3,-5,0.581,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6,102,121,5.8
2006-07,2006-11-08,BUC,ROC,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-11-10,BUC,WIZ,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-11-11,BUC,JAZ,BUC,7.1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,1,1,0,-1.8,0,0.0,0.0,1.0,0.0,0.0,19.3,9.3,0.0,0.0,0.0,50.0,12.4,0,120,-21.7
2006-07,2006-11-14,BUC,HAW,HAW,13.78,1,3,0.333,0,1,0.0,1,2,0.5,4,6,0.667,2,2,4,0,0,0,1,1,7,5.1,2,0.621,0.5,0.667,2.0,17.4,18.3,17.9,0.0,0.0,0.0,15.1,21.8,123,112,2.1
2006-07,2006-11-15,BUC,NNE,NNE,21.63,3,10,0.3,3,6,0.5,0,4,0.0,0,0,0.0,3,2,5,1,0,0,1,3,6,1.4,-11,0.3,0.3,0.4,0.0,15.1,14.3,14.8,9.1,0.0,0.0,9.1,23.1,72,111,-11.2
2006-07,2006-11-18,BUC,PAC,BUC,23.72,5,6,0.833,3,4,0.75,2,2,1.0,0,0,0.0,1,1,2,0,2,0,2,5,12,8.8,-11,1.0,1.0,0.333,0.0,5.1,4.1,4.5,0.0,4.3,0.0,25.0,15.3,129,106,5.0
2006-07,2006-11-21,BUC,PAC,PAC,20.77,1,8,0.125,0,2,0.0,1,6,0.167,0,0,0.0,2,5,7,0,2,1,2,4,3,-0.2,-11,0.188,0.188,0.75,0.0,10.5,26.9,18.6,0.0,4.9,4.2,20.0,21.6,43,86,-9.9
2006-07,2006-11-22,BUC,76E,BUC,16.55,1,6,0.167,1,5,0.2,0,1,0.0,2,2,1.0,1,1,2,1,0,0,2,3,4,-1.3,-9,0.291,0.167,0.167,0.333,6.4,7.3,6.8,10.0,0.0,0.0,22.5,24.9,61,109,-18.5
2006-07,2006-11-25,BUC,CEL,BUC,12.78,1,4,0.25,0,2,0.0,1,2,0.5,0,0,0.0,1,1,2,2,2,0,1,3,3,2.8,-9,0.375,0.375,0.5,0.0,10.1,10.7,10.4,22.6,8.5,0.0,20.0,19.0,88,111,1.0
2006-07,2006-11-28,BUC,LAK,LAK,27.57,3,6,0.5,2,4,0.5,1,2,0.5,2,2,1.0,0,5,5,3,0,1,1,2,9,8.5,-1,0.654,0.583,0.333,0.333,0.0,21.2,11.2,13.8,0.0,3.6,12.7,12.5,125,108,2.9
2006-07,2006-12-01,BUC,SUN,SUN,16.28,0,6,0.0,0,4,0.0,0,2,0.0,2,2,1.0,1,5,6,0,0,0,1,6,2,-3.4,1,0.145,0.0,0.333,0.333,6.7,37.8,21.3,0.0,0.0,0.0,12.7,19.9,42,123,-23.8
2006-07,2006-12-02,BUC,WAR,WAR,14.58,2,7,0.286,1,5,0.2,1,2,0.5,2,3,0.667,4,1,5,2,0,0,2,3,7,3.8,2,0.421,0.357,0.286,0.429,34.6,8.4,21.4,19.1,0.0,0.0,19.4,28.6,102,118,-7.9
2006-07,2006-12-04,BUC,JAZ,JAZ,16.6,3,9,0.333,0,4,0.0,3,5,0.6,0,0,0.0,1,3,4,2,0,0,0,3,9,5.7,1,0.5,0.5,0.556,0.0,6.4,23.4,14.1,24.8,0.0,0.0,0.0,24.5,115,114,6.0
2006-07,2006-12-06,BUC,BLA,BUC,8.67,0,1,0.0,0,0,0.0,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,1,1,-0.2,5,0.266,0.0,1.0,2.0,0.0,15.7,7.9,0.0,0.0,0.0,0.0,11.0,64,107,-11.8
2006-07,2006-12-08,BUC,GRI,BUC,3.08,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,1,0,-3.1,-11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,46.8,0,116,-62.6
2006-07,2006-12-09,BUC,KNI,KNI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
