SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,NUG,KIN,NUG,8.13,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,3,2.6,-4,1.5,1.5,1.0,0.0,0.0,12.1,6.5,0.0,0.0,0.0,0.0,5.3,300,118,2.3
2020-21,2020-12-25,NUG,CLI,NUG,3.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,14.0,0,138,-24.5
2020-21,2020-12-28,NUG,ROC,NUG,5.43,0,1,0.0,0,1,0.0,0,0,0.0,4,4,1.0,0,1,1,0,0,0,1,2,4,1.8,-10,0.725,0.0,0.0,4.0,0.0,19.2,9.8,0.0,0.0,0.0,26.6,28.9,115,111,-14.5
2020-21,2020-12-29,NUG,KIN,KIN,12.57,0,3,0.0,0,0,0.0,0,3,0.0,1,2,0.5,0,2,2,5,2,0,3,4,1,0.0,-10,0.129,0.0,1.0,0.667,0.0,17.4,10.1,43.4,7.7,0.0,43.6,24.2,57,112,-13.0
2020-21,2021-01-01,NUG,SUN,NUG,3.88,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,122,-13.7
2020-21,2021-01-03,NUG,TIM,TIM,21.4,5,8,0.625,0,1,0.0,5,7,0.714,0,0,0.0,0,1,1,2,3,1,1,0,15,15.8,26,0.938,0.938,0.875,0.0,0.0,5.8,2.8,13.3,6.9,4.2,11.1,17.4,153,100,20.7
2020-21,2021-01-05,NUG,TIM,NUG,25.87,3,7,0.429,3,4,0.75,0,3,0.0,5,7,0.714,0,1,1,2,0,0,0,4,11,6.6,3,0.546,0.429,0.429,1.0,0.0,4.4,2.2,10.5,0.0,0.0,0.0,16.6,125,121,-6.4
2020-21,2021-01-07,NUG,MAV,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-09,NUG,76E,76E,17.02,1,4,0.25,0,0,0.0,1,4,0.25,0,0,0.0,0,2,2,2,0,0,1,1,3,1.2,1,0.375,0.375,1.0,0.0,0.0,11.3,6.1,13.4,0.0,0.0,20.0,12.4,86,114,-10.7
2020-21,2021-01-10,NUG,KNI,KNI,14.17,2,5,0.4,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,2,2,0,1,2,5,4.5,16,0.5,0.5,0.4,0.0,0.0,15.8,8.6,17.7,7.4,0.0,16.7,20.1,100,87,2.3
2020-21,2021-01-12,NUG,NET,NET,11.22,2,5,0.4,0,0,0.0,2,5,0.4,0,0,0.0,0,0,0,1,0,0,0,2,6,3.2,5,0.6,0.6,1.0,0.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,19.8,126,136,-5.2
2020-21,2021-01-14,NUG,WAR,NUG,12.03,1,3,0.333,0,0,0.0,1,3,0.333,0,0,0.0,0,0,0,1,0,0,1,4,3,-0.6,-2,0.5,0.5,1.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,25.0,13.9,80,108,-13.6
2020-21,2021-01-17,NUG,JAZ,NUG,11.23,2,4,0.5,1,3,0.333,1,1,1.0,0,0,0.0,1,0,1,2,0,0,1,5,5,2.1,-12,0.625,0.625,0.25,0.0,8.2,0.0,4.9,27.2,0.0,0.0,20.0,18.5,124,125,-6.4
2020-21,2021-01-19,NUG,THU,NUG,18.0,1,6,0.167,0,3,0.0,1,3,0.333,0,0,0.0,0,0,0,1,1,0,1,2,3,-0.9,8,0.25,0.25,0.5,0.0,0.0,0.0,0.0,6.2,2.6,0.0,14.3,14.9,60,102,-13.6
2020-21,2021-01-22,NUG,SUN,SUN,7.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,0,1.7,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,7.0,0.0,0.0,0.0,211,111,4.0
2020-21,2021-01-23,NUG,SUN,SUN,14.77,1,3,0.333,0,0,0.0,1,3,0.333,0,0,0.0,0,0,0,2,0,0,0,2,3,1.9,8,0.5,0.5,1.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,0.0,9.3,126,107,-1.4
2020-21,2021-01-25,NUG,MAV,MAV,12.78,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,2,0,2,2,2,0,1,1,0,2.7,12,0.0,0.0,1.0,0.0,18.8,0.0,9.0,18.8,8.0,0.0,50.0,7.0,97,111,2.7
2020-21,2021-01-27,NUG,HEA,HEA,10.12,0,4,0.0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0,1,2,1,0,0,0,0.6,-2,0.0,0.0,0.75,0.0,0.0,0.0,0.0,11.3,10.1,13.6,0.0,17.3,19,68,-2.7
2020-21,2021-01-29,NUG,SPU,SPU,10.15,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,3,2,0,2,0,0,1.4,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,10.1,0.0,66.7,13.9,56,112,-1.8
2020-21,2021-01-31,NUG,JAZ,NUG,19.18,3,5,0.6,1,1,1.0,2,4,0.5,3,4,0.75,0,2,2,5,0,0,1,4,11,9.8,5,0.814,0.8,0.8,0.8,0.0,11.9,6.5,31.7,0.0,0.0,12.9,18.8,159,130,4.8
2020-21,2021-02-04,NUG,LAK,LAK,2.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,124,-17.8
