SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,2013-10-30,BUC,KNI,KNI,4.72,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,1,2,1,-1.2,-3,0.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.2,18.7,54,104,-22.0
2013-14,2013-11-01,BUC,CEL,CEL,12.45,2,5,0.4,2,4,0.5,0,1,0.0,1,2,0.5,0,2,2,0,0,0,0,3,5,1.3,11,0.425,0.4,0.2,0.4,0.0,18.4,8.3,0.0,0.0,0.0,0.0,21.4,95,112,-14.6
2013-14,2013-11-02,BUC,RAP,BUC,16.95,1,2,0.5,1,2,0.5,0,0,0.0,0,2,0.0,0,2,2,0,1,0,0,1,2,1.4,6,0.347,0.5,0.0,1.0,0.0,11.3,5.8,0.0,3.0,0.0,0.0,7.8,63,101,-6.0
2013-14,2013-11-06,BUC,CAV,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-09,BUC,MAV,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-12,BUC,HEA,HEA,21.58,4,8,0.5,1,3,0.333,3,5,0.6,0,0,0.0,2,2,4,0,0,0,3,1,11,5.6,-1,0.688,0.688,0.625,0.0,10.3,14.3,12.0,0.0,0.0,0.0,27.3,23.0,95,128,-3.8
2013-14,2013-11-13,BUC,MAG,MAG,19.45,1,2,0.5,1,1,1.0,0,1,0.0,4,4,1.0,1,1,2,1,2,0,1,0,6,7.7,-5,0.798,0.5,0.5,2.0,6.3,5.5,5.9,8.1,5.4,0.0,21.0,11.6,141,100,5.6
2013-14,2013-11-15,BUC,PAC,PAC,11.77,2,2,1.0,1,1,1.0,1,1,1.0,0,0,0.0,1,1,2,0,0,1,1,4,5,3.5,-18,1.25,1.25,0.5,0.0,7.8,12.7,9.7,0.0,0.0,6.5,33.3,11.3,139,118,1.6
2013-14,2013-11-16,BUC,THU,BUC,15.17,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,1,4,5,1,0,2,2,1,2,1.9,-5,0.333,0.333,0.333,0.0,6.0,25.3,15.4,11.8,0.0,9.7,40.0,14.6,54,94,-3.9
2013-14,2013-11-20,BUC,BLA,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-22,BUC,76E,76E,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-23,BUC,BOB,BUC,12.0,3,7,0.429,3,7,0.429,0,0,0.0,0,0,0.0,1,2,3,0,2,0,1,2,6,3.8,-1,0.429,0.429,0.0,0.0,8.2,20.5,13.6,0.0,9.0,0.0,12.5,30.8,76,90,1.6
2013-14,2013-11-25,BUC,PIS,PIS,12.0,2,6,0.333,2,6,0.333,0,0,0.0,2,2,1.0,1,3,4,0,0,0,0,2,6,3.4,7,0.436,0.333,0.0,0.333,9.5,35.3,21.1,0.0,0.0,0.0,0.0,26.9,101,124,-10.2
2013-14,2013-11-27,BUC,WIZ,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2013-11-29,BUC,BOB,BOB,13.42,2,3,0.667,2,2,1.0,0,1,0.0,0,1,0.0,0,2,2,1,1,1,0,3,4,4.1,-1,0.581,0.667,0.333,0.333,0.0,15.2,7.8,17.2,3.9,5.6,0.0,12.1,116,92,2.3
2013-14,2013-11-30,BUC,CEL,BUC,27.75,4,6,0.667,2,3,0.667,2,3,0.667,0,2,0.0,1,6,7,4,0,1,2,0,10,10.6,16,0.727,0.833,0.5,0.333,4.1,21.6,13.5,23.8,0.0,2.7,22.5,15.4,112,96,5.2
2013-14,2013-12-03,BUC,CEL,CEL,15.43,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,1,2,3,1,0,1,2,1,4,2.3,-11,0.5,0.5,0.0,0.0,8.4,17.3,12.8,10.1,0.0,5.9,33.3,18.8,79,122,-8.7
2013-14,2013-12-04,BUC,PIS,BUC,27.65,3,5,0.6,3,3,1.0,0,2,0.0,0,1,0.0,0,6,6,4,1,3,0,3,6,9.8,8,0.551,0.6,0.4,0.2,0.0,21.3,10.6,22.6,1.8,8.0,0.0,8.0,132,103,4.5
2013-14,2013-12-06,BUC,WIZ,WIZ,19.58,3,6,0.5,3,4,0.75,0,2,0.0,0,1,0.0,2,2,4,1,0,1,1,2,6,4.2,-3,0.466,0.5,0.333,0.167,12.0,11.0,11.5,8.0,0.0,4.8,13.4,17.0,96,106,-3.2
2013-14,2013-12-07,BUC,NET,BUC,14.13,1,3,0.333,1,1,1.0,0,2,0.0,1,2,0.5,0,2,2,1,1,1,1,1,3,2.5,-1,0.387,0.333,0.667,0.667,0.0,17.4,8.8,12.8,4.2,6.1,20.5,17.7,71,99,-1.5
2013-14,2013-12-10,BUC,BUL,BUL,9.98,0,1,0.0,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,0,0,2,0,1,-2.1,-8,0.266,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,18.9,27,98,-20.6
2013-14,2013-12-11,BUC,SPU,BUC,33.2,5,8,0.625,5,7,0.714,0,1,0.0,5,8,0.625,3,5,8,1,2,1,1,3,15,15.0,-5,0.651,0.625,0.125,1.0,8.5,19.0,13.0,6.6,3.3,2.0,8.0,17.1,130,116,6.4
2013-14,2013-12-13,BUC,BUL,BUC,23.85,2,4,0.5,2,4,0.5,0,0,0.0,4,4,1.0,4,5,9,1,0,0,0,2,8,10.2,1,0.694,0.5,0.0,1.0,20.1,24.0,22.1,6.9,0.0,0.0,0.0,11.7,169,107,3.4
2013-14,2013-12-14,BUC,MAV,MAV,34.77,3,9,0.333,3,8,0.375,0,1,0.0,7,8,0.875,2,7,9,4,0,1,0,2,13,13.7,0,0.519,0.333,0.111,0.889,6.7,21.0,14.3,17.3,0.0,2.2,0.0,16.4,127,110,1.9
2013-14,2013-12-18,BUC,KNI,BUC,41.77,2,3,0.667,2,3,0.667,0,0,0.0,6,7,0.857,1,6,7,2,2,1,3,6,10,9.5,-1,0.822,0.667,0.0,2.333,2.8,15.1,9.3,8.9,2.7,2.3,33.0,10.7,120,99,1.6
2013-14,2013-12-20,BUC,CAV,CAV,22.98,2,4,0.5,1,2,0.5,1,2,0.5,1,2,0.5,0,0,0,1,0,0,1,4,6,1.7,1,0.615,0.625,0.5,0.5,0.0,0.0,0.0,6.5,0.0,0.0,17.0,11.1,106,123,-8.9
2013-14,2013-12-21,BUC,76E,BUC,34.73,3,7,0.429,3,7,0.429,0,0,0.0,6,6,1.0,2,5,7,3,0,2,2,0,12,12.7,11,0.622,0.429,0.0,0.857,7.7,13.5,11.1,10.7,0.0,3.9,17.2,15.2,125,112,-1.6
2013-14,2013-12-23,BUC,BOB,BOB,35.7,4,8,0.5,2,4,0.5,2,4,0.5,2,2,1.0,2,4,6,2,0,0,0,1,12,11.6,3,0.676,0.625,0.5,0.25,6.5,12.4,9.5,8.2,0.0,0.0,0.0,11.3,150,115,0.1
2013-14,2013-12-27,BUC,NET,NET,33.75,5,12,0.417,4,7,0.571,1,5,0.2,5,6,0.833,2,8,10,1,0,3,1,3,16,13.6,12,0.546,0.458,0.417,0.5,5.5,28.4,15.5,5.5,0.0,8.1,6.4,20.6,113,110,1.6
2013-14,2013-12-28,BUC,TIM,BUC,31.17,3,6,0.5,3,5,0.6,0,1,0.0,0,0,0.0,4,1,5,4,4,2,4,1,6,9.9,-26,0.5,0.5,0.167,0.0,12.6,3.3,8.1,17.4,6.2,4.7,40.0,13.2,84,113,1.9
2013-14,2013-12-31,BUC,LAK,LAK,37.5,3,7,0.429,3,7,0.429,0,0,0.0,2,2,1.0,4,7,11,1,0,0,1,3,8,7.7,25,0.508,0.429,0.0,0.286,11.1,20.4,15.6,3.5,0.0,0.0,11.3,10.9,118,95,-5.8
2013-14,2014-01-02,BUC,JAZ,JAZ,33.65,3,6,0.5,2,4,0.5,1,2,0.5,3,4,0.75,1,6,7,5,0,1,2,4,10,9.7,1,0.644,0.583,0.333,0.667,3.6,23.1,13.0,22.5,0.0,2.2,20.5,14.6,117,112,0.5
2013-14,2014-01-04,BUC,SUN,SUN,13.57,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,0,4,3,0,-5.7,-18,0.0,0.0,0.0,0.0,0.0,26.5,14.7,0.0,0.0,0.0,66.7,20.9,0,122,-29.0
