SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,JAZ,CLI,JAZ,16.3,0,1,0.0,0,1,0.0,0,0,0.0,2,4,0.5,2,4,6,1,1,0,1,4,2,2.2,0,0.362,0.0,0.0,4.0,14.0,35.3,23.4,7.0,3.1,0.0,26.6,10.2,91,91,-5.4
2000-01,2000-11-01,JAZ,LAK,LAK,21.93,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,0,6,6,0,1,1,1,6,1,0.7,0,0.568,0.0,0.0,0.0,0.0,29.1,17.0,0.0,2.5,3.3,53.2,4.2,53,92,-2.4
2000-01,2000-11-04,JAZ,MAV,MAV,7.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,2,3,0,-2.2,0,0.0,0.0,0.0,0.0,0.0,15.4,8.1,16.2,0.0,0.0,100.0,11.9,25,122,-15.6
2000-01,2000-11-06,JAZ,TIM,JAZ,15.47,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,2,1,0,0,1.3,-4,0.0,0.0,0.0,0.0,0.0,23.4,13.7,0.0,0.0,9.7,100.0,3.1,0,92,3.3
2000-01,2000-11-08,JAZ,CLI,CLI,22.82,4,4,1.0,4,4,1.0,0,0,0.0,0,0,0.0,4,2,6,0,0,3,4,4,8,6.7,-1,1.0,1.0,0.0,0.0,24.9,11.0,17.5,0.0,0.0,10.2,50.0,17.0,87,96,2.0
2000-01,2000-11-10,JAZ,HEA,JAZ,16.52,1,1,1.0,1,1,1.0,0,0,0.0,2,3,0.667,1,3,4,0,0,0,1,3,4,2.7,3,0.862,1.0,0.0,3.0,8.1,27.3,17.1,0.0,0.0,0.0,30.1,10.7,120,108,-4.6
2000-01,2000-11-14,JAZ,SPU,SPU,19.32,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,1,0,2,0,3,0,2.1,2,0.0,0.0,0.0,0.0,0.0,21.1,11.5,8.4,0.0,7.3,0.0,0.0,217,94,2.2
2000-01,2000-11-16,JAZ,MAG,JAZ,10.95,2,2,1.0,2,2,1.0,0,0,0.0,1,2,0.5,0,5,5,0,0,1,0,1,5,5.8,8,0.868,1.0,0.0,1.0,0.0,49.6,27.3,0.0,0.0,7.0,0.0,11.4,166,77,12.3
2000-01,2000-11-18,JAZ,BUL,JAZ,25.97,4,5,0.8,4,5,0.8,0,0,0.0,3,7,0.429,1,6,7,0,0,8,0,1,11,15.2,34,0.681,0.8,0.0,1.4,6.4,20.5,15.6,0.0,0.0,20.2,0.0,14.7,138,62,13.5
2000-01,2000-11-20,JAZ,MAV,JAZ,19.4,1,7,0.143,1,7,0.143,0,0,0.0,4,6,0.667,4,1,5,0,0,0,1,2,6,2.0,-9,0.311,0.143,0.0,0.857,20.2,7.9,15.4,0.0,0.0,0.0,9.4,23.7,82,121,-13.3
2000-01,2000-11-22,JAZ,NUG,JAZ,24.0,4,7,0.571,4,7,0.571,0,0,0.0,1,2,0.5,1,3,4,0,2,1,0,2,9,8.8,22,0.571,0.571,0.0,0.286,5.9,12.8,9.9,0.0,4.4,3.4,0.0,15.2,122,80,2.7
2000-01,2000-11-24,JAZ,NNE,JAZ,17.42,2,2,1.0,2,2,1.0,0,0,0.0,3,4,0.75,2,4,6,0,0,4,1,6,7,8.0,12,0.931,1.0,0.0,2.0,15.3,29.7,22.6,0.0,0.0,18.8,21.0,13.4,150,85,4.8
2000-01,2000-11-26,JAZ,PIS,PIS,15.43,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,1,4,5,0,0,1,0,2,2,2.8,2,0.5,0.5,0.0,0.0,8.6,27.2,19.0,0.0,0.0,5.0,0.0,6.1,117,81,-1.0
2000-01,2000-11-28,JAZ,NNE,NNE,18.78,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,2,2,3,6,2.5,3,0.5,0.5,0.0,0.0,6.6,11.5,9.2,0.0,0.0,7.5,25.0,19.0,75,98,-6.9
2000-01,2000-11-29,JAZ,MAG,MAG,7.58,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,0,2,2,0,1,0,0,1,1,1.8,0,0.568,0.0,0.0,0.0,0.0,33.3,17.4,0.0,6.6,0.0,0.0,5.1,123,83,4.7
2000-01,2000-12-01,JAZ,HEA,HEA,18.07,2,2,1.0,2,2,1.0,0,0,0.0,4,4,1.0,3,2,5,0,0,3,1,3,8,10.0,6,1.064,1.0,0.0,2.0,20.0,20.5,20.2,0.0,0.0,19.5,21.0,12.1,174,101,11.2
2000-01,2000-12-02,JAZ,CHO,CHO,16.82,0,1,0.0,0,1,0.0,0,0,0.0,4,7,0.571,1,2,3,0,0,1,1,2,4,2.3,-2,0.49,0.0,0.0,7.0,8.3,18.2,13.0,0.0,0.0,4.9,19.7,14.4,94,110,-5.6
2000-01,2000-12-05,JAZ,RAP,JAZ,21.62,3,4,0.75,3,4,0.75,0,0,0.0,1,4,0.25,3,1,4,0,0,5,2,5,7,6.1,-9,0.608,0.75,0.0,1.0,19.8,5.2,11.6,0.0,0.0,17.9,25.8,17.4,98,95,-1.4
2000-01,2000-12-07,JAZ,VGR,JAZ,20.27,2,3,0.667,2,3,0.667,0,0,0.0,1,2,0.5,2,7,9,0,0,2,0,3,5,7.0,10,0.644,0.667,0.0,0.667,13.7,48.0,30.9,0.0,0.0,9.1,0.0,9.0,143,89,1.3
2000-01,2000-12-09,JAZ,WAR,JAZ,18.6,2,5,0.4,2,5,0.4,0,0,0.0,4,4,1.0,3,6,9,1,0,1,1,2,8,8.8,9,0.592,0.4,0.0,0.8,21.1,36.1,29.1,6.5,0.0,3.5,12.9,17.0,136,112,-0.8
2000-01,2000-12-11,JAZ,SPU,JAZ,17.78,1,5,0.2,1,5,0.2,0,0,0.0,1,2,0.5,2,3,5,0,2,4,2,3,3,3.4,5,0.255,0.2,0.0,0.4,10.9,25.8,16.7,0.0,6.1,20.9,25.4,19.6,53,84,0.1
