SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2010-10-30,GRI,TIM,GRI,2.72,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0,98,-27.8
2010-11,2010-11-03,GRI,WAR,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-05,GRI,SUN,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-06,GRI,KIN,KIN,0.63,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,108,-6.9
2010-11,2010-11-08,GRI,SUN,GRI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-10,GRI,MAV,GRI,1.05,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,0,0,3,2.7,3,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,300,126,109.7
2010-11,2010-11-13,GRI,CEL,GRI,12.27,3,3,1.0,2,2,1.0,1,1,1.0,0,0,0.0,0,2,2,2,0,0,0,3,7,6.9,3,1.167,1.167,0.333,0.0,0.0,27.0,12.3,27.8,0.0,0.0,0.0,11.7,228,121,12.2
2010-11,2010-11-15,GRI,MAG,MAG,12.37,1,3,0.333,1,1,1.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,4,1,2,-4.1,-14,0.333,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,25.4,26,112,-26.6
2010-11,2010-11-16,GRI,BLA,GRI,16.88,1,8,0.125,1,4,0.25,0,4,0.0,3,5,0.6,0,1,1,2,1,0,2,0,5,-0.3,-1,0.245,0.125,0.5,0.625,0.0,7.1,3.7,17.1,3.1,0.0,16.4,33.1,56,110,-15.4
2010-11,2010-11-19,GRI,WIZ,WIZ,11.52,2,6,0.333,2,3,0.667,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,0.363,0.333,0.5,0.333,0.0,9.7,5.1,15.1,4.8,0.0,0.0,26.3,93,99,-3.1
