SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2018-10-16,THU,WAR,WAR,8.62,2,4,0.5,2,4,0.5,0,0,0.0,0,1,0.0,0,1,1,1,1,0,0,2,4,2.8,5,0.45,0.5,0.0,0.25,0.0,12.1,5.4,25.5,5.4,0.0,0.0,20.4,99,100,1.8
2018-19,2018-10-19,THU,CLI,CLI,8.53,0,1,0.0,0,1,0.0,0,0,0.0,3,4,0.75,2,1,3,0,0,0,0,3,3,2.4,1,0.543,0.0,0.0,4.0,21.2,12.0,16.9,0.0,0.0,0.0,0.0,13.3,142,113,-3.7
2018-19,2018-10-21,THU,KIN,THU,21.08,5,7,0.714,4,5,0.8,1,2,0.5,0,0,0.0,1,0,1,2,2,0,1,3,11,10.0,0,0.786,0.786,0.286,0.0,4.4,0.0,2.3,13.2,4.1,0.0,12.5,13.5,144,120,6.5
2018-19,2018-10-25,THU,CEL,THU,19.57,3,7,0.429,3,7,0.429,0,0,0.0,0,0,0.0,2,3,5,0,1,3,1,1,6,6.3,3,0.429,0.429,0.0,0.0,9.6,14.4,12.0,0.0,2.5,13.6,12.5,16.2,88,91,5.8
2018-19,2018-10-30,THU,CLI,THU,10.82,1,5,0.2,1,4,0.25,0,1,0.0,2,2,1.0,1,2,3,0,1,0,1,3,4,1.0,-4,0.34,0.2,0.2,0.4,10.8,23.4,16.9,0.0,4.0,0.0,14.5,24.8,74,98,-12.9
2018-19,2018-11-01,THU,HOR,HOR,10.77,3,4,0.75,3,3,1.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,1,6,5.4,0,0.75,0.75,0.25,0.0,16.5,0.0,8.9,0.0,0.0,0.0,0.0,15.0,160,116,2.8
2018-19,2018-11-02,THU,WIZ,WIZ,18.72,2,5,0.4,2,4,0.5,0,1,0.0,3,4,0.75,1,3,4,0,1,0,0,0,7,6.5,8,0.518,0.4,0.2,0.8,8.3,20.8,15.1,0.0,2.5,0.0,0.0,15.7,121,110,-5.5
2018-19,2018-11-05,THU,PEL,THU,10.8,2,4,0.5,2,3,0.667,0,1,0.0,0,1,0.0,0,0,0,0,2,0,0,2,4,2.8,2,0.45,0.5,0.25,0.25,0.0,0.0,0.0,0.0,8.4,0.0,0.0,16.6,88,102,-1.9
2018-19,2018-11-07,THU,CAV,CAV,13.15,3,7,0.429,3,5,0.6,0,2,0.0,2,2,1.0,0,3,3,0,1,0,1,4,8,3.6,-8,0.508,0.429,0.286,0.286,0.0,22.3,11.5,0.0,3.7,0.0,11.3,30.2,92,85,-5.5
2018-19,2018-11-08,THU,ROC,THU,11.7,2,4,0.5,2,3,0.667,0,1,0.0,1,2,0.5,2,2,4,0,0,0,1,1,5,3.2,-15,0.512,0.5,0.25,0.5,20.5,16.1,18.0,0.0,0.0,0.0,17.0,22.9,101,95,-4.3
