SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,MAV,BUC,MAV,24.08,2,7,0.286,0,2,0.0,2,5,0.4,1,2,0.5,0,4,4,3,0,1,1,3,7,4.3,-10,0.444,0.429,0.714,0.286,0.0,16.3,7.8,19.4,0.0,3.1,11.3,15.2,101,102,-0.8
2000-01,2000-11-02,MAV,PAC,MAV,22.32,5,9,0.556,4,6,0.667,1,3,0.333,5,6,0.833,0,1,1,3,2,0,1,2,16,13.9,-6,0.687,0.611,0.333,0.667,0.0,6.1,3.0,27.2,5.0,0.0,7.9,28.4,136,98,13.4
2000-01,2000-11-04,MAV,JAZ,MAV,21.25,2,7,0.286,0,3,0.0,2,4,0.5,6,7,0.857,0,3,3,3,0,0,0,3,12,9.3,5,0.595,0.429,0.571,1.0,0.0,19.6,9.3,22.5,0.0,0.0,0.0,22.0,146,125,4.8
2000-01,2000-11-06,MAV,NUG,NUG,24.72,3,6,0.5,1,2,0.5,2,4,0.5,6,7,0.857,0,1,1,8,0,0,1,3,14,14.3,12,0.771,0.667,0.667,1.167,0.0,4.8,2.7,47.6,0.0,0.0,9.9,19.0,158,108,11.3
2000-01,2000-11-08,MAV,VGR,MAV,22.32,0,5,0.0,0,3,0.0,0,2,0.0,2,2,1.0,0,2,2,5,0,0,1,2,2,0.8,-16,0.17,0.0,0.4,0.4,0.0,11.8,4.9,35.2,0.0,0.0,14.5,13.8,57,112,-8.1
2000-01,2000-11-10,MAV,SPU,MAV,20.35,1,5,0.2,1,5,0.2,0,0,0.0,0,0,0.0,0,2,2,0,0,1,1,3,2,-2.0,-1,0.2,0.2,0.0,0.0,0.0,9.6,4.7,0.0,0.0,3.2,16.7,13.9,36,91,-11.6
2000-01,2000-11-12,MAV,KIN,KIN,24.48,1,8,0.125,1,6,0.167,0,2,0.0,0,0,0.0,0,1,1,3,0,0,1,2,2,-2.6,-9,0.125,0.125,0.25,0.0,0.0,6.1,2.4,17.6,0.0,0.0,11.1,17.2,38,123,-15.1
2000-01,2000-11-13,MAV,CLI,CLI,27.67,1,4,0.25,0,2,0.0,1,2,0.5,0,0,0.0,0,2,2,4,0,1,1,4,3,2.1,1,0.375,0.375,0.5,0.0,0.0,7.5,3.8,23.4,0.0,2.6,20.0,8.6,90,92,-2.3
2000-01,2000-11-15,MAV,SUN,SUN,20.95,3,5,0.6,3,3,1.0,0,2,0.0,2,2,1.0,0,2,2,3,3,0,4,2,8,6.6,-11,0.68,0.6,0.4,0.4,0.0,12.4,5.9,31.0,7.1,0.0,40.5,21.3,84,92,5.0
2000-01,2000-11-17,MAV,SUP,SUP,13.98,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,1,1,1,0,4,2,1.1,-10,0.333,0.333,0.333,0.0,0.0,0.0,0.0,9.1,3.7,5.4,0.0,9.6,92,105,-3.2
