SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-11-22,SPU,SUP,SPU,23.73,4,11,0.364,4,9,0.444,0,2,0.0,0,0,0.0,1,4,5,2,0,2,1,2,8,4.8,3,0.364,0.364,0.182,0.0,4.1,16.3,10.2,13.3,0.0,6.1,8.3,21.5,83,89,-2.9
2000-01,2000-11-24,SPU,NUG,NUG,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,-0.1,7,0.0,0.0,0.0,0.0,0.0,27.6,11.1,0.0,0.0,0.0,0.0,0.0,0,125,-11.2
2000-01,2000-11-25,SPU,76E,SPU,6.0,1,2,0.5,1,1,1.0,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,1,2,1.6,-8,0.5,0.5,0.5,0.0,0.0,17.0,8.9,28.6,0.0,0.0,0.0,15.7,113,86,2.3
2000-01,2000-11-29,SPU,KIN,SPU,0.8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,102,-3.5
2000-01,2000-12-01,SPU,LAK,LAK,5.65,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,3,4,2.9,-2,1.0,1.0,0.0,0.0,18.6,0.0,9.6,0.0,0.0,0.0,0.0,15.5,200,126,4.6
2000-01,2000-12-03,SPU,VGR,VGR,4.22,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.1,-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0,105,-21.6
2000-01,2000-12-05,SPU,KIN,KIN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-07,SPU,KNI,SPU,9.23,2,4,0.5,1,3,0.333,1,1,1.0,1,2,0.5,1,1,2,0,0,0,0,0,6,4.6,-2,0.615,0.625,0.25,0.5,14.8,13.7,14.2,0.0,0.0,0.0,0.0,28.0,130,109,9.2
2000-01,2000-12-09,SPU,BUL,SPU,17.93,2,4,0.5,1,2,0.5,1,2,0.5,0,0,0.0,1,3,4,0,0,0,2,0,5,2.6,-2,0.625,0.625,0.5,0.0,7.4,17.8,13.2,0.0,0.0,0.0,33.3,15.7,83,96,-5.1
2000-01,2000-12-11,SPU,JAZ,JAZ,0.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,106,0.3
2000-01,2000-12-13,SPU,SUN,SUN,1.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,123,-3.9
2000-01,2000-12-14,SPU,NUG,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-16,SPU,SUN,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-19,SPU,ROC,ROC,0.6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,105,-4.7
2000-01,2000-12-20,SPU,CAV,SPU,1.93,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,0,2,1.7,0,1.0,1.0,0.0,0.0,49.0,52.2,50.5,0.0,0.0,0.0,50.0,44.6,84,82,8.4
2000-01,2000-12-22,SPU,WAR,SPU,2.35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,0,0,1.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,28.6,0.0,0.0,0,35,40.4
2000-01,2000-12-23,SPU,CHO,CHO,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-26,SPU,ROC,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-28,SPU,BUL,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2000-01,2000-12-30,SPU,PAC,PAC,1.43,0,0,0.0,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,1,1.3,-3,0.568,0.0,0.0,0.0,100.0,0.0,51.6,0.0,0.0,0.0,0.0,41.9,147,98,16.5
2000-01,2001-01-02,SPU,HEA,SPU,0.03,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,103,-2.4
2000-01,2001-01-06,SPU,PIS,SPU,6.97,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,0.3,-4,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,80,115,-10.4
