SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2014-15,2015-03-10,LAK,PIS,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2014-15,2015-03-12,LAK,KNI,LAK,17.63,3,6,0.5,3,4,0.75,0,2,0.0,1,4,0.25,0,2,2,1,0,0,1,1,7,2.7,-2,0.451,0.5,0.333,0.667,0.0,13.6,6.5,9.1,0.0,0.0,11.4,21.2,88,115,-7.8
2014-15,2015-03-15,LAK,HAW,LAK,22.33,4,5,0.8,3,3,1.0,1,2,0.5,0,0,0.0,0,1,1,0,2,0,1,2,9,7.6,6,0.9,0.9,0.4,0.0,0.0,5.1,2.4,0.0,4.8,0.0,16.7,11.5,137,98,5.7
2014-15,2015-03-16,LAK,WAR,WAR,20.45,2,4,0.5,2,3,0.667,0,1,0.0,1,1,1.0,0,0,0,1,1,0,2,0,5,2.7,-6,0.563,0.5,0.25,0.25,0.0,0.0,0.0,6.8,2.4,0.0,31.1,13.5,82,113,-6.8
2014-15,2015-03-19,LAK,JAZ,LAK,19.58,2,4,0.5,0,2,0.0,2,2,1.0,1,2,0.5,0,2,2,1,1,0,2,2,7,4.1,-4,0.717,0.75,0.5,0.5,0.0,13.6,6.2,9.4,2.8,0.0,29.1,17.1,93,92,1.5
2014-15,2015-03-22,LAK,76E,LAK,24.47,2,6,0.333,1,4,0.25,1,2,0.5,5,6,0.833,1,0,1,4,0,1,1,1,10,9.0,7,0.579,0.417,0.333,1.0,5.0,0.0,2.2,22.4,0.0,3.2,10.4,18.2,131,107,3.5
2014-15,2015-03-24,LAK,THU,THU,27.3,3,6,0.5,3,5,0.6,0,1,0.0,1,1,1.0,0,0,0,1,0,0,0,1,7,4.3,4,0.543,0.5,0.167,0.167,0.0,0.0,0.0,4.5,0.0,0.0,0.0,10.6,117,141,-10.0
2014-15,2015-03-25,LAK,TIM,TIM,32.22,3,4,0.75,0,1,0.0,3,3,1.0,0,0,0.0,0,4,4,3,1,0,1,1,9,10.3,-10,1.125,1.125,0.75,0.0,0.0,15.3,7.5,14.5,1.7,0.0,20.0,7.1,170,103,5.2
2014-15,2015-03-27,LAK,RAP,RAP,16.47,2,5,0.4,2,3,0.667,0,2,0.0,3,4,0.75,0,1,1,0,0,0,3,0,7,1.2,-8,0.518,0.4,0.4,0.8,0.0,7.7,3.4,0.0,0.0,0.0,30.7,26.2,75,115,-11.1
2014-15,2015-03-29,LAK,NET,NET,30.88,4,14,0.286,3,9,0.333,1,5,0.2,2,2,1.0,0,4,4,3,4,1,2,0,11,8.8,1,0.37,0.321,0.357,0.143,0.0,15.5,7.2,13.0,6.5,2.6,11.8,24.6,75,100,-1.7
2014-15,2015-03-30,LAK,76E,76E,33.93,7,10,0.7,4,6,0.667,3,4,0.75,5,5,1.0,0,0,0,3,1,0,1,2,22,19.1,9,0.902,0.85,0.4,0.5,0.0,0.0,0.0,16.1,1.5,0.0,7.6,18.4,169,118,7.1
2014-15,2015-04-01,LAK,PEL,LAK,30.18,2,8,0.25,1,6,0.167,1,2,0.5,1,2,0.5,1,0,1,1,0,0,1,1,6,0.8,-12,0.338,0.313,0.25,0.25,3.7,0.0,2.1,4.7,0.0,0.0,10.1,16.2,76,143,-14.1
2014-15,2015-04-03,LAK,BLA,LAK,29.85,2,9,0.222,1,6,0.167,1,3,0.333,6,9,0.667,0,3,3,0,0,0,1,2,11,3.4,-33,0.424,0.278,0.333,1.0,0.0,11.2,5.0,0.0,0.0,0.0,7.2,22.3,82,119,-9.5
2014-15,2015-04-05,LAK,CLI,LAK,30.58,4,9,0.444,3,5,0.6,1,4,0.25,1,2,0.5,0,1,1,1,0,0,2,2,10,3.1,-21,0.506,0.5,0.444,0.222,0.0,4.6,1.9,6.9,0.0,0.0,16.8,18.3,88,129,-8.0
2014-15,2015-04-07,LAK,CLI,CLI,24.03,2,5,0.4,1,2,0.5,1,3,0.333,2,4,0.5,0,2,2,3,0,0,4,3,7,1.0,-1,0.518,0.5,0.6,0.8,0.0,9.7,4.5,19.3,0.0,0.0,37.2,20.1,72,112,-9.4
2014-15,2015-04-08,LAK,NUG,NUG,34.22,3,12,0.25,2,8,0.25,1,4,0.25,4,5,0.8,1,3,4,0,0,0,1,1,11,3.6,-25,0.387,0.292,0.333,0.417,3.3,10.3,6.7,0.0,0.0,0.0,6.6,20.4,82,132,-11.5
2014-15,2015-04-10,LAK,TIM,LAK,37.82,6,14,0.429,6,10,0.6,0,4,0.0,8,12,0.667,0,3,3,7,0,0,2,4,20,13.2,10,0.519,0.429,0.286,0.857,0.0,9.3,4.5,26.6,0.0,0.0,9.4,25.6,114,114,-6.1
2014-15,2015-04-12,LAK,MAV,LAK,42.13,4,13,0.308,2,7,0.286,2,6,0.333,8,9,0.889,0,2,2,2,0,0,1,2,18,10.3,-14,0.531,0.385,0.462,0.692,0.0,6.0,2.9,7.7,0.0,0.0,5.6,19.3,108,127,-6.1
2014-15,2015-04-13,LAK,KIN,KIN,46.28,6,17,0.353,5,11,0.455,1,6,0.167,5,6,0.833,0,2,2,7,0,0,1,5,18,10.6,-4,0.458,0.382,0.353,0.353,0.0,5.6,2.3,21.5,0.0,0.0,4.8,19.0,110,117,-4.3
2014-15,2015-04-15,LAK,KIN,LAK,48.0,9,19,0.474,5,13,0.385,4,6,0.667,10,11,0.909,0,3,3,2,2,0,5,3,32,20.0,-23,0.671,0.579,0.316,0.579,0.0,8.3,3.4,7.4,2.0,0.0,17.3,24.2,116,122,-0.8
