SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2022-23,2022-10-19,BLA,KIN,KIN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-10-21,BLA,SUN,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-10-23,BLA,LAK,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-10-24,BLA,NUG,BLA,4.12,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,0,2,3.0,3,1.0,1.0,0.0,0.0,0.0,50.7,28.1,32.1,0.0,0.0,0.0,11.1,210,112,18.5
2022-23,2022-10-26,BLA,HEA,BLA,7.8,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,0,2,4.4,0,1.0,1.0,0.0,0.0,14.7,29.3,22.0,44.2,0.0,0.0,0.0,5.7,216,125,13.1
2022-23,2022-10-28,BLA,ROC,BLA,0.97,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0,122,-56.7
2022-23,2022-11-02,BLA,GRI,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-04,BLA,SUN,SUN,9.3,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,1,2,3,1,1,0,0,1,2,2.9,4,0.333,0.333,0.0,0.0,13.9,23.5,19.1,13.6,5.5,0.0,0.0,14.3,106,100,0.2
2022-23,2022-11-05,BLA,SUN,SUN,15.88,1,2,0.5,1,2,0.5,0,0,0.0,1,2,0.5,0,3,3,1,0,1,0,2,3,3.1,-2,0.521,0.5,0.0,1.0,0.0,21.1,10.8,11.2,0.0,5.8,0.0,8.2,116,106,-1.8
2022-23,2022-11-07,BLA,HEA,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-09,BLA,HOR,HOR,17.57,2,3,0.667,1,1,1.0,1,2,0.5,0,0,0.0,1,2,3,2,0,0,1,3,5,4.2,22,0.833,0.833,0.667,0.0,9.1,9.6,9.4,15.8,0.0,0.0,25.0,10.6,136,109,0.7
2022-23,2022-11-10,BLA,PEL,PEL,8.18,2,4,0.5,2,2,1.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,1,0,4,1.6,-5,0.5,0.5,0.5,0.0,0.0,26.7,12.9,0.0,0.0,0.0,20.0,28.1,72,103,-11.2
2022-23,2022-11-12,BLA,MAV,MAV,8.02,1,2,0.5,1,2,0.5,0,0,0.0,3,4,0.75,2,2,4,1,0,0,0,0,5,6.3,-2,0.665,0.5,0.0,2.0,26.6,30.7,28.5,20.0,0.0,0.0,0.0,21.0,165,126,11.2
2022-23,2022-11-15,BLA,SPU,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-17,BLA,NET,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-19,BLA,JAZ,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-21,BLA,BUC,BUC,1.38,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,0.0,0.0,218,125,25.8
2022-23,2022-11-23,BLA,CAV,CAV,2.7,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0,140,-27.6
2022-23,2022-11-25,BLA,KNI,KNI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-27,BLA,NET,NET,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-29,BLA,CLI,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2022-23,2022-11-30,BLA,LAK,LAK,14.48,1,4,0.25,1,3,0.333,0,1,0.0,0,0,0.0,1,4,5,0,0,0,1,4,2,-1.1,-7,0.25,0.25,0.25,0.0,7.1,28.8,17.8,0.0,0.0,0.0,20.0,15.2,56,129,-19.5
