SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-10-25,HEA,PIS,HEA,13.18,3,3,1.0,3,3,1.0,0,0,0.0,0,0,0.0,0,2,2,2,2,0,1,2,6,7.3,4,1.0,1.0,0.0,0.0,0.0,14.9,7.0,27.9,7.8,0.0,25.0,13.2,142,96,10.3
2023-24,2023-10-27,HEA,CEL,CEL,14.32,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,2,0,0,1,2,0,-1.2,-8,0.0,0.0,0.5,0.0,0.0,13.4,6.7,17.6,0.0,0.0,33.3,9.1,39,124,-13.9
2023-24,2023-10-28,HEA,TIM,TIM,18.23,3,4,0.75,2,2,1.0,1,2,0.5,0,0,0.0,0,3,3,1,0,0,3,0,7,4.0,5,0.875,0.875,0.5,0.0,0.0,19.7,8.9,9.7,0.0,0.0,42.9,17.2,82,114,-3.6
2023-24,2023-10-30,HEA,BUC,BUC,22.7,3,9,0.333,1,4,0.25,2,5,0.4,0,0,0.0,1,1,2,3,1,1,0,2,8,6.9,-7,0.444,0.444,0.556,0.0,5.2,5.0,5.1,18.3,2.1,4.2,0.0,17.5,108,118,0.6
2023-24,2023-11-01,HEA,NET,HEA,19.13,1,9,0.111,1,3,0.333,0,6,0.0,0,0,0.0,2,2,4,1,2,1,2,4,2,-2.1,7,0.111,0.111,0.667,0.0,9.8,11.9,10.8,6.9,4.9,5.5,18.2,24.0,37,98,-16.0
2023-24,2023-11-03,HEA,WIZ,HEA,21.6,4,5,0.8,4,4,1.0,0,1,0.0,1,1,1.0,3,2,5,3,1,0,0,1,9,12.5,3,0.827,0.8,0.2,0.2,20.2,13.1,16.6,17.0,2.2,0.0,0.0,11.5,187,113,7.2
2023-24,2023-11-06,HEA,LAK,HEA,18.3,4,7,0.571,3,3,1.0,1,4,0.25,0,0,0.0,1,1,2,1,1,0,1,1,9,7.0,0,0.643,0.643,0.571,0.0,6.0,6.9,6.4,8.6,2.7,0.0,12.5,18.7,113,110,0.3
2023-24,2023-11-08,HEA,GRI,GRI,21.13,4,5,0.8,3,4,0.75,1,1,1.0,2,3,0.667,0,3,3,2,2,0,0,5,11,11.0,-6,0.87,0.9,0.2,0.6,0.0,14.2,8.3,17.5,4.7,0.0,0.0,13.0,180,100,9.2
2023-24,2023-11-11,HEA,HAW,HAW,38.47,8,17,0.471,6,10,0.6,2,7,0.286,2,2,1.0,1,2,3,4,1,0,3,3,20,12.2,2,0.559,0.529,0.412,0.118,3.1,5.3,4.3,16.1,1.3,0.0,14.4,23.7,104,116,-3.9
2023-24,2023-11-12,HEA,SPU,SPU,32.27,4,10,0.4,3,8,0.375,1,2,0.5,2,2,1.0,1,5,6,3,3,1,1,1,11,12.2,10,0.506,0.45,0.2,0.2,3.0,18.1,9.8,13.5,4.6,3.2,8.4,16.6,108,108,0.8
