SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2020-12-23,SUN,MAV,SUN,16.22,2,3,0.667,2,3,0.667,0,0,0.0,0,2,0.0,1,2,3,1,0,1,1,1,4,3.2,6,0.515,0.667,0.0,0.667,7.6,12.3,10.2,9.2,0.0,6.2,20.5,13.3,93,103,-0.3
2020-21,2020-12-26,SUN,KIN,KIN,4.08,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,2,0,2,0,0,0,0,0,0,0.0,3,0.0,0.0,0.5,0.0,46.1,0.0,24.5,0.0,0.0,0.0,0.0,20.5,61,114,-19.6
2020-21,2020-12-27,SUN,KIN,KIN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2020-12-29,SUN,PEL,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-06,SUN,RAP,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-22,SUN,NUG,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-23,SUN,NUG,SUN,8.77,2,3,0.667,1,1,1.0,1,2,0.5,0,0,0.0,1,1,2,0,0,1,0,2,5,4.6,-5,0.833,0.833,0.667,0.0,11.0,12.0,11.5,0.0,0.0,10.8,0.0,16.7,157,105,10.7
2020-21,2021-01-27,SUN,THU,SUN,5.1,1,4,0.25,0,2,0.0,1,2,0.5,0,0,0.0,1,0,1,0,0,0,0,0,3,1.3,-3,0.375,0.375,0.5,0.0,18.1,0.0,9.7,0.0,0.0,0.0,0.0,33.2,87,109,-4.6
2020-21,2021-01-28,SUN,WAR,SUN,5.07,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,-4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,95,101,-6.2
2020-21,2021-01-30,SUN,MAV,MAV,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
