SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-10-20,MAG,SPU,SPU,30.28,3,14,0.214,2,8,0.25,1,6,0.167,3,3,1.0,0,1,1,1,1,0,3,3,10,-0.8,-13,0.326,0.25,0.429,0.214,0.0,3.6,1.8,5.2,1.6,0.0,16.4,25.9,65,131,-16.9
2021-22,2021-10-22,MAG,KNI,MAG,31.72,4,17,0.235,4,11,0.364,0,6,0.0,6,6,1.0,4,3,7,8,2,0,2,2,14,12.2,-4,0.356,0.235,0.353,0.353,14.8,10.6,12.6,44.9,3.1,0.0,9.2,30.4,99,121,-2.9
2021-22,2021-10-24,MAG,KNI,KNI,24.13,3,9,0.333,2,6,0.333,1,3,0.333,4,5,0.8,0,1,1,3,1,0,4,3,11,3.7,7,0.491,0.389,0.333,0.556,0.0,3.2,1.8,19.9,1.9,0.0,26.3,26.1,82,105,-7.8
2021-22,2021-10-25,MAG,HEA,HEA,27.85,5,12,0.417,1,4,0.25,4,8,0.5,1,2,0.5,0,4,4,2,1,0,5,5,15,4.8,-11,0.582,0.583,0.667,0.167,0.0,16.4,8.5,14.1,1.8,0.0,28.0,29.2,80,114,-5.7
2021-22,2021-10-27,MAG,HOR,MAG,35.9,3,11,0.273,3,6,0.5,0,5,0.0,2,4,0.5,0,5,5,4,1,0,4,3,8,0.8,4,0.313,0.273,0.455,0.364,0.0,19.1,9.2,13.7,1.4,0.0,23.9,20.1,64,122,-14.2
2021-22,2021-10-29,MAG,RAP,RAP,29.8,6,14,0.429,2,6,0.333,4,8,0.5,5,5,1.0,0,2,2,4,0,1,3,5,21,12.7,7,0.648,0.571,0.571,0.357,0.0,7.5,3.7,20.6,0.0,2.9,15.6,27.9,121,118,2.1
2021-22,2021-10-30,MAG,PIS,PIS,26.3,3,13,0.231,3,9,0.333,0,4,0.0,4,4,1.0,2,3,5,6,2,1,2,1,10,8.9,2,0.339,0.231,0.308,0.308,8.5,10.7,9.7,33.7,3.8,4.0,11.9,27.7,93,110,-2.2
2021-22,2021-11-01,MAG,TIM,TIM,32.43,5,14,0.357,4,8,0.5,1,6,0.167,4,4,1.0,0,4,4,1,0,1,5,3,15,3.6,4,0.476,0.393,0.429,0.286,0.0,10.8,6.0,5.0,0.0,3.2,24.1,27.6,78,104,-12.6
2021-22,2021-11-03,MAG,CEL,MAG,24.5,4,14,0.286,3,9,0.333,1,5,0.2,1,3,0.333,2,1,3,2,1,0,2,2,10,2.3,-10,0.326,0.321,0.357,0.214,8.0,4.2,6.1,20.4,2.1,0.0,11.5,31.8,68,102,-4.5
2021-22,2021-11-05,MAG,SPU,MAG,27.52,4,11,0.364,3,5,0.6,1,6,0.167,3,3,1.0,0,1,1,3,0,2,5,3,12,3.5,7,0.487,0.409,0.545,0.273,0.0,4.3,1.9,18.7,0.0,4.9,28.9,27.1,74,103,-9.2
2021-22,2021-11-07,MAG,JAZ,MAG,25.28,3,10,0.3,3,8,0.375,0,2,0.0,0,0,0.0,0,2,2,5,0,0,4,2,6,-0.5,-2,0.3,0.3,0.2,0.0,0.0,7.9,4.3,25.4,0.0,0.0,28.6,25.4,62,111,-16.8
2021-22,2021-11-10,MAG,NET,MAG,25.47,2,8,0.25,2,4,0.5,0,4,0.0,3,4,0.75,1,4,5,4,0,0,3,3,7,2.3,-10,0.359,0.25,0.5,0.5,3.6,16.8,9.6,24.1,0.0,0.0,23.5,20.1,72,123,-11.5
