SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2019-20,2019-10-25,JAZ,LAK,LAK,4.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,1,0,1,0,0,0,2.3,7,0.0,0.0,0.0,0.0,0.0,64.5,37.8,35.6,0.0,17.2,0.0,0.0,228,74,21.4
2019-20,2019-11-03,JAZ,CLI,CLI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-11-06,JAZ,76E,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-11-08,JAZ,BUC,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-12-04,JAZ,LAK,JAZ,3.85,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,1,0,-0.4,-6,0.0,0.0,0.0,0.0,0.0,31.2,14.5,0.0,0.0,20.4,100.0,11.4,0,104,-9.6
2019-20,2019-12-19,JAZ,HAW,HAW,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-12-21,JAZ,HOR,HOR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-12-23,JAZ,HEA,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-01-29,JAZ,SPU,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-01-30,JAZ,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-02-01,JAZ,BLA,BLA,2.65,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.3,4,0.0,0.0,0.0,0.0,0.0,45.3,20.6,0.0,0.0,0.0,0.0,0.0,0,125,-5.7
2019-20,2020-02-07,JAZ,BLA,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-03-02,JAZ,CAV,CAV,0.68,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,67.4,0,130,-78.5
2019-20,2020-03-04,JAZ,KNI,KNI,1.58,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,118,-17.8
2019-20,2020-03-06,JAZ,CEL,CEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-03-07,JAZ,PIS,PIS,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-07-30,JAZ,PEL,PEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-08-03,JAZ,LAK,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-08-07,JAZ,SPU,SPU,23.57,3,8,0.375,1,4,0.25,2,4,0.5,0,0,0.0,1,5,6,3,2,1,2,2,8,7.8,-5,0.5,0.5,0.5,0.0,4.2,21.7,12.7,19.2,3.9,3.0,20.0,17.5,94,106,1.4
2019-20,2020-08-08,JAZ,NUG,NUG,7.32,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,0.6,-2,0.0,0.0,0.0,0.0,0.0,33.0,15.4,0.0,0.0,0.0,0.0,0.0,0,114,-2.8
2019-20,2020-08-10,JAZ,MAV,JAZ,22.73,1,7,0.143,0,1,0.0,1,6,0.167,0,0,0.0,0,3,3,1,0,1,3,1,3,-2.6,-26,0.214,0.214,0.857,0.0,0.0,20.4,8.8,5.7,0.0,3.5,30.0,20.5,39,133,-21.7
2019-20,2020-08-13,JAZ,SPU,JAZ,28.98,6,13,0.462,6,10,0.6,0,3,0.0,1,2,0.5,1,3,4,6,1,1,0,2,13,12.6,-4,0.468,0.462,0.231,0.154,3.5,12.4,7.6,26.8,1.7,2.8,0.0,20.3,120,113,2.6
2019-20,2020-08-19,JAZ,NUG,NUG,4.15,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,2,0,2,0,0,0,0,1,0,-1.1,-7,0.0,0.0,0.667,0.0,59.3,0.0,30.0,0.0,0.0,0.0,0.0,34.5,64,133,-46.1
2019-20,2020-08-21,JAZ,NUG,JAZ,8.73,0,2,0.0,0,1,0.0,0,1,0.0,1,2,0.5,1,1,2,2,0,1,1,3,1,0.1,-2,0.174,0.0,0.5,1.0,13.1,10.4,11.6,25.6,0.0,11.0,25.8,20.2,78,97,-10.1
2019-20,2020-08-23,JAZ,NUG,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-08-25,JAZ,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-08-30,JAZ,NUG,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-09-01,JAZ,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-12,JAZ,CAV,CAV,5.65,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,1,0,2,0,-0.1,-1,0.0,0.0,1.0,0.0,22.4,0.0,9.7,0.0,0.0,14.4,0.0,8.1,75,94,-10.5
2020-21,2021-01-17,JAZ,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-19,JAZ,PEL,JAZ,1.82,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,114,-5.9
2020-21,2021-01-27,JAZ,MAV,JAZ,1.57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116,-7.1
2020-21,2021-01-29,JAZ,MAV,JAZ,2.72,1,2,0.5,0,1,0.0,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,1,3,1.9,-5,0.75,0.75,0.5,0.0,0.0,37.6,18.4,0.0,0.0,0.0,0.0,31.2,144,103,13.1
2020-21,2021-01-31,JAZ,NUG,NUG,3.08,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.1,7,0.0,0.0,0.5,0.0,0.0,44.5,20.2,0.0,0.0,0.0,0.0,29.3,0,135,-35.0
2020-21,2021-02-02,JAZ,PIS,JAZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-02-04,JAZ,HAW,HAW,3.27,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0.0,0,0,0,0,0,0,1,1,6,4.0,-2,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,39.8,101,110,41.6
2020-21,2021-02-05,JAZ,HOR,HOR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
