SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2019-20,2019-11-06,TIM,GRI,GRI,1.12,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,136,-12.8
2019-20,2019-11-08,TIM,WAR,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-11-23,TIM,SUN,TIM,13.62,1,4,0.25,1,1,1.0,0,3,0.0,1,1,1.0,0,1,1,3,0,0,1,1,3,1.6,-8,0.338,0.25,0.75,0.25,0.0,5.9,3.1,30.7,0.0,0.0,18.4,17.0,80,107,-7.6
2019-20,2019-11-25,TIM,HAW,HAW,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-12-06,TIM,THU,THU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2019-12-20,TIM,NUG,NUG,14.7,3,3,1.0,3,3,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,6,5.1,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,200,123,-0.2
2019-20,2019-12-21,TIM,BLA,BLA,13.7,2,5,0.4,2,2,1.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,1,4,0.9,-2,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,82,122,-11.8
2019-20,2019-12-23,TIM,WAR,WAR,16.15,1,4,0.25,1,1,1.0,0,3,0.0,4,4,1.0,0,1,1,2,0,0,0,0,6,5.3,7,0.521,0.25,0.75,1.0,0.0,6.8,3.1,18.6,0.0,0.0,0.0,14.8,125,118,-2.9
2019-20,2020-01-01,TIM,BUC,BUC,15.65,4,11,0.364,2,4,0.5,2,7,0.286,2,3,0.667,1,1,2,0,0,1,2,1,12,4.8,-6,0.487,0.455,0.636,0.273,5.7,5.7,5.7,0.0,0.0,5.3,14.0,38.4,83,103,-2.4
2019-20,2020-01-02,TIM,WAR,TIM,5.75,0,4,0.0,0,3,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,0,-1.4,1,0.0,0.0,0.25,0.0,15.8,0.0,8.8,22.0,0.0,0.0,0.0,29.2,33,98,-23.0
2019-20,2020-02-05,TIM,HAW,TIM,10.13,1,3,0.333,1,2,0.5,0,1,0.0,2,2,1.0,0,2,2,2,0,0,0,3,4,3.1,-6,0.515,0.333,0.333,0.667,0.0,27.9,12.3,23.5,0.0,0.0,0.0,15.4,126,125,-5.7
2019-20,2020-02-08,TIM,CLI,TIM,11.02,2,5,0.4,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,3,0,0,0,0,5,5.0,7,0.5,0.5,0.4,0.0,0.0,19.4,9.8,30.2,0.0,0.0,0.0,19.0,130,114,-0.1
2019-20,2020-02-10,TIM,RAP,RAP,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-02-12,TIM,HOR,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-02-23,TIM,NUG,NUG,15.57,2,5,0.4,2,2,1.0,0,3,0.0,2,2,1.0,1,0,1,2,0,0,0,0,6,5.4,9,0.51,0.4,0.6,0.4,7.3,0.0,4.1,18.2,0.0,0.0,0.0,15.4,128,128,-2.3
2019-20,2020-02-24,TIM,MAV,MAV,4.68,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,-0.4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,8.5,54,133,-13.3
2019-20,2020-02-26,TIM,HEA,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-02-28,TIM,MAG,MAG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-03-01,TIM,MAV,TIM,2.68,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.1,-1,0.0,0.0,0.5,0.0,0.0,36.5,15.8,0.0,0.0,0.0,0.0,30.2,0,106,-28.1
2019-20,2020-03-03,TIM,PEL,PEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-03-04,TIM,BUL,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2019-20,2020-03-06,TIM,MAG,TIM,12.0,3,4,0.75,3,3,1.0,0,1,0.0,5,5,1.0,0,0,0,2,1,0,0,2,11,11.0,5,0.887,0.75,0.25,1.25,0.0,0.0,0.0,23.5,4.0,0.0,0.0,21.6,190,127,14.0
2019-20,2020-03-08,TIM,PEL,TIM,9.38,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,2,2,0,0,2,0,1.9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,8.9,0.0,0.0,4.1,75,94,2.5
2019-20,2020-03-10,TIM,ROC,ROC,5.03,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,0.6,-6,0.0,0.0,1.0,0.0,0.0,50.2,25.8,23.8,0.0,0.0,0.0,8.6,62,117,-6.1
2020-21,2021-01-05,TIM,NUG,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-07,TIM,BLA,BLA,7.78,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,1,0,1,1,0,0,0,0,2,1.7,6,0.333,0.333,0.333,0.0,11.6,0.0,6.7,18.8,0.0,0.0,0.0,15.0,104,135,-7.9
2020-21,2021-01-09,TIM,SPU,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-10,TIM,SPU,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-13,TIM,GRI,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-18,TIM,HAW,HAW,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-20,TIM,MAG,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-22,TIM,HAW,TIM,12.12,4,4,1.0,3,3,1.0,1,1,1.0,0,0,0.0,1,1,2,0,1,0,1,2,9,8.0,2,1.125,1.125,0.25,0.0,7.6,9.2,8.3,0.0,4.0,0.0,20.0,17.8,150,119,8.4
2020-21,2021-01-23,TIM,PEL,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-25,TIM,WAR,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-27,TIM,WAR,WAR,15.93,3,7,0.429,1,1,1.0,2,6,0.333,4,4,1.0,0,2,2,3,0,0,1,1,12,9.6,6,0.685,0.571,0.857,0.571,0.0,15.4,7.1,32.3,0.0,0.0,10.2,24.8,137,125,5.8
2020-21,2021-01-29,TIM,76E,TIM,23.4,3,9,0.333,2,4,0.5,1,5,0.2,3,4,0.75,0,1,1,1,0,1,3,4,10,1.6,-7,0.465,0.389,0.556,0.444,0.0,4.5,2.3,7.1,0.0,2.9,21.8,26.2,74,121,-9.5
2020-21,2021-01-31,TIM,CAV,TIM,19.48,6,13,0.462,5,7,0.714,1,6,0.167,0,0,0.0,0,0,0,1,1,0,1,3,13,5.8,3,0.5,0.5,0.462,0.0,0.0,0.0,0.0,9.4,2.5,0.0,7.1,32.7,89,110,-8.4
2020-21,2021-02-01,TIM,CAV,CAV,17.1,5,13,0.385,4,10,0.4,1,3,0.333,1,2,0.5,3,1,4,1,0,0,0,2,12,6.8,2,0.432,0.423,0.231,0.154,16.2,6.2,11.6,10.8,0.0,0.0,0.0,33.9,105,113,0.7
2020-21,2021-02-03,TIM,SPU,SPU,16.43,3,9,0.333,1,6,0.167,2,3,0.667,2,2,1.0,1,0,1,0,1,0,0,0,10,6.6,2,0.506,0.444,0.333,0.222,6.2,0.0,3.1,0.0,2.9,0.0,0.0,26.5,110,112,-0.3
2020-21,2021-02-05,TIM,THU,THU,15.93,6,12,0.5,4,7,0.571,2,5,0.4,0,0,0.0,1,1,2,0,0,0,0,1,14,8.6,16,0.583,0.583,0.417,0.0,6.5,7.3,6.9,0.0,0.0,0.0,0.0,32.0,114,111,1.8
2020-21,2021-02-06,TIM,THU,THU,22.35,6,8,0.75,3,3,1.0,3,5,0.6,0,0,0.0,0,2,2,0,0,0,1,1,15,11.0,2,0.938,0.938,0.625,0.0,0.0,12.3,5.2,0.0,0.0,0.0,11.1,16.7,150,125,2.1
2020-21,2021-02-08,TIM,MAV,MAV,20.85,6,9,0.667,5,7,0.714,1,2,0.5,5,6,0.833,0,5,5,1,1,1,1,1,18,16.2,-13,0.773,0.722,0.222,0.667,0.0,26.2,12.9,8.2,2.2,4.3,7.9,25.9,140,118,8.1
2020-21,2021-02-10,TIM,CLI,TIM,17.5,3,10,0.3,1,7,0.143,2,3,0.667,1,1,1.0,0,2,2,0,0,1,1,2,9,2.7,-2,0.431,0.4,0.3,0.1,0.0,14.4,6.0,0.0,0.0,4.6,8.7,26.5,83,124,-9.4
2020-21,2021-02-12,TIM,HOR,HOR,17.7,1,6,0.167,1,2,0.5,0,4,0.0,0,2,0.0,0,2,2,1,0,0,0,1,2,-1.7,-3,0.145,0.167,0.667,0.333,0.0,12.6,5.7,6.4,0.0,0.0,0.0,16.5,40,122,-18.8
2020-21,2021-02-14,TIM,RAP,RAP,13.68,4,6,0.667,3,3,1.0,1,3,0.333,2,3,0.667,0,0,0,2,1,1,0,5,11,9.1,3,0.751,0.75,0.5,0.5,0.0,0.0,0.0,24.2,3.5,6.0,0.0,23.7,155,108,10.3
2020-21,2021-02-16,TIM,LAK,TIM,9.92,0,5,0.0,0,4,0.0,0,1,0.0,2,2,1.0,1,1,2,1,1,0,0,1,2,0.8,-1,0.17,0.0,0.2,0.4,11.3,14.7,12.7,12.4,5.0,0.0,0.0,25.0,63,111,-11.4
2020-21,2021-02-17,TIM,PAC,TIM,6.03,2,2,1.0,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0,2,0,0,0,3,6,5.6,2,1.042,1.0,0.0,1.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,19.6,222,130,14.4
2020-21,2021-02-19,TIM,RAP,TIM,8.38,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-1.8,-7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0,108,-19.6
2020-21,2021-02-21,TIM,KNI,KNI,11.23,0,6,0.0,0,4,0.0,0,2,0.0,0,0,0.0,0,0,0,0,1,0,0,1,0,-3.6,-11,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,24.1,0,106,-24.1
2020-21,2021-02-23,TIM,BUC,BUC,22.18,5,10,0.5,2,4,0.5,3,6,0.5,0,0,0.0,2,2,4,1,1,0,1,2,13,9.9,-17,0.65,0.65,0.6,0.0,8.7,9.6,9.1,6.9,2.0,0.0,9.1,20.5,113,131,-0.3
2020-21,2021-02-24,TIM,BUL,BUL,19.28,5,10,0.5,4,6,0.667,1,4,0.25,1,1,1.0,0,3,3,0,0,0,0,0,12,7.9,-7,0.575,0.55,0.4,0.1,0.0,23.6,9.8,0.0,0.0,0.0,0.0,22.0,118,123,-1.9
2020-21,2021-02-27,TIM,WIZ,WIZ,25.77,5,9,0.556,2,5,0.4,3,4,0.75,2,2,1.0,0,5,5,4,1,0,0,4,15,14.4,-15,0.759,0.722,0.444,0.222,0.0,17.6,8.7,23.5,1.7,0.0,0.0,14.6,162,115,7.1
2020-21,2021-02-28,TIM,SUN,TIM,20.95,1,8,0.125,1,6,0.167,0,2,0.0,4,4,1.0,0,3,3,1,1,0,1,2,6,1.6,-9,0.307,0.125,0.25,0.5,0.0,16.4,7.6,7.0,2.2,0.0,9.3,20.8,66,114,-11.0
2020-21,2021-03-03,TIM,HOR,TIM,23.08,2,9,0.222,1,4,0.25,1,5,0.2,2,2,1.0,0,1,1,3,0,0,1,3,7,1.7,-16,0.354,0.278,0.556,0.222,0.0,4.5,2.1,17.9,0.0,0.0,9.2,18.4,81,131,-11.3
2020-21,2021-03-11,TIM,PEL,PEL,28.18,11,13,0.846,5,6,0.833,6,7,0.857,0,0,0.0,0,5,5,6,1,1,2,1,28,28.3,25,1.077,1.077,0.538,0.0,0.0,17.0,9.6,31.7,1.6,2.5,13.3,22.6,180,101,22.9
2020-21,2021-03-13,TIM,BLA,TIM,27.97,7,14,0.5,4,8,0.5,3,6,0.5,0,0,0.0,2,3,5,1,0,0,3,3,17,8.8,0,0.607,0.607,0.429,0.0,7.5,11.7,9.5,5.4,0.0,0.0,17.6,24.8,111,131,-5.8
2020-21,2021-03-14,TIM,BLA,TIM,24.88,4,9,0.444,0,1,0.0,4,8,0.5,2,2,1.0,1,3,4,2,1,0,0,2,14,12.5,-1,0.709,0.667,0.889,0.222,5.1,11.8,8.9,13.6,2.0,0.0,0.0,18.7,144,116,6.8
2020-21,2021-03-16,TIM,LAK,LAK,27.68,6,10,0.6,5,6,0.833,1,4,0.25,0,0,0.0,1,3,4,4,0,2,1,3,13,12.0,-10,0.65,0.65,0.4,0.0,4.2,14.4,9.0,19.0,0.0,5.7,9.1,17.1,129,137,0.0
2020-21,2021-03-18,TIM,SUN,SUN,20.63,3,8,0.375,3,5,0.6,0,3,0.0,0,0,0.0,0,2,2,0,0,1,0,3,6,1.7,-2,0.375,0.375,0.375,0.0,0.0,12.9,5.5,0.0,0.0,4.7,0.0,15.5,79,118,-11.9
