SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2017-18,2017-10-18,HAW,MAV,MAV,22.4,6,10,0.6,6,10,0.6,0,0,0.0,2,3,0.667,3,2,5,1,2,0,1,1,14,13.0,8,0.618,0.6,0.0,0.3,14.0,9.5,11.8,6.1,4.3,0.0,8.1,23.2,130,111,2.7
2017-18,2017-10-20,HAW,HOR,HOR,15.35,2,4,0.5,2,4,0.5,0,0,0.0,1,2,0.5,0,2,2,0,1,2,2,6,5,1.2,-12,0.512,0.5,0.0,0.5,0.0,14.2,6.6,0.0,3.0,12.5,29.1,18.8,68,96,-8.7
2017-18,2017-10-22,HAW,NET,NET,21.0,5,11,0.455,5,11,0.455,0,0,0.0,4,4,1.0,6,7,13,0,0,1,2,5,14,11.3,0,0.549,0.455,0.0,0.364,25.4,35.6,30.0,0.0,0.0,3.8,13.6,26.8,111,105,-0.7
2017-18,2017-10-23,HAW,HEA,HEA,18.43,6,11,0.545,6,11,0.545,0,0,0.0,2,2,1.0,4,7,11,2,0,1,0,2,14,14.9,0,0.589,0.545,0.0,0.182,28.2,40.5,34.9,25.6,0.0,5.4,0.0,29.8,136,100,12.2
2017-18,2017-10-26,HAW,BUL,BUL,24.87,5,6,0.833,5,6,0.833,0,0,0.0,3,5,0.6,1,4,5,0,0,1,1,3,13,10.4,-2,0.793,0.833,0.0,0.833,3.8,15.1,9.5,0.0,0.0,3.6,10.9,18.4,135,105,-0.5
2017-18,2017-10-27,HAW,NUG,HAW,14.33,2,11,0.182,2,11,0.182,0,0,0.0,2,2,1.0,5,3,8,0,0,0,0,5,6,1.5,-7,0.253,0.182,0.0,0.182,36.4,23.4,30.1,0.0,0.0,0.0,0.0,37.4,81,111,-22.5
2017-18,2017-10-29,HAW,BUC,HAW,24.5,5,7,0.714,5,7,0.714,0,0,0.0,4,7,0.571,1,6,7,0,0,1,0,2,14,12.3,9,0.694,0.714,0.0,1.0,4.8,35.6,18.5,0.0,0.0,3.6,0.0,18.9,138,119,0.7
2017-18,2017-11-01,HAW,76E,76E,13.82,3,7,0.429,3,6,0.5,0,1,0.0,1,2,0.5,6,1,7,2,0,1,1,6,7,6.1,0,0.444,0.429,0.143,0.286,41.7,6.7,23.8,22.7,0.0,5.4,11.3,24.9,113,112,-3.0
2017-18,2017-11-03,HAW,ROC,HAW,28.03,3,7,0.429,3,7,0.429,0,0,0.0,2,2,1.0,4,8,12,1,2,4,3,2,8,11.2,-5,0.508,0.429,0.0,0.286,17.1,30.4,24.2,5.1,3.4,16.3,27.6,17.4,96,104,0.3
2017-18,2017-11-05,HAW,CAV,CAV,24.15,3,10,0.3,3,10,0.3,0,0,0.0,6,8,0.75,7,6,13,1,0,2,3,3,12,10.0,15,0.444,0.3,0.0,0.8,32.4,24.8,28.4,5.7,0.0,6.6,18.2,27.8,101,108,-6.1
