SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,JAZ,CLI,JAZ,31.83,5,8,0.625,5,7,0.714,0,1,0.0,1,1,1.0,1,1,2,14,2,0,2,3,11,17.0,8,0.652,0.625,0.125,0.125,3.5,4.4,3.9,59.2,3.1,0.0,19.2,14.2,137,100,8.2
2000-01,2000-11-01,JAZ,LAK,LAK,35.78,9,15,0.6,7,11,0.636,2,4,0.5,1,1,1.0,1,1,2,14,3,2,1,2,21,27.5,-1,0.68,0.667,0.267,0.067,4.2,3.0,3.5,88.9,4.5,4.0,6.1,22.4,148,99,25.2
2000-01,2000-11-04,JAZ,MAV,MAV,33.0,5,6,0.833,4,5,0.8,1,1,1.0,3,5,0.6,0,1,1,9,4,0,1,4,14,19.0,14,0.854,0.917,0.167,0.833,0.0,3.7,2.0,44.0,6.5,0.0,10.9,13.3,163,111,14.1
2000-01,2000-11-06,JAZ,TIM,JAZ,29.47,5,10,0.5,4,9,0.444,1,1,1.0,2,2,1.0,1,3,4,8,0,0,3,1,13,11.8,14,0.597,0.55,0.1,0.2,5.7,12.1,9.5,47.8,0.0,0.0,21.6,22.1,115,103,4.7
2000-01,2000-11-08,JAZ,CLI,CLI,33.15,2,5,0.4,0,3,0.0,2,2,1.0,5,6,0.833,1,2,3,9,0,0,2,3,11,12.3,14,0.72,0.6,0.4,1.2,4.3,7.6,6.1,52.0,0.0,0.0,20.7,14.2,138,103,7.4
2000-01,2000-11-10,JAZ,HEA,JAZ,31.05,4,8,0.5,2,3,0.667,2,5,0.4,4,6,0.667,0,5,5,5,2,1,2,2,14,14.1,-5,0.658,0.625,0.625,0.75,0.0,23.5,11.1,31.2,3.8,3.1,15.8,21.0,119,99,10.3
2000-01,2000-11-14,JAZ,SPU,SPU,30.97,4,9,0.444,2,7,0.286,2,2,1.0,4,5,0.8,2,2,4,4,1,1,3,1,14,12.0,-12,0.625,0.556,0.222,0.556,7.7,6.5,7.0,26.0,1.8,2.2,21.1,21.1,111,100,9.0
2000-01,2000-11-16,JAZ,MAG,JAZ,32.53,3,6,0.5,2,4,0.5,1,2,0.5,6,8,0.75,1,1,2,11,1,0,7,3,13,10.7,15,0.683,0.583,0.333,1.333,4.0,3.3,3.6,55.9,1.5,0.0,42.4,21.9,99,93,1.6
2000-01,2000-11-18,JAZ,BUL,JAZ,22.08,1,3,0.333,1,3,0.333,0,0,0.0,2,2,1.0,0,4,4,5,1,0,3,2,4,4.2,16,0.515,0.333,0.0,0.667,0.0,16.2,10.5,26.7,2.5,0.0,43.6,14.8,93,73,-5.3
2000-01,2000-11-20,JAZ,MAV,JAZ,30.57,5,13,0.385,5,12,0.417,0,1,0.0,4,4,1.0,1,4,5,8,1,1,4,2,14,11.3,-11,0.474,0.385,0.077,0.308,3.1,19.4,9.4,43.8,1.7,2.9,21.3,25.7,95,113,1.3
2000-01,2000-11-22,JAZ,NUG,JAZ,26.98,6,8,0.75,6,8,0.75,0,0,0.0,1,2,0.5,0,3,3,5,1,0,2,1,13,12.4,31,0.732,0.75,0.0,0.25,0.0,11.3,6.6,24.5,2.0,0.0,18.4,18.6,125,89,3.7
2000-01,2000-11-24,JAZ,NNE,JAZ,27.37,4,6,0.667,3,5,0.6,1,1,1.0,1,1,1.0,1,2,3,12,1,0,3,2,10,14.3,19,0.776,0.75,0.167,0.167,4.8,9.4,7.1,71.4,2.0,0.0,31.8,16.8,132,100,7.9
2000-01,2000-11-26,JAZ,PIS,PIS,30.75,0,4,0.0,0,3,0.0,0,1,0.0,1,2,0.5,1,3,4,15,2,0,4,2,1,7.1,12,0.102,0.0,0.25,0.5,4.2,9.9,7.4,61.1,3.3,0.0,45.0,13.1,82,84,-0.7
2000-01,2000-11-28,JAZ,NNE,NNE,31.97,3,5,0.6,2,4,0.5,1,1,1.0,2,2,1.0,0,1,1,14,2,0,2,2,9,16.0,17,0.765,0.7,0.2,0.4,0.0,3.4,1.8,56.0,3.2,0.0,25.4,11.1,142,100,10.2
2000-01,2000-11-29,JAZ,MAG,MAG,30.67,1,4,0.25,1,1,1.0,0,3,0.0,2,2,1.0,0,2,2,8,0,0,0,3,4,6.6,2,0.41,0.25,0.75,0.5,0.0,8.6,4.5,36.0,0.0,0.0,0.0,7.4,134,102,-2.0
2000-01,2000-12-01,JAZ,HEA,HEA,35.07,3,5,0.6,2,4,0.5,1,1,1.0,3,4,0.75,1,0,1,6,4,0,2,2,10,13.4,10,0.74,0.7,0.2,0.8,3.4,0.0,2.1,31.8,6.3,0.0,22.8,11.4,133,103,9.1
2000-01,2000-12-02,JAZ,CHO,CHO,29.35,4,10,0.4,4,9,0.444,0,1,0.0,3,3,1.0,1,0,1,10,4,0,4,5,11,11.3,3,0.486,0.4,0.1,0.3,4.9,0.0,2.5,65.2,7.6,0.0,26.1,25.5,99,101,6.0
2000-01,2000-12-05,JAZ,RAP,JAZ,32.0,5,10,0.5,5,10,0.5,0,0,0.0,2,2,1.0,0,3,3,13,2,0,3,2,12,15.2,10,0.551,0.5,0.0,0.2,0.0,10.7,6.0,56.5,3.5,0.0,21.6,21.5,117,99,6.0
2000-01,2000-12-07,JAZ,VGR,JAZ,31.8,6,9,0.667,6,8,0.75,0,1,0.0,1,1,1.0,0,4,4,13,5,0,3,1,13,21.0,26,0.689,0.667,0.111,0.111,0.0,17.1,8.6,62.9,8.1,0.0,24.1,18.1,125,85,15.1
2000-01,2000-12-09,JAZ,WAR,JAZ,30.97,3,6,0.5,3,6,0.5,0,0,0.0,7,9,0.778,0,3,3,14,2,0,2,2,13,19.1,25,0.653,0.5,0.0,1.5,0.0,11.1,6.0,55.1,3.2,0.0,16.7,16.1,146,116,7.2
2000-01,2000-12-11,JAZ,SPU,JAZ,31.0,6,8,0.75,6,6,1.0,0,2,0.0,4,5,0.8,1,0,1,4,2,0,1,3,16,15.7,2,0.784,0.75,0.25,0.625,3.2,0.0,1.9,29.9,3.5,0.0,8.9,16.2,152,108,12.3
2000-01,2000-12-13,JAZ,BUC,JAZ,34.58,6,12,0.5,4,6,0.667,2,6,0.333,2,2,1.0,0,3,3,9,1,2,1,3,16,17.4,1,0.621,0.583,0.5,0.167,0.0,12.5,5.7,49.8,1.6,5.2,7.2,19.0,137,125,9.8
2000-01,2000-12-15,JAZ,KNI,KNI,22.25,1,2,0.5,1,2,0.5,0,0,0.0,1,1,1.0,0,3,3,6,2,0,2,3,3,5.9,6,0.615,0.5,0.0,0.5,0.0,16.8,9.4,41.1,5.2,0.0,45.0,10.1,110,64,4.1
2000-01,2000-12-16,JAZ,CAV,CAV,30.82,6,10,0.6,4,6,0.667,2,4,0.5,2,2,1.0,0,0,0,7,0,1,2,3,16,13.8,-5,0.735,0.7,0.4,0.2,0.0,0.0,0.0,45.7,0.0,2.6,15.5,18.8,132,108,7.3
2000-01,2000-12-19,JAZ,RAP,RAP,26.15,5,12,0.417,4,9,0.444,1,3,0.333,1,1,1.0,1,2,3,7,0,0,2,3,12,8.6,-18,0.482,0.458,0.25,0.083,4.0,8.4,6.2,44.9,0.0,0.0,13.9,24.7,104,122,-1.8
2000-01,2000-12-20,JAZ,76E,76E,35.18,2,7,0.286,2,7,0.286,0,0,0.0,3,3,1.0,1,0,1,11,4,0,4,3,7,10.1,9,0.421,0.286,0.0,0.429,3.5,0.0,1.7,53.4,6.2,0.0,32.5,16.4,89,98,4.4
2000-01,2000-12-22,JAZ,PAC,PAC,30.23,4,7,0.571,4,7,0.571,0,0,0.0,1,1,1.0,0,2,2,16,2,0,2,3,9,16.3,22,0.605,0.571,0.0,0.143,0.0,10.7,4.8,74.0,3.8,0.0,21.2,14.9,139,116,11.5
2000-01,2000-12-23,JAZ,TIM,TIM,31.77,8,10,0.8,8,10,0.8,0,0,0.0,5,5,1.0,2,2,4,9,2,0,3,1,21,24.1,19,0.861,0.8,0.0,0.5,10.0,7.0,8.2,61.4,3.2,0.0,19.7,22.5,146,100,16.5
2000-01,2000-12-26,JAZ,76E,JAZ,33.17,7,10,0.7,3,6,0.5,4,4,1.0,1,1,1.0,1,1,2,12,2,1,3,3,19,22.7,7,0.91,0.9,0.4,0.1,4.2,4.8,4.5,70.3,3.4,2.6,22.3,19.9,150,115,18.8
2000-01,2000-12-28,JAZ,BLA,JAZ,37.62,2,3,0.667,1,1,1.0,1,2,0.5,2,3,0.667,0,1,1,13,0,0,5,2,7,8.9,-2,0.81,0.833,0.667,1.0,0.0,3.6,1.8,54.6,0.0,0.0,53.6,12.4,112,116,0.6
