SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2018-10-20,LAK,ROC,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2018-10-22,LAK,SPU,LAK,13.88,4,5,0.8,4,5,0.8,0,0,0.0,0,1,0.0,2,2,4,1,0,3,0,4,8,8.9,1,0.735,0.8,0.0,0.2,15.3,15.6,15.4,9.6,0.0,16.6,0.0,15.6,157,114,8.4
2018-19,2018-10-24,LAK,SUN,SUN,20.12,3,4,0.75,3,4,0.75,0,0,0.0,1,2,0.5,3,2,5,1,0,0,0,5,7,6.4,1,0.717,0.75,0.0,0.5,15.6,11.6,13.7,5.3,0.0,0.0,0.0,9.9,163,116,-6.2
2018-19,2018-10-25,LAK,NUG,LAK,12.47,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,2,2,0.2,-4,0.5,0.5,0.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,33.3,10.0,82,115,-11.9
2018-19,2018-10-27,LAK,SPU,SPU,17.15,2,5,0.4,2,5,0.4,0,0,0.0,0,2,0.0,2,2,4,1,1,0,0,2,4,3.4,-6,0.34,0.4,0.0,0.4,12.7,11.9,12.3,7.9,2.8,0.0,0.0,14.8,94,106,-2.9
2018-19,2018-10-29,LAK,TIM,TIM,14.27,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,3,1,4,1,0,0,0,3,2,2.2,0,0.333,0.333,0.0,0.0,21.0,6.6,13.6,7.4,0.0,0.0,0.0,7.8,126,128,-7.0
2018-19,2018-10-31,LAK,MAV,LAK,7.35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,3,0,-1.6,-2,0.0,0.0,0.0,0.0,0.0,31.9,16.5,0.0,0.0,0.0,100.0,5.7,0,110,-16.2
2018-19,2018-11-03,LAK,BLA,BLA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2018-11-04,LAK,RAP,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2018-12-27,LAK,KIN,KIN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2018-12-28,LAK,CLI,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2018-12-30,LAK,KIN,LAK,4.17,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1,0,-0.4,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,9.5,0,101,-13.5
2018-19,2019-02-21,LAK,ROC,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2019-03-04,LAK,CLI,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2019-03-06,LAK,NUG,LAK,14.7,3,4,0.75,3,4,0.75,0,0,0.0,2,4,0.5,1,1,2,0,0,0,0,4,8,5.0,2,0.694,0.75,0.0,1.0,7.8,6.0,6.8,0.0,0.0,0.0,0.0,17.7,140,125,-3.3
