SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2021-22,2021-10-30,WAR,THU,WAR,6.07,1,4,0.25,0,1,0.0,1,3,0.333,0,0,0.0,0,0,0,0,1,0,2,2,3,-1.2,-9,0.375,0.375,0.75,0.0,0.0,0.0,0.0,0.0,7.8,0.0,33.3,43.0,45,72,-20.5
2021-22,2021-11-03,WAR,HOR,WAR,1.85,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0,101,-29.3
2021-22,2021-11-05,WAR,PEL,WAR,7.23,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,1,0,0,1,1,2,1.9,7,1.0,1.0,0.0,0.0,0.0,39.0,21.9,16.4,0.0,0.0,50.0,12.3,100,84,-2.4
2021-22,2021-11-07,WAR,ROC,WAR,1.48,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,116,-8.2
2021-22,2021-11-08,WAR,HAW,WAR,6.85,0,1,0.0,0,1,0.0,0,0,0.0,1,2,0.5,0,1,1,0,0,0,1,2,1,-1.6,-3,0.266,0.0,0.0,2.0,0.0,21.9,9.5,0.0,0.0,0.0,34.7,17.6,37,115,-24.5
2021-22,2021-11-10,WAR,TIM,WAR,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2021-22,2021-11-12,WAR,BUL,WAR,15.68,4,6,0.667,4,5,0.8,0,1,0.0,0,0,0.0,0,1,1,1,0,0,0,3,8,5.2,7,0.667,0.667,0.167,0.0,0.0,7.3,3.6,9.3,0.0,0.0,0.0,15.8,140,102,-1.6
2021-22,2021-11-14,WAR,HOR,HOR,9.83,4,6,0.667,4,6,0.667,0,0,0.0,1,3,0.333,3,2,5,0,2,1,0,2,9,10.2,11,0.615,0.667,0.0,0.5,31.8,23.2,27.7,0.0,9.7,9.4,0.0,30.8,130,80,21.8
2021-22,2021-11-16,WAR,NET,NET,18.78,3,6,0.5,3,4,0.75,0,2,0.0,1,2,0.5,2,4,6,1,0,1,3,4,7,3.0,5,0.509,0.5,0.333,0.333,13.4,19.3,16.8,7.7,0.0,4.9,30.4,22.5,84,98,-7.6
2021-22,2021-11-18,WAR,CAV,CAV,6.75,0,4,0.0,0,1,0.0,0,3,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-2.8,9,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,0,113,-37.2
