SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-10-24,NUG,LAK,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2023-10-27,NUG,GRI,GRI,5.43,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2.2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0,113,-29.1
2023-24,2023-10-29,NUG,THU,THU,7.57,3,5,0.6,1,2,0.5,2,3,0.667,0,0,0.0,0,1,1,1,0,0,0,0,8,6.7,4,0.8,0.8,0.6,0.0,0.0,14.1,8.2,18.7,0.0,0.0,0.0,29.7,162,105,17.0
2023-24,2023-10-30,NUG,JAZ,NUG,6.22,2,4,0.5,2,2,1.0,0,2,0.0,0,0,0.0,0,2,2,0,0,0,0,0,4,2.6,1,0.5,0.5,0.5,0.0,0.0,29.1,16.4,0.0,0.0,0.0,0.0,29.8,93,103,-6.9
2023-24,2023-11-01,NUG,TIM,TIM,15.62,2,7,0.286,1,1,1.0,1,6,0.167,0,1,0.0,0,0,0,0,1,2,0,0,5,2.9,2,0.336,0.357,0.857,0.143,0.0,0.0,0.0,0.0,3.1,9.9,0.0,19.8,71,106,1.4
2023-24,2023-11-03,NUG,MAV,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2023-11-04,NUG,BUL,NUG,9.13,1,2,0.5,0,0,0.0,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,0,3,3.0,-8,0.75,0.75,1.0,0.0,0.0,10.9,6.1,14.3,0.0,0.0,0.0,10.0,161,113,2.3
2023-24,2023-11-06,NUG,PEL,NUG,19.12,8,13,0.615,3,4,0.75,5,9,0.556,0,1,0.0,0,2,2,1,0,0,1,1,21,14.6,-7,0.781,0.808,0.692,0.077,0.0,12.0,6.1,8.1,0.0,0.0,6.9,31.8,130,121,8.0
2023-24,2023-11-08,NUG,WAR,NUG,8.23,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-1.2,-12,0.0,0.0,1.0,0.0,0.0,12.7,6.2,0.0,0.0,0.0,0.0,5.4,0,117,-16.9
2023-24,2023-11-12,NUG,ROC,ROC,7.78,0,2,0.0,0,0,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-1.5,-5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,11.4,32,121,-17.8
