SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2013-14,2014-03-05,BOB,PAC,BOB,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2014-03-07,BOB,CAV,BOB,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2014-03-08,BOB,GRI,GRI,3.73,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,100.0,11.7,0,97,-8.3
2013-14,2014-03-10,BOB,NUG,BOB,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2014-03-12,BOB,WIZ,WIZ,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2014-03-19,HEA,CEL,CEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2014-03-28,HEA,PIS,PIS,4.73,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,0,1,0,1,0,0,0.0,0,0.0,0.0,1.0,0.0,29.8,0.0,12.2,0.0,11.9,0.0,50.0,21.0,41,77,-11.9
2013-14,2014-03-29,HEA,BUC,BUC,3.15,2,4,0.5,1,2,0.5,1,2,0.5,1,1,1.0,0,1,1,0,0,0,0,1,6,3.9,0,0.676,0.625,0.5,0.25,0.0,33.1,18.4,0.0,0.0,0.0,0.0,71.8,145,76,30.8
2013-14,2014-03-31,HEA,RAP,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2014-04-02,HEA,BUC,HEA,5.52,1,2,0.5,1,1,1.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.0,-8,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,99,107,-8.2
2013-14,2014-04-08,HEA,NET,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2013-14,2014-04-09,HEA,GRI,GRI,12.68,2,2,1.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0,1,0,0,3,5,4.2,-8,1.25,1.25,0.5,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,8.1,250,122,5.2
2013-14,2014-04-11,HEA,PAC,HEA,0.55,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,-5.1
2013-14,2014-04-14,HEA,WIZ,WIZ,23.75,2,5,0.4,2,3,0.667,0,2,0.0,2,2,1.0,1,1,2,0,0,0,0,1,6,3.9,-4,0.51,0.4,0.4,0.4,5.2,5.9,5.5,0.0,0.0,0.0,0.0,12.0,112,131,-9.0
2013-14,2014-04-16,HEA,76E,HEA,18.03,2,6,0.333,1,4,0.25,1,2,0.5,2,2,1.0,2,1,3,0,2,0,2,3,7,4.1,1,0.509,0.417,0.333,0.333,13.6,8.9,11.6,0.0,5.8,0.0,22.5,23.2,90,102,-4.7
2014-15,2014-10-29,HEA,WIZ,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
