SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2014-15,2014-10-29,76E,PAC,PAC,19.7,1,5,0.2,1,4,0.25,0,1,0.0,0,2,0.0,1,1,2,1,1,1,1,1,2,0.1,-15,0.17,0.2,0.2,0.4,4.8,5.9,5.3,7.7,2.6,4.4,14.5,14.8,46,110,-9.6
2014-15,2014-10-31,76E,BUC,BUC,13.65,5,7,0.714,3,4,0.75,2,3,0.667,0,0,0.0,1,0,1,0,0,0,1,2,12,8.0,-10,0.857,0.857,0.429,0.0,6.8,0.0,3.6,0.0,0.0,0.0,12.5,25.2,130,107,11.7
2014-15,2014-11-01,76E,HEA,76E,20.82,2,4,0.5,1,1,1.0,1,3,0.333,3,4,0.75,0,1,1,2,0,3,2,3,8,6.2,-10,0.694,0.625,0.75,1.0,0.0,5.5,3.2,15.2,0.0,11.7,25.8,17.5,106,114,-0.9
2014-15,2014-11-03,76E,ROC,76E,26.68,5,9,0.556,2,5,0.4,3,4,0.75,1,4,0.25,1,2,3,1,0,1,0,3,14,10.0,3,0.651,0.722,0.444,0.444,4.5,9.5,6.9,7.5,0.0,4.4,0.0,19.1,128,119,2.7
2014-15,2014-11-05,76E,MAG,76E,28.98,5,10,0.5,4,8,0.5,1,2,0.5,1,1,1.0,0,2,2,0,0,3,1,1,12,8.3,0,0.575,0.55,0.2,0.1,0.0,7.2,3.7,0.0,0.0,7.3,8.7,17.7,98,96,-1.8
2014-15,2014-11-07,76E,BUL,76E,27.57,2,7,0.286,2,5,0.4,0,2,0.0,2,2,1.0,2,3,5,4,2,0,3,5,6,4.0,-6,0.381,0.286,0.286,0.286,7.7,14.1,10.6,17.6,3.7,0.0,27.6,16.6,87,120,-8.7
2014-15,2014-11-09,76E,RAP,RAP,28.1,5,10,0.5,4,6,0.667,1,4,0.25,0,1,0.0,1,0,1,1,2,4,4,1,11,7.4,-12,0.527,0.55,0.4,0.1,3.7,0.0,2.4,7.0,3.4,11.6,27.7,22.0,76,110,-0.8
2014-15,2014-11-13,76E,MAV,MAV,25.42,2,6,0.333,0,0,0.0,2,6,0.333,2,2,1.0,0,2,2,1,1,1,3,3,8,3.4,-17,0.581,0.5,1.0,0.333,0.0,10.2,3.9,9.8,1.9,3.9,30.4,15.7,87,122,-2.6
2014-15,2014-11-14,76E,ROC,ROC,16.47,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0.0,1,4,5,0,2,0,2,3,4,2.0,8,0.4,0.4,0.0,0.0,6.1,25.9,15.7,0.0,6.0,0.0,28.6,18.4,62,78,-5.1
2014-15,2014-11-17,76E,SPU,SPU,23.58,3,9,0.333,3,5,0.6,0,4,0.0,2,3,0.667,0,5,5,0,0,1,0,3,8,3.5,-5,0.388,0.333,0.444,0.333,0.0,25.4,11.2,0.0,0.0,3.7,0.0,19.7,77,103,-5.6
2014-15,2014-11-19,76E,CEL,76E,11.13,3,3,1.0,1,1,1.0,2,2,1.0,0,0,0.0,0,2,2,0,0,1,2,1,8,6.0,4,1.333,1.333,0.667,0.0,0.0,20.5,9.8,0.0,0.0,6.8,40.0,19.6,92,100,11.2
