SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2020-21,2021-01-04,ROC,MAV,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-08,ROC,MAG,ROC,5.47,3,3,1.0,2,2,1.0,1,1,1.0,0,0,0.0,0,1,1,0,1,0,0,0,7,7.4,3,1.167,1.167,0.333,0.0,0.0,17.2,9.6,0.0,9.1,0.0,0.0,25.4,233,78,33.4
2020-21,2021-01-10,ROC,LAK,ROC,3.03,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,60.9,0.0,34.4,42.8,0.0,0.0,0.0,39.2,56,123,-17.9
2020-21,2021-01-12,ROC,LAK,ROC,5.27,0,2,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,2,0,0,0,0,0,0.0,7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,15.6,49,124,-6.3
2020-21,2021-01-14,ROC,SPU,SPU,15.68,3,5,0.6,3,5,0.6,0,0,0.0,0,1,0.0,1,4,5,1,0,1,1,2,6,4.8,3,0.551,0.6,0.0,0.2,7.5,25.0,17.0,9.3,0.0,5.0,15.5,17.5,102,104,-3.7
2020-21,2021-01-16,ROC,SPU,SPU,16.53,1,5,0.2,1,5,0.2,0,0,0.0,0,2,0.0,1,4,5,0,0,1,4,3,2,-4.5,-2,0.17,0.2,0.0,0.4,5.5,20.7,13.3,0.0,0.0,3.8,40.5,24.3,25,99,-24.4
2020-21,2021-01-18,ROC,BUL,BUL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-20,ROC,SUN,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2020-21,2021-01-22,ROC,PIS,PIS,2.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,-10.5
2020-21,2021-01-23,ROC,MAV,MAV,20.25,3,9,0.333,3,7,0.429,0,2,0.0,2,2,1.0,4,2,6,0,1,3,0,4,8,7.8,14,0.405,0.333,0.222,0.222,24.3,9.7,16.2,0.0,2.4,12.3,0.0,20.8,118,100,-5.5
