SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2002-03,2002-10-29,LAK,SPU,LAK,3.07,1,2,0.5,1,1,1.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,1,0,2,0.0,-2,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,41.3,58,101,-12.7
2002-03,2002-10-30,LAK,BLA,BLA,9.87,3,6,0.5,2,4,0.5,1,2,0.5,0,0,0.0,0,2,2,1,0,0,1,0,7,4.3,-5,0.583,0.583,0.333,0.0,0.0,21.3,11.0,23.3,0.0,0.0,14.3,30.1,103,113,3.0
2002-03,2002-11-01,LAK,CLI,CLI,2.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,112,-15.2
2002-03,2002-11-03,LAK,BLA,LAK,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2002-03,2002-11-05,LAK,CAV,CAV,7.75,1,4,0.25,1,2,0.5,0,2,0.0,0,0,0.0,0,0,0,2,0,0,0,1,2,0.6,-2,0.25,0.25,0.5,0.0,0.0,0.0,0.0,54.5,0.0,0.0,0.0,21.8,74,104,-5.4
2002-03,2002-11-07,LAK,CEL,CEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2002-03,2002-11-08,LAK,WIZ,WIZ,6.8,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2,2.7,2,1.0,1.0,0.0,0.0,0.0,17.6,8.8,23.5,0.0,0.0,0.0,6.9,204,116,7.9
2002-03,2002-11-12,LAK,HAW,LAK,7.15,1,4,0.25,0,1,0.0,1,3,0.333,2,2,1.0,0,0,0,0,0,0,0,0,5,2.6,4,0.512,0.375,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,116,120,1.1
2002-03,2002-11-15,LAK,WAR,LAK,8.62,0,3,0.0,0,3,0.0,0,0,0.0,0,2,0.0,0,0,0,1,0,0,0,1,0,-2.6,-1,0.0,0.0,0.0,0.667,0.0,0.0,0.0,17.0,0.0,0.0,0.0,22.0,13,99,-21.3
2002-03,2002-11-17,LAK,ROC,LAK,10.22,0,3,0.0,0,2,0.0,0,1,0.0,0,0,0.0,1,0,1,1,0,0,2,1,0,-3.1,-2,0.0,0.0,0.333,0.0,10.0,0.0,5.5,13.0,0.0,0.0,40.0,22.8,21,110,-24.3
2002-03,2002-11-19,LAK,MAV,MAV,22.28,2,11,0.182,2,8,0.25,0,3,0.0,2,2,1.0,1,4,5,2,1,1,0,0,6,4.1,-12,0.253,0.182,0.273,0.182,3.6,15.9,9.5,18.5,2.2,2.8,0.0,22.2,64,94,0.8
2002-03,2002-11-20,LAK,SPU,SPU,12.35,1,3,0.333,1,2,0.5,0,1,0.0,0,0,0.0,1,1,2,1,0,0,1,1,2,0.6,-18,0.333,0.333,0.333,0.0,9.5,10.3,9.9,14.8,0.0,0.0,25.0,15.7,72,115,-7.6
2002-03,2002-11-22,LAK,BUL,LAK,2.28,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,46.2,25.0,70.6,0.0,0.0,100.0,20.7,35,69,-8.0
2002-03,2002-11-24,LAK,BUC,LAK,14.95,3,7,0.429,3,6,0.5,0,1,0.0,0,0,0.0,2,2,4,1,0,0,2,0,6,3.0,11,0.429,0.429,0.143,0.0,13.9,12.5,13.2,9.3,0.0,0.0,22.2,25.9,83,111,-10.1
2002-03,2002-11-26,LAK,HEA,HEA,14.93,2,4,0.5,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,2,0,0,2,1,4,1.0,-2,0.5,0.5,0.25,0.0,0.0,0.0,0.0,24.1,0.0,0.0,33.3,19.6,79,120,-6.9
2002-03,2002-11-27,LAK,MAG,MAG,8.45,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,1,0,1,0,0,0,1,1,0,-1.4,3,0.0,0.0,1.0,0.0,14.6,0.0,7.1,0.0,0.0,0.0,50.0,11.2,33,130,-17.3
2002-03,2002-11-29,LAK,GRI,GRI,3.38,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,2,1.0,-7,1.0,1.0,0.0,0.0,0.0,38.4,18.6,0.0,0.0,0.0,50.0,28.5,74,102,-5.2
2002-03,2002-12-01,LAK,TIM,LAK,9.55,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,2,3,2,0,0,0,0,0,2.0,-5,0.0,0.0,0.0,0.0,11.9,26.0,18.6,24.2,0.0,0.0,0.0,4.7,108,117,0.1
2002-03,2002-12-03,LAK,GRI,LAK,8.8,2,3,0.667,2,3,0.667,0,0,0.0,0,1,0.0,0,1,1,0,0,0,2,0,4,0.6,-8,0.581,0.667,0.0,0.333,0.0,10.5,6.1,0.0,0.0,0.0,36.8,27.2,58,105,-15.6
2002-03,2002-12-04,LAK,JAZ,JAZ,11.68,2,5,0.4,2,4,0.5,0,1,0.0,1,1,1.0,0,0,0,2,0,0,0,3,5,2.5,8,0.46,0.4,0.2,0.2,0.0,0.0,0.0,36.4,0.0,0.0,0.0,20.2,115,114,0.0
2002-03,2002-12-06,LAK,MAV,LAK,3.98,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,1,1,2,1.3,-1,1.0,1.0,0.0,0.0,0.0,27.9,14.8,46.2,0.0,0.0,50.0,22.4,97,113,1.4
2002-03,2002-12-08,LAK,JAZ,LAK,7.8,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0,0,0,0,1,3,3,0.5,3,1.5,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.5,94,114,-3.5
2002-03,2002-12-10,LAK,WAR,WAR,3.6,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.7,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0,130,-20.4
2002-03,2002-12-13,LAK,NHO,LAK,2.27,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,0.7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6,0.0,0.0,0.0,0.0,206,121,13.2
2002-03,2002-12-15,LAK,MAG,LAK,12.0,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,4,4,2,-1.9,12,1.0,1.0,0.0,0.0,0.0,15.4,9.1,12.1,0.0,5.7,80.0,17.8,35,88,-14.3
2002-03,2002-12-17,LAK,TIM,TIM,16.18,3,5,0.6,2,4,0.5,1,1,1.0,0,0,0.0,0,1,1,0,0,0,0,0,7,5.0,-7,0.7,0.7,0.2,0.0,0.0,7.7,3.4,0.0,0.0,0.0,0.0,15.4,128,114,3.1
2002-03,2002-12-19,LAK,NNE,NNE,5.63,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,1,0,-1.1,-10,0.0,0.0,0.0,0.0,13.1,0.0,7.4,0.0,0.0,0.0,0.0,13.8,20,114,-16.9
2002-03,2002-12-20,LAK,76E,76E,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2002-03,2002-12-22,LAK,RAP,RAP,5.45,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,2,1.0,-1,0.333,0.333,0.0,0.0,27.9,0.0,12.5,0.0,0.0,0.0,0.0,29.4,90,122,-11.3
