SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2001-01-06,NNE,WAR,NNE,23.9,8,16,0.5,7,12,0.583,1,4,0.25,2,6,0.333,1,4,5,0,2,1,0,6,19,11.6,16,0.51,0.531,0.25,0.375,5.1,17.0,11.6,0.0,4.2,3.0,0.0,35.3,101,90,2.3
2000-01,2001-01-08,NNE,CAV,CAV,29.55,7,15,0.467,5,11,0.455,2,4,0.5,1,2,0.5,0,7,7,0,1,1,0,2,17,11.9,-4,0.535,0.533,0.267,0.133,0.0,25.7,13.3,0.0,1.8,2.3,0.0,25.1,108,96,3.6
2000-01,2001-01-09,NNE,76E,NNE,37.78,4,10,0.4,3,8,0.375,1,2,0.5,1,2,0.5,0,4,4,0,0,0,1,2,10,3.6,-9,0.46,0.45,0.2,0.2,0.0,14.0,6.2,0.0,0.0,0.0,8.4,15.0,82,122,-7.8
2000-01,2001-01-11,NNE,MAG,NNE,36.57,1,12,0.083,1,9,0.111,0,3,0.0,7,8,0.875,4,7,11,3,0,0,3,3,9,3.4,-16,0.29,0.083,0.25,0.667,11.5,25.2,17.6,15.1,0.0,0.0,16.2,22.2,77,115,-8.8
2000-01,2001-01-13,NNE,BUC,BUC,28.1,7,12,0.583,7,11,0.636,0,1,0.0,2,2,1.0,0,3,3,1,0,0,1,2,16,10.2,-16,0.621,0.583,0.083,0.167,0.0,12.9,6.0,7.8,0.0,0.0,7.2,23.2,113,131,-1.5
2000-01,2001-01-15,NNE,HAW,HAW,37.95,10,20,0.5,7,14,0.5,3,6,0.5,1,2,0.5,4,5,9,1,1,0,3,2,24,15.8,0,0.575,0.575,0.3,0.1,9.9,17.1,12.9,6.9,1.4,0.0,12.6,28.8,104,90,5.5
2000-01,2001-01-17,NNE,WIZ,NNE,35.47,9,17,0.529,7,12,0.583,2,5,0.4,7,7,1.0,1,11,12,5,1,1,0,2,27,27.1,17,0.672,0.588,0.294,0.412,3.5,33.3,19.5,29.0,1.5,2.0,0.0,26.8,147,91,16.0
2000-01,2001-01-19,NNE,76E,76E,35.6,5,12,0.417,5,9,0.556,0,3,0.0,0,0,0.0,0,5,5,2,1,0,2,3,10,4.3,0,0.417,0.417,0.25,0.0,0.0,20.8,8.9,9.1,1.5,0.0,14.3,19.0,76,112,-6.1
2000-01,2001-01-20,NNE,BUL,NNE,39.98,13,21,0.619,10,18,0.556,3,3,1.0,2,2,1.0,2,2,4,2,1,2,2,2,31,24.5,26,0.708,0.69,0.143,0.095,6.9,6.3,6.6,7.4,1.3,3.6,8.4,25.6,142,111,5.2
2000-01,2001-01-23,NNE,KIN,KIN,32.73,10,18,0.556,10,17,0.588,0,1,0.0,0,0,0.0,3,6,9,3,1,2,0,2,20,19.0,-18,0.556,0.556,0.056,0.0,8.9,21.8,14.7,14.3,1.5,5.0,0.0,23.5,126,133,5.7
2000-01,2001-01-24,NNE,WAR,WAR,25.18,4,9,0.444,3,6,0.5,1,3,0.333,3,3,1.0,0,5,5,0,2,0,3,4,12,6.2,0,0.581,0.5,0.333,0.333,0.0,21.8,10.7,0.0,3.8,0.0,22.5,22.6,90,103,-2.4
