SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,NNE,CAV,NNE,30.08,4,16,0.25,4,16,0.25,0,0,0.0,2,2,1.0,1,6,7,2,1,1,0,6,10,3.6,-8,0.296,0.25,0.0,0.125,3.0,20.9,11.3,13.0,1.7,2.3,0.0,24.9,71,87,-6.4
2000-01,2000-11-03,NNE,BUL,BUL,28.17,3,6,0.5,3,6,0.5,0,0,0.0,0,0,0.0,3,1,4,3,0,3,1,5,6,6.6,8,0.5,0.5,0.0,0.0,11.2,4.3,8.0,18.5,0.0,8.6,14.3,11.0,112,92,0.4
2000-01,2000-11-04,NNE,CHO,NNE,39.23,4,14,0.286,4,14,0.286,0,0,0.0,0,0,0.0,2,7,9,3,0,3,2,4,8,3.9,-4,0.286,0.286,0.0,0.0,6.5,22.1,14.4,13.6,0.0,5.5,12.5,19.0,65,107,-6.1
2000-01,2000-11-08,NNE,WIZ,WIZ,39.0,9,17,0.529,9,17,0.529,0,0,0.0,2,4,0.5,1,6,7,4,4,3,2,4,20,18.7,29,0.533,0.529,0.0,0.235,3.8,17.6,11.6,18.3,5.0,6.1,9.6,24.4,101,78,7.0
2000-01,2000-11-09,NNE,PIS,NNE,35.73,5,15,0.333,5,15,0.333,0,0,0.0,1,2,0.5,2,4,6,3,1,2,1,3,11,7.0,-14,0.346,0.333,0.0,0.133,5.4,14.4,9.3,12.8,1.4,3.9,5.9,20.6,81,111,-4.5
2000-01,2000-11-11,NNE,SUP,NNE,23.22,1,3,0.333,1,2,0.5,0,1,0.0,0,2,0.0,0,2,2,2,2,2,2,4,2,1.3,23,0.258,0.333,0.333,0.667,0.0,13.5,6.4,8.0,4.1,8.3,34.0,10.5,54,84,-3.4
2000-01,2000-11-13,NNE,BLA,NNE,36.0,8,17,0.471,8,17,0.471,0,0,0.0,2,3,0.667,3,5,8,2,1,5,4,4,18,12.8,-14,0.491,0.471,0.0,0.176,8.5,18.5,12.9,13.8,1.4,10.6,17.9,27.4,88,97,1.7
2000-01,2000-11-15,NNE,HEA,NNE,28.35,2,7,0.286,2,7,0.286,0,0,0.0,0,0,0.0,0,5,5,4,0,4,3,6,4,1.6,5,0.286,0.286,0.0,0.0,0.0,17.1,9.9,22.4,0.0,10.9,30.0,17.4,62,103,-7.0
2000-01,2000-11-18,NNE,PAC,NNE,40.27,5,13,0.385,5,13,0.385,0,0,0.0,5,9,0.556,9,4,13,0,1,5,4,6,15,11.9,-5,0.442,0.385,0.0,0.692,22.5,11.4,17.3,0.0,1.3,10.0,19.1,23.6,92,102,-5.1
2000-01,2000-11-20,NNE,CLI,CLI,38.9,7,19,0.368,7,19,0.368,0,0,0.0,5,10,0.5,4,11,15,0,1,3,1,4,19,13.1,-3,0.406,0.368,0.0,0.526,10.9,29.4,20.3,0.0,1.4,5.1,4.1,29.9,91,84,-2.3
2000-01,2000-11-22,NNE,SUN,SUN,19.78,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,0,0,1,1,2,4,1.7,-1,0.4,0.4,0.0,0.0,0.0,30.0,15.2,0.0,0.0,3.2,16.7,13.6,66,99,-5.1
2000-01,2000-11-24,NNE,JAZ,JAZ,35.15,5,11,0.455,5,11,0.455,0,0,0.0,5,7,0.714,4,5,9,3,1,1,2,5,15,12.6,-3,0.533,0.455,0.0,0.636,14.4,18.5,16.5,19.5,1.5,2.3,12.4,21.2,112,107,2.2
2000-01,2000-11-25,NNE,BLA,BLA,32.3,0,4,0.0,0,4,0.0,0,0,0.0,6,8,0.75,2,3,5,0,0,0,4,6,6,-1.7,-12,0.399,0.0,0.0,2.0,7.9,12.1,10.0,0.0,0.0,0.0,34.7,16.4,65,102,-11.8
2000-01,2000-11-28,NNE,JAZ,NNE,43.33,8,16,0.5,8,15,0.533,0,1,0.0,3,7,0.429,4,6,10,2,2,4,1,2,19,18.4,-1,0.498,0.5,0.063,0.438,10.1,17.6,13.6,8.9,2.4,5.8,5.0,21.3,105,100,3.0
2000-01,2000-11-29,NNE,PIS,PIS,35.15,5,8,0.625,5,8,0.625,0,0,0.0,1,2,0.5,2,6,8,0,1,1,0,4,11,10.3,-14,0.619,0.625,0.0,0.25,6.2,18.7,12.5,0.0,1.5,2.0,0.0,12.3,125,106,1.3
2000-01,2000-12-01,NNE,MAG,MAG,37.82,2,6,0.333,2,6,0.333,0,0,0.0,0,0,0.0,0,8,8,1,0,1,3,2,4,0.6,-13,0.333,0.333,0.0,0.0,0.0,22.0,10.8,5.2,0.0,1.9,33.3,10.0,48,88,-6.0
2000-01,2000-12-02,NNE,MAG,NNE,29.15,3,9,0.333,3,9,0.333,0,0,0.0,1,4,0.25,4,9,13,3,0,2,2,5,7,5.7,-6,0.325,0.333,0.0,0.444,15.0,30.4,23.1,23.6,0.0,4.2,15.7,21.0,75,100,-2.9
