SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2010-11,2010-10-27,BUC,NHO,NHO,4.42,0,1,0.0,0,1,0.0,0,0,0.0,0,2,0.0,0,0,0,1,0,1,0,0,0,-0.1,11,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.9,0.0,17.5,0.0,20.2,28,91,0.7
2010-11,2010-10-29,BUC,TIM,TIM,10.82,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,0,3,3,0,0,0,0,2,4,2.1,-12,0.5,0.5,0.0,0.0,0.0,26.6,13.2,0.0,0.0,0.0,0.0,16.0,97,93,-2.1
2010-11,2010-10-30,BUC,BOB,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-02,BUC,BLA,BUC,6.63,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,0,0,0,1,1,2,-0.4,4,0.333,0.333,0.0,0.0,18.1,0.0,9.2,0.0,0.0,0.0,25.0,28.9,61,113,-17.8
2010-11,2010-11-03,BUC,CEL,CEL,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-05,BUC,PAC,PAC,3.82,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,1,0,0.2,-7,0.0,0.0,0.0,0.0,0.0,62.9,28.3,0.0,0.0,0.0,0.0,0.0,0,88,-3.7
2010-11,2010-11-06,BUC,NHO,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-09,BUC,KNI,BUC,6.75,1,3,0.333,1,3,0.333,0,0,0.0,0,2,0.0,0,0,0,0,1,1,0,3,2,0.0,1,0.258,0.333,0.0,0.667,0.0,0.0,0.0,0.0,7.9,12.9,0.0,26.7,57,73,-12.3
2010-11,2010-11-10,BUC,HAW,HAW,1.18,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,2,2.7,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,0.0,0.0,38.6,200,16,76.0
2010-11,2010-11-13,BUC,WAR,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-16,BUC,LAK,BUC,4.2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,2,1,2,0,0.2,-2,0.0,0.0,0.0,0.0,0.0,63.5,26.3,0.0,0.0,36.9,100.0,10.0,0,89,-5.6
2010-11,2010-11-19,BUC,76E,76E,9.38,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-2.2,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0,110,-17.4
2010-11,2010-11-20,BUC,THU,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-11-24,BUC,CAV,CAV,23.35,4,10,0.4,4,10,0.4,0,0,0.0,0,0,0.0,1,6,7,1,2,1,0,1,8,8.1,10,0.4,0.4,0.0,0.0,4.5,31.6,16.9,9.0,4.6,3.7,0.0,20.6,90,83,3.4
2010-11,2010-11-26,BUC,PIS,PIS,31.13,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0.0,4,6,10,1,1,2,0,3,8,11.2,-8,0.571,0.571,0.0,0.0,12.3,28.9,18.8,5.5,1.8,5.2,0.0,10.0,142,115,0.8
2010-11,2010-11-27,BUC,BOB,BUC,24.72,4,6,0.667,4,6,0.667,0,0,0.0,2,2,1.0,1,2,3,0,0,2,2,5,10,6.1,5,0.727,0.667,0.0,0.333,5.2,12.1,8.4,0.0,0.0,7.6,22.5,17.4,109,115,-4.4
2010-11,2010-11-29,BUC,JAZ,JAZ,16.33,0,3,0.0,0,3,0.0,0,0,0.0,4,6,0.667,1,1,2,0,1,1,0,4,4,2.2,-9,0.355,0.0,0.0,2.0,7.2,8.9,7.9,0.0,3.3,4.4,0.0,16.3,90,121,-9.4
2010-11,2010-12-01,BUC,NUG,NUG,33.5,5,10,0.5,5,10,0.5,0,0,0.0,4,5,0.8,4,6,10,0,2,8,0,3,14,19.6,-11,0.574,0.5,0.0,0.5,12.5,23.9,17.5,0.0,2.9,21.2,0.0,16.3,128,91,9.4
2010-11,2010-12-04,BUC,MAG,BUC,23.35,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,1,4,5,0,0,1,1,1,4,3.2,8,0.5,0.5,0.0,0.0,4.9,16.4,11.2,0.0,0.0,3.4,20.0,9.7,90,95,-3.5
2010-11,2010-12-06,BUC,HEA,BUC,28.98,5,12,0.417,5,12,0.417,0,0,0.0,0,0,0.0,1,5,6,0,0,2,1,3,10,5.0,-10,0.417,0.417,0.0,0.0,3.6,22.4,12.0,0.0,0.0,5.2,7.7,22.0,78,99,-3.4
2010-11,2010-12-08,BUC,PAC,BUC,15.17,1,7,0.143,1,7,0.143,0,0,0.0,0,0,0.0,1,2,3,0,1,1,0,5,2,-1.5,-6,0.143,0.143,0.0,0.0,6.2,17.6,10.9,0.0,3.5,6.3,0.0,19.5,47,96,-16.6
2010-11,2010-12-10,BUC,ROC,BUC,24.68,0,6,0.0,0,6,0.0,0,0,0.0,2,2,1.0,1,1,2,0,0,3,2,2,2,-1.9,4,0.145,0.0,0.0,0.333,4.9,4.3,4.6,0.0,0.0,9.3,22.5,16.3,34,98,-12.2
2010-11,2010-12-13,BUC,MAV,MAV,5.13,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,1,0,0,0,0.0,-12,0.0,0.0,0.0,0.0,21.7,0.0,11.5,0.0,0.0,16.7,0.0,18.0,40,105,-13.2
2010-11,2010-12-15,BUC,SPU,SPU,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-12-18,BUC,JAZ,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2010-12-20,BUC,BLA,BLA,8.95,3,4,0.75,3,4,0.75,0,0,0.0,0,2,0.0,3,1,4,0,0,0,0,0,6,6.0,-9,0.615,0.75,0.0,0.5,39.2,14.5,27.5,0.0,0.0,0.0,0.0,26.3,129,131,8.7
2010-11,2010-12-21,BUC,LAK,LAK,10.67,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,0,3,3,0,1,0,0,0,2,1.5,-5,0.25,0.25,0.0,0.0,0.0,32.9,18.2,0.0,5.5,0.0,0.0,18.6,66,83,-5.0
2010-11,2010-12-23,BUC,KIN,KIN,22.92,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0.0,1,3,4,0,1,4,0,3,8,8.9,0,0.571,0.571,0.0,0.0,4.7,12.8,8.9,0.0,2.3,13.1,0.0,14.5,118,79,7.8
2010-11,2010-12-27,BUC,HAW,BUC,8.72,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,1,2,0.2,-2,0.25,0.25,0.0,0.0,0.0,15.7,6.9,0.0,0.0,9.0,0.0,21.9,53,106,-8.7
2010-11,2010-12-28,BUC,BUL,BUL,4.85,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,-1.1,-5,0.0,0.0,0.0,0.0,0.0,26.0,10.6,0.0,0.0,0.0,0.0,18.3,0,107,-17.9
2010-11,2011-01-01,BUC,MAV,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-01-04,BUC,HEA,HEA,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-01-05,BUC,MAG,MAG,30.68,7,10,0.7,7,10,0.7,0,0,0.0,1,4,0.25,5,3,8,1,0,1,1,3,15,13.2,8,0.638,0.7,0.0,0.4,16.0,10.9,13.6,7.1,0.0,2.8,7.8,18.6,129,111,4.9
2010-11,2011-01-07,BUC,HEA,BUC,3.1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,110,-10.7
2010-11,2011-01-08,BUC,NNE,NNE,19.88,2,6,0.333,2,6,0.333,0,0,0.0,2,2,1.0,2,3,5,1,0,3,1,2,6,5.9,-4,0.436,0.333,0.0,0.333,17.2,16.5,16.8,6.5,0.0,9.8,12.7,20.1,100,99,-4.7
2010-11,2011-01-12,BUC,SPU,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-01-14,BUC,76E,76E,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-01-17,BUC,ROC,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-01-19,BUC,WIZ,BUC,1.97,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,2,2.0,0,0.532,0.0,0.0,2.0,67.8,0.0,31.7,0.0,0.0,0.0,0.0,45.4,141,102,2.3
2010-11,2011-01-21,BUC,CAV,CAV,14.25,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,0,1,1,1,0,3,4,1,4,1.4,8,0.667,0.667,0.0,0.0,0.0,8.4,4.5,10.4,0.0,16.6,57.1,23.2,54,93,-4.9
2010-11,2011-01-22,BUC,GRI,BUC,26.75,6,11,0.545,6,11,0.545,0,0,0.0,0,0,0.0,4,2,6,0,0,3,0,3,12,11.0,-6,0.545,0.545,0.0,0.0,13.3,11.6,12.7,0.0,0.0,8.4,0.0,18.9,122,110,1.7
2010-11,2011-01-24,BUC,BUL,BUL,9.23,0,3,0.0,0,3,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-1.5,-7,0.0,0.0,0.0,0.0,0.0,22.1,12.1,0.0,0.0,0.0,0.0,16.6,0,108,-16.0
2010-11,2011-01-26,BUC,HAW,BUC,13.23,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0.0,0,4,4,0,0,3,0,1,8,7.6,3,0.571,0.571,0.0,0.0,0.0,33.7,16.9,0.0,0.0,18.1,0.0,25.9,107,85,8.9
2010-11,2011-01-28,BUC,RAP,RAP,5.73,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.0,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.6,0,119,-13.4
2010-11,2011-01-29,BUC,NNE,BUC,2.27,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,1,0,1,0,0,0,0,0,2,2.0,-3,0.532,0.0,0.0,2.0,52.9,0.0,25.8,0.0,0.0,0.0,0.0,42.0,145,108,4.4
2010-11,2011-01-31,BUC,CLI,CLI,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-02-03,BUC,WAR,WAR,14.07,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,0,0,2,2,2,-1.1,-8,0.5,0.5,0.0,0.0,7.1,0.0,4.0,0.0,0.0,0.0,50.0,12.4,53,122,-18.5
2010-11,2011-02-05,BUC,PIS,BUC,8.82,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,4,0,-2.4,-1,0.0,0.0,0.0,0.0,0.0,34.0,14.7,0.0,0.0,0.0,0.0,11.1,0,103,-21.1
2010-11,2011-02-14,BUC,CLI,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2010-11,2011-02-16,BUC,NUG,BUC,6.07,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0.0,0,2,2,0,0,0,1,1,6,3.6,7,0.75,0.75,0.0,0.0,0.0,39.6,18.8,0.0,0.0,0.0,20.0,39.8,99,104,5.3
2010-11,2011-02-26,BUC,BUL,BUC,24.1,3,7,0.429,3,7,0.429,0,0,0.0,0,0,0.0,2,1,3,1,0,0,1,3,6,2.5,-18,0.429,0.429,0.0,0.0,9.3,4.6,6.9,8.7,0.0,0.0,12.5,16.9,92,112,-4.1
2010-11,2011-03-01,BUC,PIS,BUC,30.45,1,6,0.167,1,6,0.167,0,0,0.0,0,2,0.0,1,7,8,0,0,3,2,5,2,-1.7,3,0.145,0.167,0.0,0.333,3.4,22.1,13.1,0.0,0.0,6.5,22.5,12.9,32,96,-12.8
2010-11,2011-03-04,BUC,SUN,BUC,26.07,5,10,0.5,5,10,0.5,0,0,0.0,0,0,0.0,2,3,5,0,1,1,2,6,10,4.6,-19,0.5,0.5,0.0,0.0,8.2,14.9,11.2,0.0,2.0,3.5,16.7,20.9,92,110,-6.9
2010-11,2011-03-06,BUC,CEL,BUC,24.78,4,10,0.4,4,10,0.4,0,0,0.0,0,0,0.0,2,5,7,0,1,0,1,3,8,4.3,-2,0.4,0.4,0.0,0.0,9.2,32.3,18.8,0.0,2.2,0.0,9.1,20.9,83,103,-7.0
2010-11,2011-03-08,BUC,WIZ,WIZ,20.68,2,7,0.286,2,7,0.286,0,0,0.0,2,3,0.667,4,2,6,2,0,2,1,4,6,5.1,0,0.361,0.286,0.0,0.429,21.6,9.1,14.8,14.8,0.0,6.4,10.7,21.0,97,86,-5.6
2010-11,2011-03-09,BUC,CAV,BUC,21.82,6,9,0.667,6,9,0.667,0,0,0.0,0,0,0.0,0,5,5,1,0,0,2,2,12,7.5,2,0.667,0.667,0.0,0.0,0.0,28.9,15.5,7.4,0.0,0.0,18.2,24.1,103,100,-2.2
2010-11,2011-03-12,BUC,76E,BUC,26.48,4,6,0.667,4,6,0.667,0,0,0.0,0,2,0.0,1,3,4,1,0,5,0,2,8,9.6,22,0.581,0.667,0.0,0.333,5.3,12.4,9.3,5.5,0.0,14.6,0.0,12.9,126,87,3.7
2010-11,2011-03-13,BUC,CEL,CEL,16.7,1,4,0.25,1,4,0.25,0,0,0.0,1,2,0.5,0,2,2,1,1,0,2,1,3,0.1,-12,0.307,0.25,0.0,0.5,0.0,16.0,7.0,15.0,3.3,0.0,29.1,21.1,48,97,-5.4
2010-11,2011-03-15,BUC,HAW,HAW,11.78,1,5,0.2,1,5,0.2,0,0,0.0,3,4,0.75,2,1,3,0,0,0,0,0,5,3.2,-27,0.37,0.2,0.0,0.8,17.3,16.3,17.0,0.0,0.0,0.0,0.0,26.5,96,127,-9.1
2010-11,2011-03-16,BUC,MAG,BUC,17.93,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,0,0,0,0,2,0,0,6,4,1.6,-10,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,11.4,99,99,-4.2
2010-11,2011-03-18,BUC,NNE,BUC,11.48,1,5,0.2,1,5,0.2,0,0,0.0,0,0,0.0,1,2,3,1,1,0,1,1,2,0.5,-2,0.2,0.2,0.0,0.0,13.5,21.4,17.9,10.0,4.7,0.0,16.7,26.7,59,100,-14.7
2010-11,2011-03-20,BUC,KNI,BUC,7.0,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,2,2,0.5,-7,0.333,0.333,0.0,0.0,0.0,14.6,7.7,0.0,0.0,10.4,0.0,20.5,73,102,-10.4
2010-11,2011-03-23,BUC,KIN,BUC,15.45,5,7,0.714,5,7,0.714,0,0,0.0,0,0,0.0,1,3,4,1,2,3,0,2,10,12.7,5,0.714,0.714,0.0,0.0,8.0,23.3,15.7,14.5,7.0,12.9,0.0,21.7,145,88,22.7
2010-11,2011-03-25,BUC,KNI,KNI,21.05,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0.0,0,3,3,1,0,2,2,4,6,3.8,-6,0.75,0.75,0.0,0.0,0.0,13.7,8.3,7.1,0.0,6.4,33.3,14.1,96,107,-2.0
2010-11,2011-03-26,BUC,BUL,BUC,15.33,2,6,0.333,2,6,0.333,0,0,0.0,1,1,1.0,0,0,0,0,0,1,0,3,5,1.1,0,0.388,0.333,0.0,0.167,0.0,0.0,0.0,0.0,0.0,5.4,0.0,20.3,80,112,-8.0
2010-11,2011-03-28,BUC,BOB,BOB,13.33,1,3,0.333,1,3,0.333,0,0,0.0,0,1,0.0,0,4,4,0,1,1,1,2,2,1.0,3,0.291,0.333,0.0,0.333,0.0,43.6,17.3,0.0,4.4,6.3,22.5,15.7,46,91,-7.4
2010-11,2011-04-01,BUC,PAC,PAC,0.62,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,-5.9
2010-11,2011-04-02,BUC,76E,BUC,10.5,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,2,1,0,0,0.3,3,0.0,0.0,0.0,0.0,0.0,20.2,11.7,0.0,0.0,13.8,50.0,9.8,0,81,-1.9
2010-11,2011-04-05,BUC,MAG,MAG,6.92,0,1,0.0,0,1,0.0,0,0,0.0,1,2,0.5,0,0,0,0,1,0,0,3,1,-0.3,0,0.266,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,13.0,58,76,-5.2
2010-11,2011-04-06,BUC,HEA,HEA,4.2,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,2,0.2,-3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,97,112,-14.8
2010-11,2011-04-08,BUC,PIS,PIS,12.9,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,0,0,2,0,2,4,4.6,4,0.667,0.667,0.0,0.0,8.5,20.1,13.8,0.0,0.0,10.8,0.0,10.6,144,117,2.2
2010-11,2011-04-09,BUC,CAV,BUC,6.48,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0.0,2,1,3,0,0,2,0,2,2,2.6,-2,0.333,0.333,0.0,0.0,41.1,20.0,30.4,0.0,0.0,24.7,0.0,22.3,105,92,-6.8
2010-11,2011-04-11,BUC,RAP,BUC,12.47,1,1,1.0,1,1,1.0,0,0,0.0,1,2,0.5,1,0,1,1,0,1,1,1,3,3.0,-8,0.798,1.0,0.0,2.0,9.0,0.0,4.1,13.7,0.0,5.6,34.7,10.6,113,102,1.1
2010-11,2011-04-13,BUC,THU,THU,27.92,5,9,0.556,5,9,0.556,0,0,0.0,0,0,0.0,4,4,8,0,1,2,3,1,10,8.7,13,0.556,0.556,0.0,0.0,16.2,19.5,17.7,0.0,1.9,5.6,25.0,20.2,94,102,-4.2
2011-12,2011-12-26,BUC,BOB,BOB,11.25,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,1,4,4,2.0,0,1.0,1.0,0.0,0.0,0.0,37.1,18.8,0.0,0.0,0.0,33.3,12.1,106,95,-5.8
2011-12,2011-12-27,BUC,TIM,BUC,15.83,2,5,0.4,2,4,0.5,0,1,0.0,0,0,0.0,2,4,6,0,3,1,1,3,4,5.4,3,0.4,0.4,0.2,0.0,11.2,26.9,18.4,0.0,9.4,5.4,16.7,15.8,82,75,1.2
2011-12,2011-12-30,BUC,WIZ,BUC,6.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,1,0,1,0,2,0,0.5,2,0.0,0.0,0.0,0.0,0.0,32.7,18.8,20.5,0.0,11.9,0.0,7.7,63,74,-0.1
2011-12,2012-01-02,BUC,NUG,NUG,2.53,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,107,-13.8
2011-12,2012-01-03,BUC,JAZ,JAZ,16.08,2,5,0.4,2,5,0.4,0,0,0.0,1,2,0.5,3,0,3,0,0,2,0,3,5,4.2,-7,0.425,0.4,0.0,0.4,14.2,0.0,9.1,0.0,0.0,11.3,0.0,15.1,108,95,-0.3
2011-12,2012-01-05,BUC,KIN,KIN,20.55,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0.0,0,3,3,4,2,1,1,4,8,8.5,10,0.571,0.571,0.0,0.0,0.0,14.9,8.1,31.5,4.9,3.3,12.5,17.8,114,100,7.2
2011-12,2012-01-07,BUC,CLI,CLI,12.27,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,3,2,0.8,0,0.532,0.0,0.0,2.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,6.9,142,110,-3.2
