SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,2005-11-02,NUG,LAK,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-04,NUG,BLA,NUG,2.97,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,0,0,1,2,2.6,11,1.0,1.0,0.0,0.0,37.6,53.0,46.7,0.0,0.0,0.0,0.0,14.1,202,52,12.7
2005-06,2005-11-06,NUG,LAK,LAK,2.87,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,0,0.7,-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,0.0,0.0,0,113,5.5
2005-06,2005-11-09,NUG,KIN,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-11,NUG,KIN,KIN,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-13,NUG,TIM,NUG,0.82,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,108,-6.1
2005-06,2005-11-15,NUG,MAV,MAV,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-16,NUG,NOH,NOH,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-18,NUG,KNI,NUG,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-20,NUG,GRI,NUG,9.27,1,2,0.5,1,2,0.5,0,0,0.0,1,1,1.0,2,1,3,0,0,1,0,0,3,4.4,-11,0.615,0.5,0.0,0.5,20.7,10.8,15.9,0.0,0.0,8.5,0.0,11.5,154,95,5.8
2005-06,2005-11-22,NUG,WIZ,WIZ,6.88,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,2,0,-0.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,6.1,52,112,-8.8
2005-06,2005-11-23,NUG,PIS,PIS,12.27,2,2,1.0,2,2,1.0,0,0,0.0,1,1,1.0,2,1,3,1,1,0,1,0,5,6.8,2,1.025,1.0,0.0,0.5,17.0,9.8,13.7,15.0,4.4,0.0,29.1,12.4,146,124,11.3
2005-06,2005-11-25,NUG,CLI,NUG,17.05,3,9,0.333,3,9,0.333,0,0,0.0,1,3,0.333,2,2,4,0,0,0,0,2,7,2.3,11,0.339,0.333,0.0,0.333,13.1,14.8,13.9,0.0,0.0,0.0,0.0,27.5,79,102,-11.1
2005-06,2005-11-28,NUG,NNE,NUG,10.87,2,2,1.0,2,2,1.0,0,0,0.0,2,4,0.5,0,1,1,0,0,1,0,4,6,4.0,-5,0.798,1.0,0.0,2.0,0.0,11.3,5.0,0.0,0.0,8.5,0.0,14.9,156,110,1.6
