SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2001-02,2001-10-30,TIM,76E,TIM,20.43,2,4,0.5,2,4,0.5,0,0,0.0,0,0,0.0,0,2,2,0,0,3,1,3,4,2.5,21,0.5,0.5,0.0,0.0,0.0,11.7,5.9,0.0,0.0,11.1,20.0,11.7,78,93,-3.8
2001-02,2001-11-02,TIM,GRI,TIM,24.45,3,5,0.6,3,5,0.6,0,0,0.0,2,2,1.0,2,5,7,1,1,2,1,1,8,10.3,-1,0.68,0.6,0.0,0.4,10.3,18.5,15.1,5.9,2.0,6.3,14.5,12.2,126,94,4.9
2001-02,2001-11-03,TIM,ROC,ROC,16.4,1,3,0.333,1,3,0.333,0,0,0.0,0,1,0.0,0,4,4,0,0,1,1,2,2,0.0,1,0.291,0.333,0.0,0.333,0.0,26.7,13.6,0.0,0.0,4.5,22.5,13.0,45,95,-9.4
2001-02,2001-11-06,TIM,KNI,TIM,11.45,0,1,0.0,0,1,0.0,0,0,0.0,2,2,1.0,2,1,3,2,0,0,1,1,2,3.0,-9,0.532,0.0,0.0,2.0,21.8,11.8,17.0,21.3,0.0,0.0,34.7,12.2,121,116,-0.4
2001-02,2001-11-08,TIM,BUL,TIM,16.37,1,1,1.0,1,1,1.0,0,0,0.0,4,4,1.0,0,2,2,1,1,3,0,4,6,8.5,-2,1.087,1.0,0.0,4.0,0.0,14.6,8.8,6.1,3.3,13.6,0.0,8.3,233,70,13.2
2001-02,2001-11-10,TIM,BUC,BUC,20.15,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,2,4,1,0,0,0,2,0,1.9,-4,0.0,0.0,0.0,0.0,11.7,10.4,11.0,6.2,0.0,0.0,0.0,0.0,207,99,0.5
2001-02,2001-11-13,TIM,CAV,TIM,2.72,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-1.9,-4,0.0,0.0,0.0,0.0,0.0,37.2,19.8,0.0,0.0,0.0,0.0,30.9,0,107,-47.7
2001-02,2001-11-16,TIM,PAC,PAC,0.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,-0.8,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,113,-47.8
2001-02,2001-11-17,TIM,MAG,TIM,1.68,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,-0.4,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,108,-14.0
2001-02,2001-11-20,TIM,HEA,HEA,3.72,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,0,0,-0.7,-7,0.0,0.0,0.0,0.0,0.0,27.3,13.8,0.0,0.0,0.0,100.0,12.2,0,88,-17.1
