SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2018-10-17,MAV,SUN,SUN,31.78,5,16,0.313,5,11,0.455,0,5,0.0,0,2,0.0,2,6,8,4,0,0,4,3,10,0.8,-18,0.296,0.313,0.313,0.125,6.3,26.7,14.7,19.8,0.0,0.0,19.2,29.8,62,135,-19.4
2018-19,2018-10-20,MAV,TIM,MAV,36.23,8,16,0.5,4,7,0.571,4,9,0.444,6,9,0.667,1,5,6,3,2,1,6,3,26,16.6,6,0.651,0.625,0.563,0.563,3.2,20.1,10.6,10.3,2.4,2.3,23.1,26.7,108,123,-0.5
2018-19,2018-10-22,MAV,BUL,MAV,35.8,7,14,0.5,4,6,0.667,3,8,0.375,2,2,1.0,0,3,3,6,1,0,3,3,19,13.9,5,0.638,0.607,0.571,0.143,0.0,11.5,5.4,26.3,1.4,0.0,16.8,20.4,121,113,1.8
2018-19,2018-10-24,MAV,HAW,HAW,34.18,7,18,0.389,5,9,0.556,2,9,0.222,5,8,0.625,0,9,9,2,1,1,3,2,21,12.0,-12,0.488,0.444,0.5,0.444,0.0,23.8,11.9,10.0,1.3,2.6,12.2,28.8,88,101,-1.7
2018-19,2018-10-26,MAV,RAP,RAP,35.15,7,14,0.5,3,8,0.375,4,6,0.667,4,4,1.0,1,4,5,4,0,0,3,1,22,16.3,0,0.698,0.643,0.429,0.286,2.8,11.9,7.3,19.2,0.0,0.0,16.0,22.0,123,121,4.7
2018-19,2018-10-28,MAV,JAZ,MAV,36.88,5,13,0.385,3,7,0.429,2,6,0.333,2,2,1.0,1,5,6,5,1,0,5,1,14,8.2,4,0.504,0.462,0.462,0.154,2.8,16.7,9.1,20.7,1.3,0.0,26.5,21.4,86,115,-4.1
2018-19,2018-10-29,MAV,SPU,SPU,39.92,11,18,0.611,7,12,0.583,4,6,0.667,5,6,0.833,2,6,8,4,1,1,6,0,31,24.1,5,0.751,0.722,0.333,0.333,6.0,17.3,11.8,18.7,1.2,1.9,22.5,29.4,122,102,11.4
2018-19,2018-10-31,MAV,LAK,LAK,28.13,5,11,0.455,2,5,0.4,3,6,0.5,1,2,0.5,1,4,5,7,1,0,2,2,14,12.9,-13,0.589,0.591,0.545,0.182,4.2,18.0,10.8,34.6,1.6,0.0,14.4,20.2,123,108,7.7
2018-19,2018-11-02,MAV,KNI,MAV,34.97,8,15,0.533,6,9,0.667,2,6,0.333,0,1,0.0,2,7,9,6,1,0,4,3,18,13.8,-10,0.583,0.6,0.4,0.067,6.7,24.6,15.4,28.4,1.4,0.0,20.6,24.4,107,120,1.2
2018-19,2018-11-06,MAV,WIZ,MAV,33.27,9,16,0.563,7,9,0.778,2,7,0.286,3,3,1.0,1,6,7,3,1,0,5,2,23,15.2,11,0.664,0.625,0.438,0.188,3.9,19.2,12.3,16.6,1.5,0.0,22.4,29.0,107,102,0.2
