SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2005-06,2005-11-02,ROC,KIN,ROC,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-05,ROC,NOH,ROC,13.42,2,4,0.5,1,1,1.0,1,3,0.333,0,0,0.0,0,1,1,2,0,0,1,3,5,2.5,0,0.625,0.625,0.75,0.0,0.0,7.3,4.0,38.0,0.0,0.0,20.0,17.3,108,109,-1.0
2005-06,2005-11-08,ROC,MAG,ROC,14.63,2,4,0.5,1,2,0.5,1,2,0.5,2,2,1.0,0,2,2,2,1,0,2,2,7,5.2,9,0.717,0.625,0.5,0.5,0.0,16.8,8.5,33.7,3.9,0.0,29.1,25.0,104,89,4.9
2005-06,2005-11-10,ROC,HEA,HEA,12.77,2,4,0.5,2,3,0.667,0,1,0.0,1,2,0.5,1,0,1,2,1,0,0,1,5,5.3,-8,0.512,0.5,0.25,0.5,8.5,0.0,4.2,30.7,4.4,0.0,0.0,18.3,127,103,9.0
2005-06,2005-11-12,ROC,NNE,NNE,29.48,3,10,0.3,0,4,0.0,3,6,0.5,0,0,0.0,0,2,2,3,1,0,1,3,9,4.7,4,0.45,0.45,0.6,0.0,0.0,7.9,4.3,17.4,1.9,0.0,9.1,19.0,96,111,-2.6
2005-06,2005-11-13,ROC,CEL,CEL,20.08,2,9,0.222,1,7,0.143,1,2,0.5,3,6,0.5,0,3,3,0,1,0,1,1,8,1.8,-1,0.344,0.278,0.222,0.667,0.0,17.1,8.2,0.0,2.6,0.0,7.9,28.4,72,112,-7.6
2005-06,2005-11-15,ROC,TIM,TIM,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2005-06,2005-11-17,ROC,SPU,SPU,19.17,4,7,0.571,1,3,0.333,3,4,0.75,0,0,0.0,0,1,1,0,1,0,1,0,11,8.0,4,0.786,0.786,0.571,0.0,0.0,6.3,3.3,0.0,2.9,0.0,12.5,20.5,131,101,14.1
2005-06,2005-11-18,ROC,PIS,ROC,8.75,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,2,0.6,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,110,104,-4.7
2005-06,2005-11-20,ROC,PAC,PAC,33.18,3,8,0.375,2,4,0.5,1,4,0.25,0,0,0.0,0,3,3,2,1,0,1,4,7,3.3,-2,0.438,0.438,0.5,0.0,0.0,10.8,5.7,11.7,1.7,0.0,11.1,13.6,85,100,-1.2
2005-06,2005-11-22,ROC,MAV,MAV,43.07,9,17,0.529,4,9,0.444,5,8,0.625,5,5,1.0,0,7,7,3,0,0,3,5,28,18.9,-14,0.729,0.676,0.471,0.294,0.0,18.1,9.9,15.9,0.0,0.0,13.5,27.0,129,124,5.5
2005-06,2005-11-23,ROC,SUN,ROC,39.73,5,13,0.385,1,5,0.2,4,8,0.5,1,2,0.5,2,8,10,4,1,0,3,2,15,11.3,-11,0.54,0.538,0.615,0.154,4.9,21.5,12.9,17.9,1.4,0.0,17.8,19.6,101,110,3.0
