SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2006-07,2006-11-01,NNE,RAP,NNE,23.48,2,9,0.222,2,5,0.4,0,4,0.0,3,3,1.0,0,8,8,3,0,0,4,2,7,1.2,12,0.339,0.222,0.444,0.333,0.0,32.7,18.2,17.1,0.0,0.0,27.9,26.2,61,87,-11.7
2006-07,2006-11-03,NNE,HEA,HEA,15.82,2,7,0.286,2,4,0.5,0,3,0.0,0,0,0.0,2,1,3,2,0,0,2,3,4,-0.2,-1,0.286,0.286,0.429,0.0,13.5,7.4,10.6,25.4,0.0,0.0,22.2,26.6,65,102,-11.3
2006-07,2006-11-08,NNE,JAZ,NNE,17.4,3,5,0.6,2,3,0.667,1,2,0.5,1,1,1.0,0,0,0,2,0,0,3,0,8,4.1,-2,0.735,0.7,0.4,0.2,0.0,0.0,0.0,26.6,0.0,0.0,35.5,23.9,95,109,-1.0
2006-07,2006-11-10,NNE,HEA,NNE,21.37,4,12,0.333,4,7,0.571,0,5,0.0,2,2,1.0,1,1,2,4,0,1,3,3,10,3.5,11,0.388,0.333,0.417,0.167,5.6,5.8,5.7,33.3,0.0,3.6,18.9,33.5,78,114,-10.0
2006-07,2006-11-12,NNE,WIZ,WIZ,22.18,4,10,0.4,4,8,0.5,0,2,0.0,0,0,0.0,0,2,2,0,0,0,1,3,8,1.0,-12,0.4,0.4,0.2,0.0,0.0,8.5,4.9,0.0,0.0,0.0,9.1,25.5,65,102,-15.5
2006-07,2006-11-13,NNE,SUP,NNE,22.27,4,9,0.444,3,8,0.375,1,1,1.0,2,2,1.0,0,4,4,1,0,0,2,4,11,4.6,7,0.557,0.5,0.111,0.222,0.0,19.6,10.8,6.7,0.0,0.0,16.8,24.9,97,130,-12.0
2006-07,2006-11-15,NNE,BUC,NNE,21.48,2,5,0.4,2,5,0.4,0,0,0.0,0,0,0.0,1,2,3,6,0,0,2,4,4,3.2,2,0.4,0.4,0.0,0.0,7.2,10.2,8.9,41.2,0.0,0.0,28.6,15.4,99,97,-5.9
2006-07,2006-11-17,NNE,PAC,PAC,19.18,0,3,0.0,0,2,0.0,0,1,0.0,6,6,1.0,0,4,4,2,0,0,2,1,6,4.1,16,0.532,0.0,0.333,2.0,0.0,22.2,11.8,14.7,0.0,0.0,26.2,18.5,96,101,-7.6
2006-07,2006-11-18,NNE,BLA,NNE,19.12,1,5,0.2,1,4,0.25,0,1,0.0,0,0,0.0,0,0,0,3,0,0,0,0,2,1.0,2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,36.8,0.0,0.0,0.0,13.1,66,113,-6.6
2006-07,2006-11-20,NNE,SUP,SUP,16.7,3,6,0.5,2,3,0.667,1,3,0.333,1,2,0.5,0,1,1,4,0,0,2,1,8,5.3,3,0.581,0.583,0.5,0.333,0.0,6.5,3.7,47.2,0.0,0.0,22.5,24.5,105,113,2.0
2006-07,2006-11-22,NNE,BLA,BLA,13.85,2,6,0.333,2,5,0.4,0,1,0.0,0,0,0.0,0,2,2,3,1,0,1,1,4,2.9,-1,0.333,0.333,0.167,0.0,0.0,17.3,10.0,30.5,4.4,0.0,14.3,26.5,85,118,-7.3
2006-07,2006-11-24,NNE,SUN,SUN,18.78,11,17,0.647,11,15,0.733,0,2,0.0,5,6,0.833,0,3,3,4,0,0,2,1,27,20.4,16,0.687,0.647,0.118,0.353,0.0,20.2,8.9,93.9,0.0,0.0,9.2,46.3,139,108,26.3
2006-07,2006-11-26,NNE,LAK,LAK,17.55,6,11,0.545,4,6,0.667,2,5,0.4,0,0,0.0,0,0,0,1,0,0,2,0,14,7.4,-11,0.636,0.636,0.455,0.0,0.0,0.0,0.0,14.7,0.0,0.0,15.4,35.1,99,118,1.5
2006-07,2006-11-28,NNE,BOB,NNE,11.73,0,3,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,0,1,0,0,1,1,0,-2.8,-17,0.0,0.0,0.667,0.0,0.0,0.0,0.0,14.6,0.0,0.0,25.0,15.9,13,111,-21.3
2006-07,2006-11-29,NNE,CEL,CEL,21.27,3,6,0.5,2,4,0.5,1,2,0.5,1,1,1.0,0,2,2,7,1,0,0,0,8,11.5,7,0.621,0.583,0.333,0.167,0.0,11.9,5.9,54.1,2.6,0.0,0.0,14.5,153,117,10.4
2006-07,2006-12-02,NNE,76E,NNE,12.33,1,5,0.2,1,4,0.25,0,1,0.0,0,0,0.0,1,0,1,2,0,0,1,0,2,0.0,-2,0.2,0.2,0.2,0.0,8.5,0.0,4.1,20.4,0.0,0.0,16.7,20.4,64,118,-13.0
2006-07,2006-12-05,NNE,MAV,NNE,11.75,0,5,0.0,0,4,0.0,0,1,0.0,0,0,0.0,1,1,2,1,0,0,3,0,0,-4.8,-4,0.0,0.0,0.2,0.0,8.7,9.5,9.1,15.7,0.0,0.0,37.5,32.5,12,112,-28.6
2006-07,2006-12-07,NNE,SUN,NNE,32.58,8,11,0.727,6,7,0.857,2,4,0.5,0,0,0.0,0,3,3,5,1,0,2,2,18,16.1,3,0.818,0.818,0.364,0.0,0.0,10.5,6.0,19.5,1.4,0.0,15.4,16.8,140,128,5.0
2006-07,2006-12-09,NNE,CEL,NNE,15.0,1,6,0.167,1,4,0.25,0,2,0.0,0,0,0.0,0,1,1,6,0,0,0,1,2,2.3,-10,0.167,0.167,0.333,0.0,0.0,6.3,3.4,64.4,0.0,0.0,0.0,18.6,89,111,-5.0
2006-07,2006-12-11,NNE,GRI,NNE,15.22,2,2,1.0,0,0,0.0,2,2,1.0,0,0,0.0,0,3,3,4,1,0,4,2,6,5.3,1,1.5,1.5,1.0,0.0,0.0,22.5,11.5,37.5,3.4,0.0,66.7,17.6,89,95,3.0
2006-07,2006-12-13,NNE,BUC,NNE,15.63,3,9,0.333,1,4,0.25,2,5,0.4,0,0,0.0,0,1,1,1,3,0,2,3,8,3.7,10,0.444,0.444,0.556,0.0,0.0,7.7,4.1,10.7,10.5,0.0,18.2,31.8,84,93,-3.4
2006-07,2006-12-15,NNE,RAP,RAP,22.42,3,9,0.333,3,7,0.429,0,2,0.0,0,0,0.0,0,1,1,2,2,0,2,1,6,2.2,4,0.333,0.333,0.222,0.0,0.0,4.8,2.4,18.2,4.9,0.0,18.2,23.6,64,99,-3.5
2006-07,2006-12-16,NNE,PIS,NNE,12.08,2,7,0.286,2,4,0.5,0,3,0.0,0,0,0.0,1,1,2,1,0,0,2,2,4,-1.2,-7,0.286,0.286,0.429,0.0,9.2,11.3,10.2,18.9,0.0,0.0,22.2,34.6,57,109,-17.9
2006-07,2006-12-18,NNE,WAR,NNE,12.85,2,8,0.25,1,6,0.167,1,2,0.5,0,0,0.0,0,0,0,4,2,0,1,0,5,4.0,4,0.313,0.313,0.25,0.0,0.0,0.0,0.0,48.9,7.4,0.0,11.1,27.6,81,88,5.1
2006-07,2006-12-20,NNE,CAV,NNE,10.28,2,4,0.5,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,2,0,0,1,1,5,3.3,8,0.625,0.625,0.5,0.0,0.0,10.1,6.0,31.5,0.0,0.0,20.0,22.8,110,120,-1.0
2006-07,2006-12-22,NNE,LAK,NNE,12.27,2,5,0.4,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,3,1,0,0,0,5,5.4,-6,0.5,0.5,0.4,0.0,0.0,0.0,0.0,43.2,4.4,0.0,0.0,19.6,118,109,8.6
2006-07,2006-12-23,NNE,BUC,BUC,9.33,2,6,0.333,1,4,0.25,1,2,0.5,0,0,0.0,3,0,3,1,0,0,0,0,5,4.4,-7,0.417,0.417,0.333,0.0,29.7,0.0,18.4,17.9,0.0,0.0,0.0,27.1,116,126,2.9
2006-07,2006-12-26,NNE,PIS,PIS,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2006-07,2006-12-27,NNE,ROC,NNE,17.05,1,5,0.2,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,4,0,0,2,2,2,-0.8,-11,0.2,0.2,0.2,0.0,0.0,7.4,3.3,53.2,0.0,0.0,28.6,20.3,47,118,-15.8
2006-07,2006-12-29,NNE,HEA,HEA,13.63,3,4,0.75,2,2,1.0,1,2,0.5,1,1,1.0,0,0,0,1,0,0,1,1,8,5.7,-9,0.901,0.875,0.5,0.25,0.0,0.0,0.0,15.0,0.0,0.0,18.4,19.9,139,105,5.2
2006-07,2006-12-30,NNE,TIM,NNE,15.47,0,5,0.0,0,3,0.0,0,2,0.0,0,0,0.0,0,0,0,7,0,0,0,1,0,1.0,9,0.0,0.0,0.4,0.0,0.0,0.0,0.0,54.3,0.0,0.0,0.0,16.0,85,116,-8.4
2006-07,2007-01-05,NNE,BUL,NNE,11.28,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,3,3,0,2,0,2,4.7,3,0.5,0.5,0.0,0.0,0.0,19.8,9.2,56.1,13.2,0.0,50.0,15.1,71,68,12.9
2006-07,2007-01-06,NNE,CAV,CAV,14.27,3,4,0.75,3,4,0.75,0,0,0.0,0,0,0.0,0,2,2,2,0,0,2,1,6,4.0,8,0.75,0.75,0.0,0.0,0.0,14.3,8.1,27.0,0.0,0.0,33.3,20.5,103,110,-1.5
2006-07,2007-01-09,NNE,RAP,NNE,16.92,2,2,1.0,2,2,1.0,0,0,0.0,0,0,0.0,1,1,2,4,0,0,3,2,4,3.4,-10,1.0,1.0,0.0,0.0,7.3,6.9,7.1,33.1,0.0,0.0,60.0,13.9,100,99,-2.1
2006-07,2007-01-15,NNE,PAC,NNE,17.28,3,5,0.6,0,2,0.0,3,3,1.0,0,0,0.0,0,4,4,2,1,0,2,0,9,8.3,-5,0.9,0.9,0.6,0.0,0.0,27.1,13.1,17.5,3.1,0.0,28.6,18.9,114,98,8.8
2006-07,2007-01-17,NNE,BOB,BOB,14.63,3,6,0.5,2,4,0.5,1,2,0.5,0,1,0.0,1,0,1,4,0,0,0,1,7,6.7,5,0.543,0.583,0.333,0.167,7.0,0.0,3.5,52.2,0.0,0.0,0.0,21.7,135,111,7.5
2006-07,2007-01-19,NNE,KNI,KNI,6.87,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,2,0,0,-1.7,5,0.0,0.0,0.0,0.0,0.0,20.6,9.2,34.1,0.0,0.0,50.0,27.4,27,112,-23.9
2006-07,2007-01-20,NNE,MAG,NNE,5.93,1,2,0.5,1,1,1.0,0,1,0.0,4,5,0.8,0,2,2,2,0,0,3,0,6,3.6,-8,0.714,0.5,0.5,2.5,0.0,42.6,18.8,65.0,0.0,0.0,41.7,57.1,93,104,-4.3
2006-07,2007-01-22,NNE,KIN,KIN,7.02,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,-1.7,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13.5,0,109,-22.5
2006-07,2007-01-24,NNE,WAR,WAR,25.43,7,14,0.5,4,8,0.5,3,6,0.5,0,0,0.0,0,4,4,7,2,0,1,1,17,16.7,3,0.607,0.607,0.429,0.0,0.0,17.6,10.1,49.3,3.8,0.0,6.7,26.0,126,104,12.7
2006-07,2007-01-25,NNE,CLI,CLI,28.68,5,10,0.5,5,8,0.625,0,2,0.0,6,7,0.857,1,4,5,4,1,0,2,3,16,13.1,-5,0.612,0.5,0.2,0.7,5.1,17.2,11.6,22.6,1.8,0.0,13.3,25.0,120,109,2.9
2006-07,2007-01-27,NNE,NUG,NUG,17.05,3,9,0.333,1,5,0.2,2,4,0.5,3,4,0.75,0,2,2,2,0,0,2,0,11,5.5,4,0.511,0.444,0.444,0.444,0.0,14.4,6.8,18.4,0.0,0.0,15.7,32.9,95,109,-4.6
2006-07,2007-01-29,NNE,JAZ,JAZ,16.22,4,9,0.444,4,6,0.667,0,3,0.0,4,4,1.0,0,1,1,6,1,0,0,0,12,12.8,-2,0.558,0.444,0.333,0.444,0.0,9.2,4.6,67.9,3.3,0.0,0.0,33.1,136,128,8.0
