SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2012-13,2012-11-02,BOB,PAC,BOB,19.62,1,7,0.143,1,7,0.143,0,0,0.0,0,0,0.0,2,5,7,1,0,2,1,0,2,1.5,12,0.143,0.143,0.0,0.0,10.2,27.2,18.4,8.6,0.0,8.6,12.5,18.5,47,93,-9.4
2012-13,2012-11-03,BOB,MAV,MAV,27.17,4,8,0.5,4,8,0.5,0,0,0.0,5,9,0.556,3,2,5,2,5,1,3,1,13,13.8,7,0.543,0.5,0.0,1.125,10.6,11.4,10.9,11.1,9.1,3.2,20.1,23.7,100,114,4.0
2012-13,2012-11-07,BOB,SUN,BOB,29.15,4,10,0.4,4,10,0.4,0,0,0.0,1,1,1.0,2,6,8,3,0,3,3,3,9,6.8,4,0.431,0.4,0.0,0.1,7.7,21.5,14.8,15.7,0.0,7.5,22.3,20.0,87,123,-7.5
2012-13,2012-11-09,BOB,NHO,NHO,33.08,5,9,0.556,4,8,0.5,1,1,1.0,1,1,1.0,2,4,6,0,2,3,2,3,12,11.2,-5,0.636,0.611,0.111,0.111,6.9,14.9,10.7,0.0,3.4,7.1,17.5,16.1,114,117,-0.4
2012-13,2012-11-10,BOB,MAV,BOB,41.07,8,12,0.667,8,12,0.667,0,0,0.0,9,10,0.9,5,7,12,0,1,2,0,4,25,25.8,19,0.762,0.667,0.0,0.833,11.5,22.6,16.1,0.0,1.3,4.3,0.0,17.0,171,96,10.1
2012-13,2012-11-13,BOB,WIZ,BOB,27.33,6,11,0.545,6,11,0.545,0,0,0.0,3,3,1.0,2,6,8,2,0,1,2,5,15,11.0,2,0.609,0.545,0.0,0.273,7.8,19.2,14.0,17.2,0.0,3.3,14.0,24.2,115,82,1.2
2012-13,2012-11-14,BOB,TIM,TIM,16.95,1,4,0.25,1,4,0.25,0,0,0.0,0,0,0.0,1,1,2,2,0,0,2,3,2,-1.2,-5,0.25,0.25,0.0,0.0,6.6,5.3,5.9,16.1,0.0,0.0,33.3,16.2,57,102,-14.3
2012-13,2012-11-17,BOB,GRI,BOB,21.72,3,4,0.75,3,4,0.75,0,0,0.0,6,10,0.6,4,4,8,1,1,1,3,5,12,10.2,1,0.714,0.75,0.0,2.5,18.8,20.6,19.6,8.7,2.4,3.3,26.3,22.2,113,96,5.1
2012-13,2012-11-19,BOB,BUC,BOB,29.73,4,13,0.308,4,13,0.308,0,0,0.0,7,8,0.875,4,5,9,4,1,1,1,0,15,14.9,5,0.454,0.308,0.0,0.615,15.7,19.2,17.5,21.9,1.6,2.1,5.7,25.4,112,98,3.7
2012-13,2012-11-21,BOB,RAP,BOB,30.83,4,7,0.571,4,7,0.571,0,0,0.0,6,7,0.857,1,2,3,2,2,0,0,2,14,14.2,-2,0.694,0.571,0.0,1.0,4.3,8.4,6.4,10.5,3.3,0.0,0.0,14.2,154,105,5.5
2012-13,2012-11-23,BOB,HAW,BOB,33.85,5,11,0.455,5,11,0.455,0,0,0.0,1,2,0.5,0,7,7,0,2,4,1,5,11,8.8,-20,0.463,0.455,0.0,0.182,0.0,27.6,12.9,0.0,2.9,10.1,7.8,17.0,84,96,-3.1
2012-13,2012-11-24,BOB,WIZ,WIZ,24.4,5,10,0.5,5,10,0.5,0,0,0.0,0,0,0.0,0,8,8,3,2,0,1,6,10,8.1,7,0.5,0.5,0.0,0.0,0.0,35.9,20.4,32.2,4.4,0.0,9.1,22.6,98,84,1.0
2012-13,2012-11-26,BOB,THU,THU,22.47,3,9,0.333,3,9,0.333,0,0,0.0,2,2,1.0,2,1,3,0,0,1,1,1,8,3.9,-32,0.405,0.333,0.0,0.222,7.6,6.1,7.0,0.0,0.0,4.2,9.2,23.3,82,133,-8.8
2012-13,2012-11-28,BOB,HAW,HAW,23.63,3,9,0.333,3,8,0.375,0,1,0.0,0,0,0.0,0,3,3,1,1,1,2,0,6,2.2,6,0.333,0.333,0.111,0.0,0.0,11.9,6.8,8.5,2.3,3.5,18.2,21.9,61,105,-8.3
2012-13,2012-11-30,BOB,76E,BOB,27.9,5,10,0.5,5,10,0.5,0,0,0.0,0,0,0.0,1,7,8,2,1,0,0,0,10,10.2,-12,0.5,0.5,0.0,0.0,4.4,29.4,17.2,11.3,2.0,0.0,0.0,17.0,119,117,-1.5
2012-13,2012-12-03,BOB,BLA,BOB,26.5,4,8,0.5,4,8,0.5,0,0,0.0,0,0,0.0,1,2,3,3,0,2,1,0,8,7.8,11,0.5,0.5,0.0,0.0,4.5,8.9,6.7,18.2,0.0,7.0,11.1,16.0,105,119,-1.1
2012-13,2012-12-05,BOB,KNI,BOB,26.6,6,8,0.75,6,8,0.75,0,0,0.0,0,0,0.0,1,2,3,2,0,1,4,3,12,7.0,-10,0.75,0.75,0.0,0.0,4.7,7.5,6.3,12.8,0.0,3.5,33.3,21.3,96,113,-3.9
2012-13,2012-12-07,BOB,BUC,BUC,31.83,4,4,1.0,4,4,1.0,0,0,0.0,3,6,0.5,2,9,11,2,0,1,0,5,11,12.8,4,0.828,1.0,0.0,1.5,6.0,25.1,15.9,10.1,0.0,1.9,0.0,9.4,171,113,1.4
2012-13,2012-12-08,BOB,SPU,BOB,25.92,4,7,0.571,4,7,0.571,0,0,0.0,0,0,0.0,1,4,5,6,0,3,2,1,8,10.5,-4,0.571,0.571,0.0,0.0,4.3,23.2,12.3,37.6,0.0,9.9,22.2,16.1,111,135,4.2
2012-13,2012-12-10,BOB,WAR,BOB,33.92,6,10,0.6,6,10,0.6,0,0,0.0,5,6,0.833,1,6,7,3,1,1,3,4,17,13.7,6,0.672,0.6,0.0,0.6,3.2,20.7,11.7,18.9,1.5,2.2,19.2,19.7,116,109,1.2
2012-13,2012-12-12,BOB,CLI,BOB,33.15,3,10,0.3,3,10,0.3,0,0,0.0,5,5,1.0,3,5,8,2,0,1,1,1,11,9.5,-5,0.451,0.3,0.0,0.5,10.1,14.8,12.6,9.4,0.0,2.3,7.6,18.3,108,113,-0.9
2012-13,2012-12-13,BOB,HAW,HAW,26.53,4,9,0.444,4,9,0.444,0,0,0.0,0,0,0.0,4,2,6,1,0,0,1,3,8,5.2,-21,0.444,0.444,0.0,0.0,17.2,12.1,15.1,6.8,0.0,0.0,10.0,17.8,99,129,-8.5
2012-13,2012-12-15,BOB,MAG,BOB,21.08,1,4,0.25,1,4,0.25,0,0,0.0,1,2,0.5,1,4,5,0,0,3,2,4,3,0.6,-2,0.307,0.25,0.0,0.5,5.7,26.8,15.4,0.0,0.0,11.0,29.1,15.4,54,112,-12.1
2012-13,2012-12-18,BOB,LAK,LAK,23.9,3,4,0.75,3,4,0.75,0,0,0.0,1,2,0.5,1,2,3,1,0,1,2,2,7,4.9,-9,0.717,0.75,0.0,0.5,3.8,8.2,5.9,6.3,0.0,3.5,29.1,12.0,102,117,-5.3
2012-13,2012-12-19,BOB,SUN,SUN,35.67,9,14,0.643,9,14,0.643,0,0,0.0,7,8,0.875,5,7,12,4,3,1,0,0,25,30.5,1,0.713,0.643,0.0,0.571,17.7,25.5,21.5,19.3,4.5,2.4,0.0,21.3,168,124,16.8
2012-13,2012-12-21,BOB,WAR,WAR,32.07,5,10,0.5,5,9,0.556,0,1,0.0,2,2,1.0,3,3,6,2,1,1,0,1,12,12.7,-7,0.551,0.5,0.1,0.2,8.3,11.8,9.8,11.7,1.7,2.6,0.0,14.5,134,127,1.2
2012-13,2012-12-22,BOB,NUG,NUG,33.52,5,7,0.714,5,6,0.833,0,1,0.0,1,2,0.5,2,2,4,1,0,3,5,3,11,6.3,-23,0.698,0.714,0.143,0.286,6.2,6.5,6.4,5.5,0.0,6.0,38.8,16.6,82,118,-8.4
2012-13,2012-12-26,BOB,HEA,BOB,22.28,2,6,0.333,2,6,0.333,0,0,0.0,2,2,1.0,0,5,5,2,1,0,2,4,6,2.9,-1,0.436,0.333,0.0,0.333,0.0,26.3,12.5,14.5,2.3,0.0,22.5,18.0,79,108,-5.8
2012-13,2012-12-28,BOB,NET,NET,18.63,1,6,0.167,0,5,0.0,1,1,1.0,0,0,0.0,1,3,4,1,0,0,0,4,3,-0.1,-15,0.25,0.25,0.167,0.0,6.0,21.5,13.0,10.1,0.0,0.0,0.0,15.6,74,116,-9.5
2012-13,2012-12-29,BOB,NHO,BOB,25.8,11,14,0.786,11,14,0.786,0,0,0.0,0,2,0.0,2,7,9,1,1,2,3,4,22,17.8,5,0.739,0.786,0.0,0.143,10.1,30.3,20.9,10.0,2.1,6.4,16.8,32.4,114,100,7.6
2012-13,2013-01-04,BOB,CAV,BOB,21.12,3,10,0.3,3,10,0.3,0,0,0.0,1,2,0.5,3,6,9,2,0,0,2,1,7,3.7,1,0.322,0.3,0.0,0.2,16.2,33.3,24.6,15.1,0.0,0.0,15.5,27.0,76,110,-10.9
2012-13,2013-01-06,BOB,PIS,PIS,32.65,3,10,0.3,3,9,0.333,0,1,0.0,5,5,1.0,4,4,8,0,0,1,0,2,11,9.1,8,0.451,0.3,0.1,0.5,13.3,16.2,14.6,0.0,0.0,3.0,0.0,17.1,124,112,-5.2
2012-13,2013-01-09,BOB,JAZ,BOB,29.12,7,11,0.636,7,11,0.636,0,0,0.0,1,1,1.0,1,7,8,4,2,0,2,3,15,14.5,-27,0.656,0.636,0.0,0.091,3.7,32.1,16.5,21.6,3.4,0.0,14.9,19.7,120,110,4.4
2012-13,2013-01-11,BOB,RAP,RAP,30.6,4,11,0.364,4,11,0.364,0,0,0.0,4,4,1.0,2,3,5,1,1,0,3,3,12,5.7,-14,0.47,0.364,0.0,0.364,7.5,10.0,8.8,7.2,2.0,0.0,19.0,25.3,91,126,-8.8
2012-13,2013-01-12,BOB,PAC,PAC,20.65,2,7,0.286,2,7,0.286,0,0,0.0,0,0,0.0,3,5,8,2,0,0,2,1,4,2.5,8,0.286,0.286,0.0,0.0,17.4,25.3,21.6,14.8,0.0,0.0,22.2,21.1,71,107,-10.1
2012-13,2013-01-14,BOB,CEL,CEL,22.42,5,10,0.5,5,10,0.5,0,0,0.0,0,1,0.0,3,5,8,0,0,0,2,1,10,5.8,-6,0.479,0.5,0.0,0.1,16.9,28.2,22.5,0.0,0.0,0.0,16.1,26.0,90,114,-7.6
2012-13,2013-01-15,BOB,PAC,BOB,31.58,1,5,0.2,1,5,0.2,0,0,0.0,2,3,0.667,1,4,5,1,1,1,2,2,4,2.0,-27,0.316,0.2,0.0,0.6,3.3,13.5,8.4,6.5,1.7,2.3,24.0,13.1,59,112,-8.8
2012-13,2013-01-18,BOB,MAG,MAG,23.15,2,5,0.4,2,4,0.5,0,1,0.0,0,0,0.0,1,2,3,1,0,1,0,0,4,4.0,5,0.4,0.4,0.2,0.0,5.6,9.9,7.9,6.3,0.0,4.3,0.0,9.8,106,113,-3.3
2012-13,2013-01-19,BOB,KIN,BOB,17.87,1,4,0.25,1,4,0.25,0,0,0.0,2,4,0.5,1,2,3,2,0,0,1,1,4,2.1,-2,0.347,0.25,0.0,1.0,6.9,14.1,10.5,19.0,0.0,0.0,14.8,17.9,82,116,-9.1
2012-13,2013-01-21,BOB,ROC,BOB,24.27,4,7,0.571,4,7,0.571,0,0,0.0,1,2,0.5,0,4,4,1,0,1,0,5,9,5.9,-3,0.571,0.571,0.0,0.286,0.0,18.4,9.1,7.6,0.0,4.4,0.0,15.3,118,111,-2.6
2012-13,2013-01-23,BOB,HAW,BOB,24.7,3,6,0.5,3,6,0.5,0,0,0.0,2,2,1.0,0,3,3,1,2,0,1,2,8,6.8,-10,0.581,0.5,0.0,0.333,0.0,13.6,6.8,7.7,4.2,0.0,12.7,14.3,108,109,-2.3
2012-13,2013-01-26,BOB,TIM,BOB,15.18,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,4,2,-0.6,-10,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,105,117,-12.5
2012-13,2013-01-28,BOB,BUL,BUL,28.65,2,9,0.222,2,9,0.222,0,0,0.0,2,2,1.0,0,5,5,0,0,0,0,2,6,1.2,-5,0.304,0.222,0.0,0.222,0.0,18.6,9.4,0.0,0.0,0.0,0.0,16.5,71,110,-9.5
2012-13,2013-01-30,BOB,SPU,SPU,27.73,2,5,0.4,2,4,0.5,0,1,0.0,0,0,0.0,2,2,4,1,4,0,1,0,4,7.0,-14,0.4,0.4,0.2,0.0,9.1,11.9,10.3,6.5,7.5,0.0,16.7,10.0,86,100,2.6
2012-13,2013-02-02,BOB,ROC,ROC,20.03,1,5,0.2,1,5,0.2,0,0,0.0,2,2,1.0,1,4,5,0,0,1,2,2,4,0.7,-1,0.34,0.2,0.0,0.4,5.3,24.0,14.1,0.0,0.0,3.9,25.4,18.4,61,119,-14.4
2012-13,2013-02-08,BOB,LAK,BOB,24.62,1,5,0.2,1,5,0.2,0,0,0.0,2,4,0.5,3,7,10,2,2,1,3,1,4,5.0,-1,0.296,0.2,0.0,0.8,12.2,31.0,21.2,10.8,4.0,3.6,30.7,17.7,65,95,-5.4
2012-13,2013-02-09,BOB,76E,76E,14.4,1,6,0.167,1,6,0.167,0,0,0.0,0,0,0.0,0,2,2,2,0,0,1,1,2,-1.2,-13,0.167,0.167,0.0,0.0,0.0,15.2,6.7,28.2,0.0,0.0,14.3,22.2,40,101,-13.1
2012-13,2013-02-11,BOB,CEL,BOB,15.03,1,4,0.25,1,4,0.25,0,0,0.0,3,3,1.0,1,0,1,1,0,1,0,3,5,3.5,11,0.47,0.25,0.0,0.75,6.9,0.0,3.5,10.7,0.0,5.1,0.0,17.0,118,107,-5.3
2012-13,2013-02-13,BOB,PAC,PAC,18.75,0,3,0.0,0,2,0.0,0,1,0.0,2,2,1.0,0,2,2,0,1,2,0,1,2,2.5,-7,0.258,0.0,0.333,0.667,0.0,10.9,5.2,0.0,2.9,6.7,0.0,9.0,68,109,-2.9
