SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,WIZ,MAG,MAG,38.57,4,13,0.308,3,11,0.273,1,2,0.5,1,2,0.5,0,3,3,4,0,0,5,3,10,-0.4,-12,0.36,0.346,0.154,0.154,0.0,8.8,4.7,18.1,0.0,0.0,26.5,22.0,63,104,-9.3
2000-01,2000-11-01,WIZ,CHO,CHO,28.0,3,8,0.375,2,6,0.333,1,2,0.5,3,3,1.0,0,1,1,3,0,0,3,1,10,4.6,10,0.536,0.438,0.25,0.375,0.0,4.0,2.5,18.5,0.0,0.0,24.4,22.2,89,94,-4.1
2000-01,2000-11-03,WIZ,KNI,WIZ,40.53,6,16,0.375,4,11,0.364,2,5,0.4,4,6,0.667,0,2,2,4,2,1,2,1,18,12.1,4,0.483,0.438,0.313,0.375,0.0,5.7,2.8,20.4,2.7,2.0,9.7,24.6,94,93,5.4
2000-01,2000-11-04,WIZ,RAP,RAP,39.82,8,18,0.444,5,14,0.357,3,4,0.75,3,3,1.0,1,1,2,3,2,0,2,4,22,14.1,3,0.569,0.528,0.222,0.167,2.7,3.2,2.9,12.2,2.5,0.0,9.4,23.3,109,109,3.5
2000-01,2000-11-07,WIZ,BUL,BUL,30.83,3,9,0.333,3,7,0.429,0,2,0.0,5,7,0.714,0,3,3,0,0,1,0,5,11,4.7,1,0.455,0.333,0.222,0.778,0.0,9.7,4.4,0.0,0.0,2.4,0.0,16.3,109,98,-5.5
2000-01,2000-11-08,WIZ,NNE,WIZ,31.85,1,8,0.125,1,5,0.2,0,3,0.0,3,4,0.75,0,4,4,2,1,0,2,2,5,0.2,-7,0.256,0.125,0.375,0.5,0.0,18.8,8.1,10.2,1.5,0.0,17.0,16.3,55,106,-11.4
2000-01,2000-11-10,WIZ,PAC,WIZ,37.43,5,15,0.333,5,13,0.385,0,2,0.0,2,2,1.0,0,1,1,2,0,0,3,3,12,1.0,-6,0.378,0.333,0.133,0.133,0.0,3.1,1.6,12.6,0.0,0.0,15.9,24.7,67,103,-9.6
2000-01,2000-11-11,WIZ,CAV,CAV,43.17,5,12,0.417,4,9,0.444,1,3,0.333,3,3,1.0,1,2,3,4,0,1,3,3,14,8.2,-8,0.526,0.458,0.25,0.25,2.6,5.7,4.1,21.9,0.0,1.8,18.4,17.7,98,101,0.3
2000-01,2000-11-15,WIZ,CEL,CEL,40.23,9,16,0.563,7,12,0.583,2,4,0.5,8,9,0.889,0,0,0,3,3,0,2,5,28,21.1,7,0.701,0.625,0.25,0.563,0.0,0.0,0.0,12.3,3.8,0.0,9.1,25.0,133,122,3.9
2000-01,2000-11-16,WIZ,SPU,WIZ,40.33,5,12,0.417,2,8,0.25,3,4,0.75,2,2,1.0,0,2,2,3,3,0,3,5,15,9.3,-7,0.582,0.542,0.333,0.167,0.0,5.7,2.9,12.0,3.9,0.0,18.9,17.9,101,106,1.5
2000-01,2000-11-18,WIZ,CEL,WIZ,30.98,8,9,0.889,5,6,0.833,3,3,1.0,0,0,0.0,0,2,2,5,3,0,0,2,19,22.2,27,1.056,1.056,0.333,0.0,0.0,6.6,3.9,26.1,5.0,0.0,0.0,13.9,205,97,17.8
2000-01,2000-11-21,WIZ,BLA,WIZ,41.03,9,19,0.474,7,15,0.467,2,4,0.5,4,4,1.0,2,7,9,4,2,0,2,5,24,18.6,-4,0.578,0.526,0.211,0.211,6.0,22.1,13.9,19.1,2.7,0.0,8.8,25.8,121,113,6.5
2000-01,2000-11-24,WIZ,PAC,PAC,31.23,4,13,0.308,4,8,0.5,0,5,0.0,5,5,1.0,0,1,1,1,0,0,2,2,13,3.7,-15,0.428,0.308,0.385,0.385,0.0,4.3,1.8,6.2,0.0,0.0,11.6,24.2,84,107,-8.1
