SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2018-19,2018-10-17,KNI,HAW,KNI,1.3,1,1,1.0,1,1,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,2,1.7,-2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,200,104,21.8
2018-19,2018-10-19,KNI,NET,NET,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2018-10-20,KNI,CEL,KNI,9.42,0,1,0.0,0,1,0.0,0,0,0,1,2,0.5,1,1,2,0,0,0,0,1,1,0.5,4,0.266,0.0,0.0,2.0,10.8,11.1,11.0,0.0,0.0,0.0,0.0,8.3,86,110,-9.7
2018-19,2018-10-22,KNI,BUC,BUC,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2018-19,2018-10-24,KNI,HEA,HEA,12.0,2,3,0.667,2,3,0.667,0,0,0,0,0,0.0,3,0,3,0,0,1,0,1,4,5.1,4,0.667,0.667,0.0,0.0,21.1,0.0,12.5,0.0,0.0,7.5,0.0,11.0,152,108,-0.3
2018-19,2018-10-26,KNI,WAR,KNI,29.42,3,5,0.6,3,5,0.6,0,0,0,1,2,0.5,4,2,6,0,2,0,1,2,7,7.9,-12,0.595,0.6,0.0,0.4,14.8,9.3,12.4,0.0,3.3,0.0,14.5,9.8,121,125,-3.0
2018-19,2018-10-29,KNI,NET,KNI,15.12,5,5,1.0,5,5,1.0,0,0,0,1,2,0.5,2,1,3,1,1,1,0,3,11,12.0,6,0.935,1.0,0.0,0.4,17.2,6.6,11.2,10.9,3.5,6.9,0.0,16.5,191,100,17.7
2018-19,2018-10-31,KNI,PAC,KNI,17.68,0,3,0.0,0,3,0.0,0,0,0,0,0,0.0,1,3,4,0,0,2,1,1,0,-0.5,4,0.0,0.0,0.0,0.0,6.8,22.6,14.3,0.0,0.0,8.6,25.0,10.2,19,110,-11.9
2018-19,2018-11-02,KNI,MAV,MAV,34.02,5,6,0.833,5,6,0.833,0,0,0,3,4,0.75,5,5,10,3,3,1,0,5,13,19.2,9,0.838,0.833,0.0,0.667,18.1,17.2,17.6,10.9,4.4,2.7,0.0,10.2,185,104,7.6
2018-19,2018-11-04,KNI,WIZ,WIZ,26.3,3,6,0.5,3,6,0.5,0,0,0,4,4,1.0,4,2,6,0,0,1,0,4,10,9.5,-15,0.644,0.5,0.0,0.667,15.5,7.2,11.2,0.0,0.0,3.2,0.0,12.0,154,114,-0.9
2018-19,2018-11-05,KNI,BUL,KNI,11.05,0,2,0.0,0,2,0.0,0,0,0,0,0,0.0,1,2,3,0,0,2,0,4,0,-0.3,-9,0.0,0.0,0.0,0.0,9.0,20.2,14.3,0.0,0.0,16.2,0.0,7.7,32,94,-12.6
2018-19,2018-11-07,KNI,HAW,HAW,14.88,2,2,1.0,2,2,1.0,0,0,0,1,2,0.5,3,3,6,0,1,2,1,2,5,7.6,3,0.868,1.0,0.0,1.0,23.6,18.6,20.8,0.0,3.2,11.9,25.8,11.0,141,95,5.4
2018-19,2018-11-10,KNI,RAP,RAP,28.42,2,3,0.667,2,3,0.667,0,0,0,0,2,0.0,2,3,5,0,2,3,1,3,4,6.1,5,0.515,0.667,0.0,0.667,6.8,11.8,9.1,0.0,3.4,11.5,20.5,6.9,94,122,-4.3
2018-19,2018-11-11,KNI,MAG,KNI,22.22,2,3,0.667,2,3,0.667,0,0,0,0,0,0.0,0,4,4,0,0,9,0,2,4,9.4,-7,0.667,0.667,0.0,0.0,0.0,16.9,8.2,0.0,0.0,34.7,0.0,5.4,135,90,6.8
2018-19,2018-11-14,KNI,THU,THU,17.75,3,4,0.75,3,4,0.75,0,0,0,0,0,0.0,0,1,1,1,1,3,0,4,6,6.9,-12,0.75,0.75,0.0,0.0,0.0,6.8,3.3,8.8,2.6,13.1,0.0,9.3,154,118,2.8
2018-19,2018-11-16,KNI,PEL,PEL,24.32,3,6,0.5,3,6,0.5,0,0,0,1,2,0.5,4,3,7,1,1,1,1,5,7,6.7,2,0.509,0.5,0.0,0.333,14.4,13.8,14.1,4.7,1.8,3.0,12.7,12.8,117,116,-4.5
2018-19,2018-11-18,KNI,MAG,MAG,8.7,0,1,0.0,0,1,0.0,0,0,0,0,0,0.0,2,0,2,0,1,0,0,5,0,-0.3,-3,0.0,0.0,0.0,0.0,24.5,0.0,14.3,0.0,5.6,0.0,0.0,4.7,105,125,-15.0
2018-19,2018-11-20,KNI,BLA,KNI,18.05,3,3,1.0,3,3,1.0,0,0,0,0,1,0.0,4,1,5,1,2,2,2,2,6,9.1,-11,0.872,1.0,0.0,0.333,27.3,5.8,15.6,7.8,5.5,8.9,36.8,13.4,128,112,4.6
2018-19,2018-11-21,KNI,CEL,CEL,16.42,4,4,1.0,4,4,1.0,0,0,0,0,0,0.0,1,3,4,0,0,6,0,4,8,11.0,7,1.0,1.0,0.0,0.0,6.6,15.9,11.8,0.0,0.0,27.4,0.0,10.3,204,93,13.7
2018-19,2018-11-23,KNI,PEL,KNI,9.27,2,2,1.0,2,2,1.0,0,0,0,1,2,0.5,0,1,1,1,0,2,0,6,5,4.0,-3,0.868,1.0,0.0,1.0,0.0,9.6,5.1,16.9,0.0,14.2,0.0,13.5,178,108,2.7
2018-19,2018-11-25,KNI,GRI,GRI,13.3,0,2,0.0,0,2,0.0,0,0,0,0,0,0.0,2,0,2,0,1,0,0,3,0,-0.2,-5,0.0,0.0,0.0,0.0,14.7,0.0,7.4,0.0,3.8,0.0,0.0,6.4,62,102,-12.9
2018-19,2018-11-27,KNI,PIS,PIS,16.73,1,3,0.333,1,3,0.333,0,0,0,0,0,0.0,3,2,5,0,0,1,2,6,2,-0.7,-13,0.333,0.333,0.0,0.0,15.9,13.0,14.6,0.0,0.0,5.1,40.0,12.1,70,110,-15.4
2018-19,2018-11-28,KNI,76E,76E,17.4,2,3,0.667,2,3,0.667,0,0,0,1,1,1.0,2,4,6,1,0,4,2,4,5,6.2,-7,0.727,0.667,0.0,0.333,10.4,29.0,18.2,10.4,0.0,17.8,36.8,13.1,103,105,-0.1
2018-19,2018-12-01,KNI,BUC,KNI,19.7,3,4,0.75,3,4,0.75,0,0,0,0,1,0.0,4,1,5,0,0,1,1,6,6,4.4,-1,0.676,0.75,0.0,0.25,22.9,6.0,14.6,0.0,0.0,5.2,18.4,12.1,135,120,-7.4
2018-19,2018-12-03,KNI,WIZ,KNI,14.2,1,2,0.5,1,2,0.5,0,0,0,2,2,1.0,1,0,1,2,0,3,1,2,4,5.4,0,0.694,0.5,0.0,1.0,6.9,0.0,3.6,20.1,0.0,16.9,25.8,11.1,131,105,4.9
