SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2000-01,2000-10-31,MAG,WIZ,MAG,9.17,1,3,0.333,1,3,0.333,0,0,0.0,2,2,1.0,1,0,1,1,0,0,0,2,4,2.9,2,0.515,0.333,0.0,0.667,12.4,0.0,6.6,18.6,0.0,0.0,0.0,19.1,127,97,-0.4
2000-01,2000-11-01,MAG,HEA,HEA,19.18,2,5,0.4,2,5,0.4,0,0,0.0,1,2,0.5,1,3,4,0,1,0,4,6,5,-1.9,1,0.425,0.4,0.0,0.4,5.4,20.5,12.0,0.0,2.5,0.0,40.5,20.7,55,101,-11.7
2000-01,2000-11-03,MAG,76E,MAG,12.23,3,3,1.0,3,3,1.0,0,0,0.0,0,2,0.0,2,3,5,0,0,0,1,0,6,5.6,-5,0.773,1.0,0.0,0.667,15.1,24.5,19.6,0.0,0.0,0.0,20.5,16.4,106,86,7.3
2000-01,2000-11-04,MAG,HAW,HAW,25.73,6,9,0.667,6,9,0.667,0,0,0.0,4,6,0.667,0,0,0,1,0,1,3,2,16,8.9,-2,0.687,0.667,0.0,0.667,0.0,0.0,0.0,7.1,0.0,2.6,20.5,24.5,116,122,-1.6
2000-01,2000-11-06,MAG,SUP,MAG,12.08,4,7,0.571,4,7,0.571,0,0,0.0,0,2,0.0,1,2,3,1,0,0,1,0,8,4.9,-1,0.508,0.571,0.0,0.286,8.2,18.6,13.0,15.4,0.0,0.0,11.3,29.5,100,105,-1.9
2000-01,2000-11-08,MAG,CHO,MAG,11.45,2,5,0.4,2,5,0.4,0,0,0.0,1,2,0.5,0,0,0,0,0,0,0,0,5,1.9,0,0.425,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,92,110,-4.2
2000-01,2000-11-09,MAG,BUL,BUL,20.87,4,6,0.667,4,5,0.8,0,1,0.0,1,2,0.5,0,5,5,2,0,0,1,2,9,7.1,3,0.654,0.667,0.167,0.333,0.0,24.3,11.5,15.3,0.0,0.0,12.7,15.8,115,100,1.8
2000-01,2000-11-12,MAG,WAR,WAR,3.27,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,2,0,-1.2,3,0.0,0.0,0.0,0.0,0.0,45.3,20.1,0.0,0.0,0.0,0.0,14.7,0,91,-29.9
2000-01,2000-11-14,MAG,KIN,KIN,21.77,5,10,0.5,5,10,0.5,0,0,0.0,0,0,0.0,1,1,2,2,0,0,1,1,10,6.0,-9,0.5,0.5,0.0,0.0,4.8,7.0,5.7,18.9,0.0,0.0,9.1,21.9,106,110,1.4
2000-01,2000-11-16,MAG,JAZ,JAZ,9.73,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,1,0,0,2,4,0,-2.9,-2,0.0,0.0,0.0,0.0,10.9,0.0,6.0,16.6,0.0,0.0,66.7,13.0,29,108,-19.8
