SEASON,DATE,TEAM,OPPONENT,HOME_TEAM,MP,FGM,FGA,FG%,2PT_FGM,2PT_FGA,2PT_FG%,3PT_FGM,3PT_FGA,3PT_FG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,+/-,TS%,EFG%,3PAR,FTR,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORTG,DRTG,BPM
2023-24,2023-12-15,HOR,PEL,HOR,12.85,0,1,0.0,0,1,0.0,0,0,0,2,2,1.0,2,5,7,0,0,0,2,6,2,-0.2,-6,0.532,0.0,0.0,2.0,16.2,44.5,29.7,0.0,0.0,0.0,51.5,13.3,81,111,-16.8
2023-24,2023-12-16,HOR,76E,HOR,28.57,1,3,0.333,1,3,0.333,0,0,0,0,0,0.0,3,5,8,1,0,0,1,3,2,2.4,-45,0.333,0.333,0.0,0.0,10.5,25.5,16.6,5.4,0.0,0.0,25.0,6.3,86,140,-10.9
2023-24,2023-12-20,HOR,PAC,PAC,7.37,2,2,1.0,2,2,1.0,0,0,0,0,0,0.0,1,1,2,0,1,0,0,0,4,5.4,1,1.0,1.0,0.0,0.0,14.2,22.5,17.4,0.0,6.9,0.0,0.0,11.5,203,137,11.1
2023-24,2023-12-23,HOR,NUG,HOR,6.57,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,2,0,0.2,-4,0.0,0.0,0.0,0.0,0.0,15.9,7.7,0.0,0.0,12.2,0.0,0.0,0,103,-7.3
2023-24,2023-12-26,HOR,CLI,CLI,3.88,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,0,0,2,0,0,0,1.7,-3,0.0,0.0,0.0,0.0,0.0,27.5,14.2,0.0,0.0,48.5,0.0,0.0,0,86,10.8
2023-24,2023-12-28,HOR,LAK,LAK,9.43,1,1,1.0,1,1,1.0,0,0,0,0,2,0.0,0,1,1,0,0,0,0,1,2,0.8,-2,0.532,1.0,0.0,2.0,0.0,12.7,6.0,0.0,0.0,0.0,0.0,8.2,82,129,-9.5
2023-24,2023-12-29,HOR,SUN,SUN,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2023-24,2024-01-01,HOR,NUG,NUG,12.32,0,1,0.0,0,1,0.0,0,0,0,2,2,1.0,1,3,4,0,0,0,0,1,2,2.5,14,0.532,0.0,0.0,2.0,8.1,28.5,17.5,0.0,0.0,0.0,0.0,7.0,136,119,-7.1
2023-24,2024-01-02,HOR,KIN,KIN,15.72,0,1,0.0,0,1,0.0,0,0,0,0,0,0.0,0,1,1,0,2,2,1,4,0,0.4,-7,0.0,0.0,0.0,0.0,0.0,6.6,3.7,0.0,6.1,10.9,50.0,5.9,0,92,-6.4
2023-24,2024-01-05,HOR,BUL,BUL,17.1,1,1,1.0,1,1,1.0,0,0,0,2,2,1.0,0,2,2,0,1,1,1,4,4,3.4,-5,1.064,1.0,0.0,2.0,0.0,16.5,6.8,0.0,3.1,6.1,34.7,7.7,132,106,-3.6
2023-24,2024-01-08,HOR,BUL,HOR,14.5,1,2,0.5,1,2,0.5,0,0,0,1,2,0.5,3,1,4,0,0,0,1,3,3,1.8,1,0.521,0.5,0.0,1.0,20.7,8.7,15.4,0.0,0.0,0.0,25.8,12.5,109,125,-13.0
2023-24,2024-01-10,HOR,KIN,HOR,21.65,1,2,0.5,1,2,0.5,0,0,0,0,0,0.0,1,3,4,1,0,1,1,4,2,1.4,-26,0.5,0.5,0.0,0.0,4.7,15.8,10.0,6.8,0.0,4.1,33.3,6.5,93,132,-9.8
2023-24,2024-01-12,HOR,SPU,SPU,18.78,0,4,0.0,0,4,0.0,0,0,0,0,0,0.0,4,3,7,2,0,0,2,6,0,-2.1,-9,0.0,0.0,0.0,0.0,18.9,21.9,20.1,16.0,0.0,0.0,33.3,12.7,48,135,-20.4
